Date,BSE
2017-02-03,95.28252410888672
2017-02-06,91.71788787841797
2017-02-07,89.72171783447266
2017-02-08,91.12971496582031
2017-02-09,90.01132202148438
2017-02-10,89.561279296875
2017-02-13,89.276123046875
2017-02-14,89.47216796875
2017-02-15,87.48490142822266
2017-02-16,85.89864349365234
2017-02-17,86.19271087646484
2017-02-20,86.54472351074219
2017-02-21,87.71214294433594
2017-02-22,87.26427459716797
2017-02-23,86.51636505126953
2017-02-27,85.45942687988281
2017-02-28,84.81900787353516
2017-03-01,83.66802215576172
2017-03-02,82.15426635742188
2017-03-03,79.78063201904297
2017-03-06,84.84139251708984
2017-03-07,84.08004760742188
2017-03-08,82.74991607666016
2017-03-09,84.63986206054688
2017-03-10,83.89192199707031
2017-03-14,84.63986206054688
2017-03-15,84.67567443847656
2017-03-16,84.66673278808594
2017-03-17,84.54580688476562
2017-03-20,84.04869079589844
2017-03-21,84.08899688720703
2017-03-22,83.69487762451172
2017-03-23,83.98152160644531
2017-03-24,84.64881896972656
2017-03-27,83.81581115722656
2017-03-28,84.12930297851562
2017-03-29,85.2131118774414
2017-03-30,86.58802032470703
2017-03-31,87.5688247680664
2017-04-03,87.55091857910156
2017-04-05,87.72557067871094
2017-04-06,86.95526885986328
2017-04-07,88.84967041015625
2017-04-10,92.26681518554688
2017-04-11,93.48049926757812
2017-04-12,93.84325408935547
2017-04-13,92.22201538085938
2017-04-17,90.59632110595703
2017-04-18,89.36919403076172
2017-04-19,89.59760284423828
2017-04-20,90.54705047607422
2017-04-21,90.50227355957031
2017-04-24,90.44404602050781
2017-04-25,90.0364990234375
2017-04-26,90.4261245727539
2017-04-27,90.26937866210938
2017-04-28,89.96931457519531
2017-05-02,89.95140838623047
2017-05-03,89.8170394897461
2017-05-04,89.67373657226562
2017-05-05,89.13182830810547
2017-05-08,90.1350326538086
2017-05-09,89.09599304199219
2017-05-10,89.31096649169922
2017-05-11,89.56623840332031
2017-05-12,87.94054412841797
2017-05-15,89.3915786743164
2017-05-16,94.85091400146484
2017-05-17,95.966064453125
2017-05-18,96.79013061523438
2017-05-19,96.1362533569336
2017-05-22,95.57644653320312
2017-05-23,94.50159454345703
2017-05-24,94.56429290771484
2017-05-25,93.39090728759766
2017-05-26,94.42992401123047
2017-05-29,95.63018035888672
2017-05-30,95.38833618164062
2017-05-31,97.93663024902344
2017-06-01,97.64105987548828
2017-06-02,99.16822814941406
2017-06-05,101.35375213623047
2017-06-06,98.91743469238281
2017-06-07,98.65767669677734
2017-06-08,97.81123352050781
2017-06-09,100.20276641845703
2017-06-12,99.45933532714844
2017-06-13,98.38447570800781
2017-06-14,98.01725769042969
2017-06-15,97.01851654052734
2017-06-16,96.32435607910156
2017-06-19,99.42350769042969
2017-06-20,98.64872741699219
2017-06-21,98.89952850341797
2017-06-22,97.72612762451172
2017-06-23,95.392822265625
2017-06-27,93.89698791503906
2017-06-28,96.20342254638672
2017-06-29,98.4113540649414
2017-06-30,96.1586685180664
2017-07-03,96.10491180419922
2017-07-04,95.52717590332031
2017-07-05,95.26742553710938
2017-07-06,94.9942398071289
2017-07-07,95.56300354003906
2017-07-10,97.19320678710938
2017-07-11,98.26355743408203
2017-07-12,98.61289978027344
2017-07-13,99.59368133544922
2017-07-14,100.38191223144531
2017-07-17,98.71141052246094
2017-07-18,97.23799133300781
2017-07-19,98.39793395996094
2017-07-20,97.56043243408203
2017-07-21,97.0991439819336
