Date,RAYMOND
1996-01-01,130.49996948242188
1996-01-02,130.4757843017578
1996-01-03,130.49996948242188
1996-01-04,130.49996948242188
1996-01-05,126.39161682128906
1996-01-08,127.72074127197266
1996-01-09,128.66326904296875
1996-01-10,128.8083038330078
1996-01-11,129.04995727539062
1996-01-12,129.7749786376953
1996-01-15,129.24327087402344
1996-01-16,132.60240173339844
1996-01-17,130.81410217285156
1996-01-18,128.10745239257812
1996-01-19,129.53330993652344
1996-01-22,129.53330993652344
1996-01-23,129.31578063964844
1996-01-24,128.56661987304688
1996-01-25,125.47327423095703
1996-01-26,125.47327423095703
1996-01-29,125.66659545898438
1996-01-30,126.6332778930664
1996-01-31,128.56661987304688
1996-02-01,129.6782684326172
1996-02-02,130.86245727539062
1996-02-05,130.01663208007812
1996-02-06,131.5874481201172
1996-02-07,130.5240936279297
1996-02-08,134.9707794189453
1996-02-09,141.9791259765625
1996-02-12,150.7999267578125
1996-02-13,149.1082763671875
1996-02-14,156.1166229248047
1996-02-15,155.24661254882812
1996-02-16,153.699951171875
1996-02-19,154.66661071777344
1996-02-20,155.05325317382812
1996-02-21,155.05325317382812
1996-02-22,156.2857666015625
1996-02-23,159.7416229248047
1996-02-26,160.4182891845703
1996-02-27,160.5391082763672
1996-02-28,157.71163940429688
1996-02-29,155.17410278320312
1996-03-01,154.66661071777344
1996-03-04,155.8991241455078
1996-03-05,155.8991241455078
1996-03-06,155.1016387939453
1996-03-07,157.083251953125
1996-03-08,154.66661071777344
1996-03-11,155.0049285888672
1996-03-12,154.1832733154297
1996-03-13,156.1166229248047
1996-03-14,155.6332550048828
1996-03-15,157.083251953125
1996-03-18,155.6332550048828
1996-03-19,154.93243408203125
1996-03-20,154.93243408203125
1996-03-21,155.29493713378906
1996-03-22,158.12246704101562
1996-03-25,159.52413940429688
1996-03-26,159.59658813476562
1996-03-27,159.49996948242188
1996-03-28,159.52413940429688
1996-03-29,157.13162231445312
1996-04-01,158.5574493408203
1996-04-02,158.4849090576172
1996-04-03,158.919921875
1996-04-04,159.49996948242188
1996-04-05,159.49996948242188
1996-04-08,158.14657592773438
1996-04-09,156.5998992919922
1996-04-10,156.4790802001953
1996-04-11,159.3791046142578
1996-04-12,159.49996948242188
1996-04-15,159.66909790039062
1996-04-16,159.54824829101562
1996-04-17,159.54824829101562
1996-04-18,163.58407592773438
1996-04-19,162.78660583496094
1996-04-22,160.1040802001953
1996-04-23,159.88658142089844
1996-04-24,161.2157745361328
1996-04-25,159.9832763671875
1996-04-26,158.53329467773438
1996-04-29,153.82077026367188
1996-04-30,146.01495361328125
1996-05-01,147.92413330078125
1996-05-02,144.51657104492188
1996-05-03,143.54994201660156
1996-05-06,142.46243286132812
1996-05-07,142.24493408203125
1996-05-08,144.8791046142578
1996-05-09,142.60743713378906
1996-05-10,137.74998474121094
1996-05-13,138.1366424560547
1996-05-14,136.5899658203125
1996-05-15,135.40579223632812
1996-05-16,140.1907501220703
1996-05-17,137.74998474121094
1996-05-20,135.574951171875
1996-05-21,137.16995239257812
1996-05-22,136.7832794189453
1996-05-23,136.2757568359375
1996-05-24,135.35740661621094
1996-05-27,136.29995727539062
1996-05-28,134.60829162597656
1996-05-29,136.2757568359375
1996-05-30,139.9732666015625
1996-05-31,141.30242919921875
1996-06-03,147.36825561523438
1996-06-04,146.7882537841797
1996-06-05,145.67660522460938
1996-06-06,148.21412658691406
1996-06-07,160.4182891845703
1996-06-10,160.4182891845703
1996-06-11,157.44577026367188
1996-06-12,160.5874481201172
1996-06-13,162.5691375732422
1996-06-14,159.78993225097656
1996-06-17,167.81326293945312
1996-06-18,164.09158325195312
1996-06-19,164.0191192626953
1996-06-20,164.93743896484375
1996-06-21,166.12161254882812
1996-06-24,163.10519409179688
1996-06-25,160.43218994140625
1996-06-26,164.82183837890625
1996-06-27,164.69924926757812
1996-06-28,164.82183837890625
1996-07-01,163.91448974609375
1996-07-02,163.39950561523438
1996-07-03,163.79190063476562
1996-07-04,162.19786071777344
1996-07-05,164.62570190429688
1996-07-08,167.00445556640625
1996-07-09,166.7592315673828
1996-07-10,165.45944213867188
1996-07-11,167.51943969726562
1996-07-12,166.63656616210938
1996-07-15,168.23062133789062
1996-07-16,167.22515869140625
1996-07-17,169.99627685546875
1996-07-18,171.3941192626953
1996-07-19,173.4050750732422
1996-07-22,175.04811096191406
1996-07-23,175.31788635253906
1996-07-24,170.0208282470703
1996-07-25,169.45681762695312
1996-07-26,172.7183837890625
1996-07-29,177.181640625
1996-07-30,175.04811096191406
1996-07-31,168.23062133789062
1996-08-01,168.23062133789062
1996-08-02,169.21153259277344
1996-08-05,165.8273162841797
1996-08-06,168.45132446289062
1996-08-07,167.24966430664062
1996-08-08,165.87637329101562
1996-08-09,165.38589477539062
1996-08-12,161.3640594482422
1996-08-13,160.53028869628906
1996-08-14,161.38856506347656
1996-08-15,161.38856506347656
1996-08-16,161.8545684814453
1996-08-19,157.04791259765625
1996-08-20,155.0370330810547
1996-08-21,153.24681091308594
1996-08-22,152.1923065185547
1996-08-23,153.02609252929688
1996-08-26,154.49754333496094
1996-08-27,153.54110717773438
1996-08-28,154.49754333496094
1996-08-29,155.2086944580078
1996-08-30,152.24131774902344
1996-09-02,144.68814086914062
1996-09-03,135.7125701904297
1996-09-04,138.01776123046875
1996-09-05,138.8270721435547
1996-09-06,138.5082244873047
1996-09-09,136.74256896972656
1996-09-10,131.00404357910156
1996-09-11,126.9332046508789
1996-09-12,127.52172088623047
1996-09-13,126.8350830078125
1996-09-16,125.68251037597656
1996-09-17,124.45633697509766
1996-09-18,122.02851104736328
1996-09-19,116.75597381591797
1996-09-20,116.68241882324219
1996-09-23,114.30361938476562
1996-09-24,114.76957702636719
1996-09-25,116.4862060546875
1996-09-26,115.75050354003906
1996-09-27,112.80767822265625
1996-09-30,108.63874816894531
1996-10-01,104.88661193847656
1996-10-02,104.88661193847656
1996-10-03,100.17814636230469
1996-10-04,101.11004638671875
1996-10-07,96.05823516845703
1996-10-08,91.27616119384766
1996-10-09,91.33744049072266
1996-10-10,95.93557739257812
1996-10-11,100.75443267822266
1996-10-14,95.71488189697266
