Date,RBA
2020-12-14,135.0
2020-12-15,162.0
2020-12-16,194.39999389648438
2020-12-17,175.0
2020-12-18,157.5
2020-12-21,158.3000030517578
2020-12-22,173.35000610351562
2020-12-23,189.4499969482422
2020-12-24,180.89999389648438
2020-12-28,178.39999389648438
2020-12-29,172.89999389648438
2020-12-30,175.60000610351562
2020-12-31,175.5
2021-01-01,173.35000610351562
2021-01-04,171.25
2021-01-05,170.1999969482422
2021-01-06,168.1999969482422
2021-01-07,165.25
2021-01-08,166.8000030517578
2021-01-11,150.14999389648438
2021-01-12,147.89999389648438
2021-01-13,144.9499969482422
2021-01-14,144.8000030517578
2021-01-15,143.89999389648438
2021-01-18,141.60000610351562
2021-01-19,144.75
2021-01-20,145.10000610351562
2021-01-21,141.6999969482422
2021-01-22,138.75
2021-01-25,135.1999969482422
2021-01-27,139.9499969482422
2021-01-28,138.9499969482422
2021-01-29,137.60000610351562
2021-02-01,136.9499969482422
2021-02-02,138.9499969482422
2021-02-03,141.8000030517578
2021-02-04,147.89999389648438
2021-02-05,146.0
2021-02-08,150.6999969482422
2021-02-09,154.10000610351562
2021-02-10,152.4499969482422
2021-02-11,151.0500030517578
2021-02-12,149.5500030517578
2021-02-15,146.0
2021-02-16,143.85000610351562
2021-02-17,143.10000610351562
2021-02-18,144.4499969482422
2021-02-19,143.25
2021-02-22,141.25
2021-02-23,141.5
2021-02-24,142.14999389648438
2021-02-25,144.25
2021-02-26,141.5
2021-03-01,141.4499969482422
2021-03-02,141.1999969482422
2021-03-03,147.8000030517578
2021-03-04,148.14999389648438
2021-03-05,143.89999389648438
2021-03-08,143.5
2021-03-09,139.9499969482422
2021-03-10,140.14999389648438
2021-03-12,141.0500030517578
2021-03-15,138.1999969482422
2021-03-16,138.25
2021-03-17,136.0500030517578
2021-03-18,137.0
2021-03-19,136.39999389648438
2021-03-22,137.39999389648438
2021-03-23,137.6999969482422
2021-03-24,135.1999969482422
2021-03-25,135.5500030517578
2021-03-26,129.89999389648438
2021-03-30,130.6999969482422
2021-03-31,128.5500030517578
2021-04-01,131.10000610351562
2021-04-05,127.25
2021-04-06,131.0
2021-04-07,132.0
2021-04-08,137.75
2021-04-09,138.85000610351562
2021-04-12,132.5500030517578
2021-04-13,132.14999389648438
2021-04-15,130.1999969482422
2021-04-16,131.35000610351562
2021-04-19,128.1999969482422
2021-04-20,130.75
2021-04-22,132.0
2021-04-23,130.4499969482422
2021-04-26,130.10000610351562
2021-04-27,131.1999969482422
2021-04-28,131.75
2021-04-29,131.1999969482422
2021-04-30,129.85000610351562
2021-05-03,129.14999389648438
2021-05-04,129.0
2021-05-05,126.5999984741211
2021-05-06,131.0
2021-05-07,129.3000030517578
2021-05-10,128.64999389648438
2021-05-11,129.0
2021-05-12,130.25
2021-05-14,130.0500030517578
2021-05-17,130.5500030517578
2021-05-18,142.64999389648438
2021-05-19,140.10000610351562
2021-05-20,144.9499969482422
2021-05-21,145.1999969482422
2021-05-24,148.3000030517578
2021-05-25,152.89999389648438
2021-05-26,156.3000030517578
2021-05-27,152.0500030517578
2021-05-28,146.89999389648438
2021-05-31,145.64999389648438
2021-06-01,147.25
2021-06-02,149.5
2021-06-03,149.8000030517578
2021-06-04,156.64999389648438
2021-06-07,165.0
2021-06-08,160.75
2021-06-09,157.5500030517578
2021-06-10,159.5500030517578
2021-06-11,160.9499969482422
2021-06-14,161.35000610351562
2021-06-15,162.5500030517578
2021-06-16,161.64999389648438
2021-06-17,158.9499969482422
2021-06-18,155.4499969482422
2021-06-21,158.0
2021-06-22,156.64999389648438
2021-06-23,155.35000610351562
2021-06-24,154.25
2021-06-25,154.85000610351562
2021-06-28,155.60000610351562
2021-06-29,161.25
2021-06-30,158.9499969482422
2021-07-01,159.14999389648438
2021-07-02,158.4499969482422
2021-07-05,157.85000610351562
2021-07-06,164.9499969482422
2021-07-07,168.35000610351562
2021-07-08,174.60000610351562
2021-07-09,172.85000610351562
2021-07-12,174.10000610351562
2021-07-13,173.8000030517578
2021-07-14,168.0500030517578
2021-07-15,166.25
2021-07-16,168.64999389648438
2021-07-19,178.25
2021-07-20,175.60000610351562
2021-07-22,183.3000030517578
2021-07-23,178.3000030517578
2021-07-26,176.1999969482422
2021-07-27,175.4499969482422
