Date,IGL
2003-12-26,8.084381103515625
2003-12-29,9.682300567626953
2003-12-30,10.217198371887207
2003-12-31,10.0242280960083
2004-01-01,10.200270652770996
2004-01-02,10.030998229980469
2004-01-05,9.32683277130127
2004-01-06,8.389071464538574
2004-01-07,8.737767219543457
2004-01-08,8.984904289245605
2004-01-09,8.720841407775879
2004-01-12,8.53464412689209
2004-01-13,8.372142791748047
2004-01-14,8.368757247924805
2004-01-15,8.358602523803711
2004-01-16,7.772924423217773
2004-01-19,7.634121894836426
2004-01-20,7.54610013961792
2004-01-21,6.767455101013184
2004-01-22,6.669276237487793
2004-01-23,7.129693984985352
2004-01-26,7.129693984985352
2004-01-27,7.407299995422363
2004-01-28,7.075528144836426
2004-01-29,6.953653335571289
2004-01-30,6.750527381896973
2004-02-02,6.750527381896973
2004-02-03,6.2088623046875
2004-02-04,6.063287258148193
2004-02-05,6.141151428222656
2004-02-06,6.202090740203857
2004-02-09,6.263027667999268
2004-02-10,6.395057678222656
2004-02-11,6.364590167999268
2004-02-12,6.757298946380615
2004-02-13,6.963807582855225
2004-02-16,6.953653335571289
2004-02-17,6.8453192710876465
2004-02-18,6.787766456604004
2004-02-19,6.557559490203857
2004-02-20,6.449224948883057
2004-02-23,6.246100425720215
2004-02-24,6.219016075134277
2004-02-25,6.13099479675293
2004-02-26,6.107296943664551
2004-02-27,6.097141742706299
2004-03-01,6.144537448883057
2004-03-02,6.144537448883057
2004-03-03,6.33411979675293
2004-03-04,6.215631008148193
2004-03-05,6.340890884399414
2004-03-08,6.520318031311035
2004-03-09,6.307036876678467
2004-03-10,6.347662448883057
2004-03-11,6.141151428222656
2004-03-12,6.114067554473877
2004-03-15,5.883859634399414
2004-03-16,5.535162448883057
2004-03-17,5.535162448883057
2004-03-18,5.460681915283203
2004-03-19,5.288025379180908
2004-03-22,4.983339786529541
2004-03-23,4.749743461608887
2004-03-24,4.912245273590088
2004-03-25,5.091671466827393
2004-03-26,5.172920227050781
2004-03-29,5.376047611236572
2004-03-30,5.538547992706299
2004-03-31,5.613025188446045
2004-04-01,5.755213260650635
2004-04-02,6.083598613739014
2004-04-05,6.185161113739014
2004-04-06,6.012504577636719
2004-04-07,5.975266456604004
2004-04-08,5.8669328689575195
2004-04-09,5.8669328689575195
2004-04-12,5.822922706604004
2004-04-13,5.856777191162109
2004-04-14,5.856777191162109
2004-04-15,5.7721405029296875
2004-04-16,5.7247443199157715
