Date,INDOSTAR
2018-05-21,579.062744140625
2018-05-22,588.4486083984375
2018-05-23,596.3525390625
2018-05-24,582.71826171875
2018-05-25,581.236328125
2018-05-28,580.10009765625
2018-05-29,577.7783203125
2018-05-30,575.1602172851562
2018-05-31,583.0147094726562
2018-06-01,580.10009765625
2018-06-04,577.4818725585938
2018-06-05,565.2802124023438
2018-06-06,563.7982177734375
2018-06-07,559.648681640625
2018-06-08,556.2400512695312
2018-06-11,553.2266845703125
2018-06-12,549.2747192382812
2018-06-13,548.3855590820312
2018-06-14,553.1773681640625
2018-06-15,551.0037231445312
2018-06-18,557.7221069335938
2018-06-19,559.6980590820312
2018-06-20,554.2640991210938
2018-06-21,555.7955322265625
2018-06-22,546.3601684570312
2018-06-25,526.5509643554688
2018-06-26,514.34912109375
2018-06-27,501.01129150390625
2018-06-28,504.3704528808594
2018-06-29,514.4479370117188
2018-07-02,500.0726623535156
2018-07-03,519.1409301757812
2018-07-04,521.3639526367188
2018-07-05,509.8537902832031
2018-07-06,509.4586181640625
2018-07-09,508.5694580078125
2018-07-10,509.7550048828125
2018-07-11,505.0126647949219
2018-07-12,495.8243103027344
2018-07-13,482.3876037597656
2018-07-16,483.1286315917969
2018-07-17,482.93096923828125
2018-07-18,475.02703857421875
2018-07-19,464.6531066894531
2018-07-20,442.1763000488281
2018-07-23,440.3485107421875
2018-07-24,440.39788818359375
2018-07-25,454.8719787597656
2018-07-26,452.8960266113281
2018-07-27,463.2699279785156
2018-07-30,477.5958557128906
2018-07-31,475.5704345703125
2018-08-01,480.6585998535156
2018-08-02,475.4716491699219
2018-08-03,476.5584411621094
2018-08-06,473.98968505859375
2018-08-07,481.0538024902344
2018-08-08,494.49053955078125
2018-08-09,494.6881408691406
2018-08-10,494.6881408691406
2018-08-13,474.2860412597656
2018-08-14,474.3354797363281
2018-08-16,478.6826171875
2018-08-17,473.1004943847656
2018-08-20,475.4716491699219
2018-08-21,468.7532958984375
2018-08-23,458.823974609375
2018-08-24,441.7810974121094
2018-08-27,435.90252685546875
2018-08-28,430.76495361328125
2018-08-29,431.011962890625
2018-08-30,441.9787292480469
2018-08-31,454.0321960449219
2018-09-03,448.3512268066406
2018-09-04,447.0668640136719
2018-09-05,434.6675720214844
2018-09-06,439.45928955078125
2018-09-07,439.706298828125
2018-09-10,436.0013427734375
2018-09-11,432.3951721191406
2018-09-12,422.8116455078125
2018-09-14,420.5886535644531
2018-09-17,429.2829895019531
2018-09-18,420.53924560546875
2018-09-19,406.1145324707031
2018-09-21,391.78863525390625
2018-09-24,361.90185546875
2018-09-25,347.03253173828125
2018-09-26,347.1313781738281
2018-09-27,341.5492248535156
2018-09-28,315.21917724609375
2018-10-01,296.9412841796875
2018-10-03,300.15228271484375
2018-10-04,285.9252014160156
2018-10-05,296.4967041015625
2018-10-08,278.66339111328125
2018-10-09,281.52862548828125
2018-10-10,282.76361083984375
2018-10-11,291.6555480957031
2018-10-12,297.7317199707031
2018-10-15,296.4967041015625
2018-10-16,307.16705322265625
2018-10-17,305.240478515625
2018-10-19,294.07611083984375
2018-10-22,281.4298095703125
2018-10-23,280.1948547363281
2018-10-24,279.2068786621094
2018-10-25,283.4552001953125
2018-10-26,278.1200256347656
2018-10-29,279.15740966796875
2018-10-30,291.1121520996094
2018-10-31,298.0281066894531
2018-11-01,294.4713134765625
2018-11-02,296.3979187011719
2018-11-05,297.5835266113281
2018-11-06,299.0160827636719
2018-11-07,307.5128479003906
2018-11-09,324.0123596191406
2018-11-12,337.59722900390625
2018-11-13,341.8085021972656
2018-11-14,345.6234436035156
2018-11-15,327.044189453125
2018-11-16,340.22308349609375
2018-11-19,348.19976806640625
2018-11-20,359.3968811035156
2018-11-21,361.2795715332031
2018-11-22,349.04205322265625
2018-11-26,343.0471496582031
2018-11-27,332.3454895019531
2018-11-28,344.2857666015625
2018-11-29,346.7134094238281
2018-11-30,340.074462890625
2018-12-03,337.8449401855469
2018-12-04,335.21905517578125
2018-12-05,326.6974182128906
2018-12-06,323.6751708984375
2018-12-07,317.6307067871094
2018-12-10,313.17169189453125
2018-12-11,315.9957580566406
2018-12-12,325.9542236328125
2018-12-13,329.96734619140625
2018-12-14,325.4092102050781
2018-12-17,319.0179748535156
2018-12-18,318.5225524902344
2018-12-19,331.2554931640625
2018-12-20,337.4485778808594
2018-12-21,335.6154479980469
2018-12-24,306.6318359375
2018-12-26,337.89447021484375
2018-12-27,344.2857666015625
2018-12-28,346.7629699707031
2018-12-31,343.5426025390625
2019-01-01,343.64166259765625
2019-01-02,340.17352294921875
2019-01-03,339.28173828125
2019-01-04,332.8905029296875
2019-01-07,336.953125
2019-01-08,343.29486083984375
2019-01-09,350.08245849609375
2019-01-10,352.85699462890625
2019-01-11,351.3706359863281
2019-01-14,352.262451171875
2019-01-15,347.50616455078125
2019-01-16,345.7720947265625
2019-01-17,346.61431884765625
2019-01-18,343.83984375
2019-01-21,335.6154479980469
2019-01-22,325.35968017578125
2019-01-23,325.31011962890625
2019-01-24,325.75604248046875
2019-01-25,329.42236328125
2019-01-28,322.7833557128906
2019-01-29,315.9957580566406
2019-01-30,314.5589599609375
2019-01-31,313.4194030761719
2019-02-01,307.8208923339844
2019-02-04,318.57208251953125
2019-02-05,310.2485656738281
2019-02-06,322.28790283203125
2019-02-07,331.6518859863281
2019-02-08,324.3192443847656
2019-02-11,315.9957580566406
2019-02-12,316.4912109375
2019-02-14,324.3688049316406
2019-02-15,322.6347351074219
2019-02-18,319.2657165527344
2019-02-19,319.3647766113281
2019-02-20,317.6307067871094
2019-02-21,336.6063537597656
2019-02-22,337.20086669921875
2019-02-25,337.9440002441406
2019-02-26,343.29486083984375
2019-02-27,335.26861572265625
2019-02-28,339.47991943359375
2019-03-01,339.6780700683594
2019-03-05,340.9167175292969
2019-03-06,344.43438720703125
2019-03-07,351.9651794433594
2019-03-08,347.5556945800781
2019-03-11,351.71746826171875
2019-03-12,348.9925231933594
2019-03-13,349.9338073730469
2019-03-14,340.3717346191406
2019-03-15,341.9075927734375
2019-03-18,341.8580322265625
2019-03-19,346.862060546875
2019-03-20,346.31707763671875
2019-03-22,347.7043151855469
2019-03-25,341.6103515625
2019-03-26,350.9742736816406
2019-03-27,362.3199768066406
2019-03-28,377.97613525390625
2019-04-01,412.3600769042969
2019-04-02,401.658447265625
2019-04-03,397.3480529785156
2019-04-04,388.1327819824219
2019-04-05,421.3772277832031
2019-04-08,411.31964111328125
2019-04-09,399.52801513671875
2019-04-10,401.06390380859375
2019-04-11,400.8161926269531
2019-04-12,397.1994323730469
2019-04-15,407.6037902832031
2019-04-16,410.7251281738281
2019-04-18,403.39251708984375
2019-04-22,397.100341796875
2019-04-23,396.50579833984375
2019-04-24,398.1407775878906
2019-04-25,399.6766662597656
