Date,PGEL
2011-09-26,41.47856903076172
2011-09-27,48.26016616821289
2011-09-28,38.612125396728516
2011-09-29,31.156370162963867
2011-09-30,30.3273983001709
2011-10-03,25.168794631958008
2011-10-04,22.656909942626953
2011-10-05,21.203710556030273
2011-10-07,21.393476486206055
2011-10-10,21.15876579284668
2011-10-11,22.077627182006836
2011-10-12,22.976512908935547
2011-10-13,22.666894912719727
2011-10-14,22.68187713623047
2011-10-17,23.43094825744629
2011-10-18,22.75179100036621
2011-10-19,22.42220115661621
2011-10-20,22.29735565185547
2011-10-21,21.71307945251465
2011-10-24,22.202470779418945
2011-10-25,21.67812156677246
2011-10-28,21.6881103515625
2011-10-31,21.573251724243164
2011-11-01,21.298593521118164
2011-11-02,20.87411880493164
2011-11-03,21.258642196655273
2011-11-04,21.30858039855957
2011-11-08,21.56326675415039
2011-11-09,21.003957748413086
2011-11-11,20.889102935791016
2011-11-14,20.99397087097168
2011-11-15,20.549522399902344
2011-11-16,20.319805145263672
2011-11-17,19.965246200561523
2011-11-18,19.196197509765625
2011-11-21,18.39219856262207
2011-11-22,18.037633895874023
2011-11-23,16.679319381713867
2011-11-24,16.229875564575195
2011-11-25,16.35971450805664
2011-11-28,18.182456970214844
2011-11-29,18.022655487060547
2011-11-30,19.11629867553711
2011-12-01,18.93152618408203
2011-12-02,19.615676879882812
2011-12-05,19.98522186279297
2011-12-07,20.025169372558594
2011-12-08,19.665618896484375
2011-12-09,19.760501861572266
2011-12-12,21.16875457763672
2011-12-13,22.811716079711914
2011-12-14,22.312334060668945
2011-12-15,22.062644958496094
2011-12-16,21.792980194091797
2011-12-19,20.704328536987305
2011-12-20,21.448406219482422
2011-12-21,20.94902801513672
2011-12-22,19.825420379638672
2011-12-23,19.555753707885742
2011-12-26,19.67560577392578
2011-12-27,19.535778045654297
2011-12-28,18.776718139648438
2011-12-29,15.555712699890137
2011-12-30,14.422119140625
2012-01-02,13.673047065734863
2012-01-03,13.732973098754883
2012-01-04,13.413370132446289
2012-01-05,12.899006843566895
2012-01-06,13.083778381347656
2012-01-09,13.638090133666992
2012-01-10,14.027607917785645
2012-01-11,13.98266315460205
2012-01-12,14.137471199035645
2012-01-13,14.427111625671387
2012-01-16,14.91650676727295
2012-01-17,15.510767936706543
2012-01-18,16.020137786865234
2012-01-19,16.090051651000977
2012-01-20,15.216133117675781
2012-01-23,15.630620956420898
2012-01-24,15.036357879638672
2012-01-25,16.539493560791016
2012-01-27,16.67432403564453
2012-01-30,17.12876319885254
2012-01-31,17.073829650878906
2012-02-01,16.85909652709961
2012-02-02,17.51328468322754
2012-02-03,18.222408294677734
2012-02-06,19.011428833007812
2012-02-07,19.111305236816406
2012-02-08,18.576967239379883
2012-02-09,18.786706924438477
2012-02-10,19.356000900268555
2012-02-13,19.081342697143555
2012-02-14,18.99644660949707
2012-02-15,19.156248092651367
2012-02-16,18.826658248901367
2012-02-17,18.891578674316406
2012-02-21,18.841638565063477
2012-02-22,19.55076026916504
2012-02-23,19.575727462768555
2012-02-24,19.995208740234375
2012-02-27,19.02640724182129
2012-02-28,20.5894718170166
2012-02-29,20.674365997314453
2012-03-01,20.659385681152344
2012-03-02,19.990215301513672
2012-03-05,20.96900177001953
2012-03-06,25.1588077545166
2012-03-07,25.278656005859375
