Date,KIRLOSENG
2002-08-12,8.020781517028809
2002-08-13,7.875871658325195
2002-08-14,7.839646816253662
2002-08-15,7.839646816253662
2002-08-16,7.796172142028809
2002-08-19,7.629524230957031
2002-08-20,7.470125675201416
2002-08-21,7.6802449226379395
2002-08-22,7.832399845123291
2002-08-23,7.817907810211182
2002-08-26,7.825152397155762
2002-08-27,8.151201248168945
2002-08-28,8.180182456970215
2002-08-29,8.22365665435791
2002-08-30,8.288865089416504
2002-09-02,7.984555721282959
2002-09-03,7.970062255859375
2002-09-04,7.9048542976379395
2002-09-05,8.267129898071289
2002-09-06,8.310604095458984
2002-09-09,8.35407543182373
2002-09-10,8.35407543182373
2002-09-11,8.477250099182129
2002-09-12,8.527970314025879
2002-09-13,8.701859474182129
2002-09-16,8.72359848022461
2002-09-17,8.67287826538086
2002-09-18,8.68012523651123
2002-09-19,8.665631294250488
2002-09-20,8.69461441040039
2002-09-23,8.701859474182129
2002-09-24,8.69461441040039
2002-09-25,8.69461441040039
2002-09-26,8.69461441040039
2002-09-27,8.69461441040039
2002-09-30,8.69461441040039
2002-10-01,8.40479564666748
2002-10-02,8.40479564666748
2002-10-03,8.12221622467041
2002-10-04,7.970062255859375
2002-10-07,8.274374008178711
2002-10-08,8.245392799377441
2002-10-09,8.042518615722656
2002-10-10,8.14395523071289
2002-10-11,8.317845344543457
2002-10-14,8.303357124328613
2002-10-15,8.303357124328613
2002-10-16,8.151201248168945
2002-10-17,8.259886741638184
2002-10-18,8.209165573120117
2002-10-21,8.22365665435791
2002-10-22,8.129465103149414
2002-10-23,8.216409683227539
2002-10-24,7.97730827331543
2002-10-25,8.013537406921387
2002-10-28,8.042518615722656
2002-10-29,8.12221622467041
2002-10-30,8.259886741638184
2002-10-31,8.238146781921387
2002-11-01,8.40479564666748
2002-11-04,8.470003128051758
2002-11-05,8.310604095458984
2002-11-06,8.310604095458984
2002-11-07,8.361323356628418
2002-11-08,8.267129898071289
2002-11-11,8.332337379455566
2002-11-12,8.267129898071289
2002-11-13,8.40479564666748
2002-11-14,8.40479564666748
2002-11-15,8.419283866882324
2002-11-18,8.498985290527344
2002-11-19,8.498985290527344
2002-11-20,8.68012523651123
2002-11-21,8.419283866882324
2002-11-22,8.419283866882324
2002-11-25,8.412039756774902
2002-11-26,8.346829414367676
2002-11-27,8.375812530517578
2002-11-28,8.419283866882324
2002-11-29,8.419283866882324
2002-12-02,8.375812530517578
2002-12-03,8.252638816833496
2002-12-04,8.441020965576172
2002-12-05,8.477250099182129
2002-12-06,8.520723342895508
2002-12-09,8.114973068237305
2002-12-10,8.158447265625
2002-12-11,8.564194679260254
2002-12-12,8.962698936462402
2002-12-13,8.897489547729492
2002-12-16,8.69461441040039
2002-12-17,8.69461441040039
2002-12-18,8.80329704284668
2002-12-19,8.69461441040039
2002-12-20,8.69461441040039
2002-12-23,8.767067909240723
2002-12-24,8.65838623046875
2002-12-25,8.65838623046875
2002-12-26,8.62215805053711
2002-12-27,8.296113014221191
2002-12-30,8.549704551696777
2002-12-31,8.390301704406738
2003-01-01,8.19467544555664
2003-01-02,8.332337379455566
2003-01-03,8.40479564666748
2003-01-06,8.296113014221191
2003-01-07,8.303357124328613
2003-01-08,8.281620025634766
2003-01-09,8.368565559387207
2003-01-10,8.259886741638184
2003-01-13,8.390301704406738
2003-01-14,8.477250099182129
2003-01-15,8.259886741638184
2003-01-16,8.259886741638184
