Date,BHARTIHEXA
2024-04-12,797.203125
2024-04-15,790.1455688476562
2024-04-16,885.6178588867188
2024-04-18,949.968505859375
2024-04-19,928.4039916992188
2024-04-22,908.4567260742188
2024-04-23,908.8488159179688
2024-04-24,899.6348266601562
2024-04-25,890.2738037109375
2024-04-26,876.9429931640625
2024-04-29,866.6508178710938
2024-04-30,849.3501586914062
2024-05-02,861.40673828125
2024-05-03,854.1040649414062
2024-05-06,888.5094604492188
2024-05-07,868.5621948242188
2024-05-08,852.6337890625
2024-05-09,851.4575805664062
2024-05-10,884.7356567382812
2024-05-13,882.3341064453125
2024-05-14,881.8930053710938
2024-05-15,935.1673583984375
2024-05-16,922.9636840820312
2024-05-17,947.4689331054688
2024-05-21,923.0618286132812
2024-05-22,945.6555786132812
2024-05-23,982.4133911132812
2024-05-24,1001.8214721679688
2024-05-27,1008.0458374023438
2024-05-28,970.1607666015625
2024-05-29,999.076904296875
2024-05-30,990.4510498046875
2024-05-31,1003.1448364257812
2024-06-03,1051.6651611328125
2024-06-04,941.1956176757812
2024-06-05,1000.1551513671875
2024-06-06,1034.952392578125
2024-06-07,1049.9986572265625
2024-06-10,1069.4068603515625
2024-06-11,1056.2230224609375
2024-06-12,1088.324951171875
2024-06-13,1069.700927734375
2024-06-14,1055.97802734375
2024-06-18,1131.8951416015625
2024-06-19,1125.8668212890625
2024-06-20,1110.820556640625
2024-06-21,1096.16650390625
2024-06-24,1098.126953125
2024-06-25,1137.8743896484375
2024-06-26,1232.2684326171875
2024-06-27,1161.9384765625
2024-06-28,1094.7451171875
2024-07-01,1078.0816650390625
2024-07-02,1058.820556640625
2024-07-03,1062.4473876953125
2024-07-04,1052.30224609375
2024-07-05,1073.523681640625
2024-07-08,1051.9591064453125
2024-07-09,1049.5084228515625
2024-07-10,1033.9722900390625
2024-07-11,1026.86572265625
2024-07-12,1069.0638427734375
2024-07-15,1044.215576171875
2024-07-16,1118.3681640625
2024-07-18,1115.0355224609375
2024-07-19,1116.1136474609375
2024-07-22,1088.81494140625
2024-07-23,1092.9808349609375
2024-07-24,1133.3653564453125
2024-07-25,1116.1627197265625
2024-07-26,1146.353271484375
2024-07-29,1142.824462890625
2024-07-30,1152.1363525390625
2024-07-31,1114.8885498046875
2024-08-01,1133.31640625
2024-08-02,1125.6217041015625
2024-08-05,1092.7847900390625
2024-08-06,1070.5830078125
2024-08-07,1103.6649169921875
2024-08-08,1107.781982421875
2024-08-09,1109.25244140625
