Date,SKFINDIA
2002-08-12,26.199857711791992
2002-08-13,26.166349411010742
2002-08-14,25.998830795288086
2002-08-15,25.998830795288086
2002-08-16,25.931827545166016
2002-08-19,25.56328582763672
2002-08-20,25.663793563842773
2002-08-21,25.22825050354004
2002-08-22,25.06073760986328
2002-08-23,25.56328582763672
2002-08-26,25.697296142578125
2002-08-27,25.19474220275879
2002-08-28,25.59678840637207
2002-08-29,25.22825050354004
2002-08-30,25.161243438720703
2002-09-02,25.06073760986328
2002-09-03,24.859710693359375
2002-09-04,24.62517738342285
2002-09-05,24.390657424926758
2002-09-06,24.189640045166016
2002-09-09,23.888103485107422
2002-09-10,23.888103485107422
2002-09-11,23.888103485107422
2002-09-12,24.022117614746094
2002-09-13,24.357158660888672
2002-09-16,24.25664710998535
2002-09-17,24.558181762695312
2002-09-18,23.921607971191406
2002-09-19,23.821096420288086
2002-09-20,23.720584869384766
2002-09-23,23.586572647094727
2002-09-24,23.11751937866211
2002-09-25,22.916501998901367
2002-09-26,23.218034744262695
2002-09-27,23.151020050048828
2002-09-30,22.882993698120117
2002-10-01,22.748981475830078
2002-10-02,22.748981475830078
2002-10-03,23.050514221191406
2002-10-04,22.782480239868164
2002-10-07,22.950000762939453
2002-10-08,23.017011642456055
2002-10-09,22.916501998901367
2002-10-10,22.815980911254883
2002-10-11,22.983503341674805
2002-10-14,22.916501998901367
2002-10-15,22.916501998901367
2002-10-16,22.748981475830078
2002-10-17,22.71547508239746
2002-10-18,22.71547508239746
2002-10-21,22.71547508239746
2002-10-22,22.614961624145508
2002-10-23,22.212923049926758
2002-10-24,22.145912170410156
2002-10-25,23.65357780456543
2002-10-28,23.620071411132812
2002-10-29,23.955106735229492
2002-10-30,23.75409507751465
2002-10-31,23.78759765625
2002-11-01,23.888103485107422
2002-11-04,24.089122772216797
2002-11-05,23.687084197998047
2002-11-06,23.687084197998047
2002-11-07,23.486059188842773
2002-11-08,23.41905975341797
2002-11-11,23.318544387817383
2002-11-12,23.3520450592041
2002-11-13,23.519567489624023
2002-11-14,23.720584869384766
2002-11-15,24.79269790649414
2002-11-18,25.697296142578125
2002-11-19,25.697296142578125
2002-11-20,27.7075252532959
2002-11-21,27.070955276489258
2002-11-22,27.808027267456055
2002-11-25,29.01416778564453
2002-11-26,28.545106887817383
2002-11-27,27.808027267456055
2002-11-28,28.042560577392578
2002-11-29,28.042560577392578
2002-12-02,29.047664642333984
2002-12-03,28.042560577392578
2002-12-04,27.271970748901367
2002-12-05,27.540000915527344
2002-12-06,27.405988693237305
2002-12-09,27.037446975708008
2002-12-10,28.042560577392578
2002-12-11,27.64051055908203
2002-12-12,27.372486114501953
2002-12-13,27.405988693237305
2002-12-16,27.372486114501953
2002-12-17,27.037446975708008
2002-12-18,26.936933517456055
2002-12-19,26.60190773010254
2002-12-20,26.70241355895996
2002-12-23,27.540000915527344
2002-12-24,28.980653762817383
2002-12-25,28.980653762817383
2002-12-26,30.488323211669922
2002-12-27,30.32080078125
2002-12-30,31.69445037841797
2002-12-31,31.158397674560547
2003-01-01,31.69445037841797
2003-01-02,30.62233543395996
2003-01-03,30.62233543395996
2003-01-06,29.98577880859375
2003-01-07,29.449708938598633
2003-01-08,29.784751892089844
2003-01-09,30.019271850585938
2003-01-10,30.220298767089844
2003-01-13,31.158397674560547
2003-01-14,30.220298767089844
2003-01-15,30.086280822753906
2003-01-16,30.086280822753906
2003-01-17,30.488323211669922
2003-01-20,30.287302017211914
2003-01-21,30.052776336669922
2003-01-22,29.550228118896484
2003-01-23,29.416208267211914
2003-01-24,28.210071563720703
2003-01-27,27.137962341308594
2003-01-28,28.076059341430664
2003-01-29,27.87504005432129
2003-01-30,27.57350730895996
2003-01-31,27.405988693237305
2003-02-03,27.7075252532959
2003-02-04,29.047664642333984
2003-02-05,28.143064498901367
2003-02-06,28.57861328125
2003-02-07,28.17656898498535
2003-02-10,28.34408950805664
2003-02-11,28.645626068115234
2003-02-12,28.143064498901367
2003-02-13,28.143064498901367
2003-02-14,27.774526596069336
2003-02-17,29.181678771972656
2003-02-18,30.454814910888672
2003-02-19,33.30263137817383
2003-02-20,32.23051834106445
2003-02-21,32.264015197753906
2003-02-24,31.79496955871582
2003-02-25,30.689342498779297
2003-02-26,30.488323211669922
2003-02-27,30.789857864379883
2003-02-28,30.488323211669922
2003-03-03,30.521821975708008
2003-03-04,29.88526153564453
2003-03-05,29.784751892089844
2003-03-06,29.416208267211914
2003-03-07,28.645626068115234
2003-03-10,28.545106887817383
2003-03-11,29.181678771972656
2003-03-12,28.47810173034668
2003-03-13,28.913650512695312
2003-03-14,28.913650512695312
2003-03-17,28.143064498901367
2003-03-18,28.143064498901367
2003-03-19,27.94204330444336
2003-03-20,29.382701873779297
2003-03-21,29.382701873779297
2003-03-24,28.813148498535156
2003-03-25,28.679126739501953
2003-03-26,28.34408950805664
2003-03-27,28.143064498901367
2003-03-28,28.411090850830078
2003-03-31,28.44460105895996
2003-04-01,28.71263313293457
2003-04-02,29.416208267211914
2003-04-03,29.952268600463867
2003-04-04,30.723865509033203
2003-04-07,31.460397720336914
2003-04-08,30.688791275024414
2003-04-09,30.40821075439453
2003-04-10,29.776899337768555
2003-04-11,29.882116317749023
2003-04-15,30.302995681762695
2003-04-16,30.338062286376953
2003-04-17,29.882116317749023
2003-04-18,29.882116317749023
2003-04-21,30.23284149169922
2003-04-22,31.670841217041016
2003-04-23,31.320106506347656
2003-04-24,30.23284149169922
2003-04-25,30.057485580444336
2003-04-28,30.23284149169922
2003-04-29,30.23284149169922
2003-04-30,30.022409439086914
2003-05-01,30.022409439086914
2003-05-02,30.653717041015625
2003-05-05,31.214893341064453
2003-05-06,31.670841217041016
2003-05-07,31.460397720336914
2003-05-08,31.17982292175293
2003-05-09,33.03868103027344
2003-05-12,34.1610221862793
2003-05-13,36.72134017944336
2003-05-14,37.492942810058594
2003-05-15,36.68626022338867
2003-05-16,36.79147720336914
2003-05-19,36.82655715942383
2003-05-20,36.72134017944336
2003-05-21,36.96684646606445
2003-05-22,36.68626022338867
2003-05-23,38.89585876464844
2003-05-26,41.66661071777344
2003-05-27,39.87789535522461
2003-05-28,41.070377349853516
2003-05-29,41.421104431152344
2003-05-30,40.43906021118164
2003-06-02,39.772682189941406
2003-06-03,38.439903259277344
2003-06-04,39.772682189941406
2003-06-05,40.544281005859375
2003-06-06,42.824031829833984
2003-06-09,46.57682800292969
2003-06-10,47.41857147216797
2003-06-11,46.962615966796875
2003-06-12,47.76929473876953
2003-06-13,51.45195388793945
2003-06-16,54.433143615722656
2003-06-17,51.52210235595703
2003-06-18,51.101226806640625
2003-06-19,50.43484115600586
2003-06-20,50.01396942138672
2003-06-23,47.97975158691406
2003-06-24,48.96177673339844
2003-06-25,51.27659606933594
2003-06-26,50.01396942138672
2003-06-27,49.59310531616211
2003-06-30,49.172218322753906
2003-07-01,50.68034744262695
2003-07-02,50.7504997253418
2003-07-03,49.97889709472656
2003-07-04,50.50498580932617
2003-07-07,51.59225082397461
2003-07-08,50.43484115600586
2003-07-09,49.20729446411133
2003-07-10,49.20729446411133
2003-07-11,49.31250762939453
2003-07-14,51.45195388793945
2003-07-15,50.2945556640625
2003-07-16,50.96094512939453
2003-07-17,50.99601745605469
2003-07-18,50.50498580932617
2003-07-21,49.48787307739258
2003-07-22,48.89163589477539
2003-07-23,49.066993713378906
2003-07-24,49.83860397338867
2003-07-25,48.26032257080078
2003-07-28,47.52378845214844
2003-07-29,47.10293197631836
2003-07-30,47.76929473876953
2003-07-31,46.33131408691406
2003-08-01,47.278289794921875
2003-08-04,50.01396942138672
2003-08-05,48.47074890136719
2003-08-06,47.90959167480469
2003-08-07,48.61105728149414
2003-08-08,48.78642272949219
2003-08-11,48.50584030151367
2003-08-12,47.97975158691406
2003-08-13,47.76929473876953
