Date,BHEL
1996-01-01,4.531366348266602
1996-01-02,4.325977802276611
1996-01-03,4.390163421630859
1996-01-04,4.313143730163574
1996-01-05,4.390163421630859
1996-01-08,4.325977802276611
1996-01-09,4.313143730163574
1996-01-10,4.236123561859131
1996-01-11,4.236123561859131
1996-01-12,4.261796474456787
1996-01-15,4.210446834564209
1996-01-16,4.261796474456787
1996-01-17,4.056407451629639
1996-01-18,4.056407451629639
1996-01-19,4.017897605895996
1996-01-22,4.005062103271484
1996-01-23,4.056407451629639
1996-01-24,4.005062103271484
1996-01-25,3.9537158012390137
1996-01-26,3.9537158012390137
1996-01-29,3.9537158012390137
1996-01-30,4.159102439880371
1996-01-31,4.007627964019775
1996-02-01,4.159102439880371
1996-02-02,4.503124713897705
1996-02-05,4.325977802276611
1996-02-06,4.313143730163574
1996-02-07,4.313143730163574
1996-02-08,4.364490032196045
1996-02-09,4.980652809143066
1996-02-12,5.504391193389893
1996-02-13,5.725183486938477
1996-02-14,6.161633014678955
1996-02-15,6.161633014678955
1996-02-16,5.776530742645264
1996-02-19,5.892061710357666
1996-02-20,5.76882791519165
1996-02-21,5.76882791519165
1996-02-22,5.750857353210449
1996-02-23,6.058938026428223
1996-02-26,6.058938026428223
1996-02-27,6.207845211029053
1996-02-28,5.92030143737793
1996-02-29,5.648163318634033
1996-03-01,5.9048991203308105
1996-03-04,6.12312126159668
1996-03-05,6.12312126159668
1996-03-06,5.992188453674316
1996-03-07,5.917735576629639
1996-03-08,5.9048991203308105
1996-03-11,5.80220365524292
1996-03-12,5.6532979011535645
1996-03-13,5.753424644470215
1996-03-14,5.80220365524292
1996-03-15,5.850985050201416
1996-03-18,5.655865669250488
1996-03-19,5.699510097503662
1996-03-20,5.699510097503662
1996-03-21,5.648163318634033
1996-03-22,5.94854211807251
1996-03-25,5.9048991203308105
1996-03-26,6.058938026428223
1996-03-27,6.092313289642334
1996-03-28,6.500522136688232
1996-03-29,6.195008277893066
1996-04-01,6.356751441955566
1996-04-02,6.754690647125244
1996-04-03,7.206540584564209
1996-04-04,7.2142438888549805
1996-04-05,7.2142438888549805
1996-04-08,7.8483781814575195
1996-04-09,7.8047356605529785
1996-04-10,7.740551471710205
1996-04-11,7.825273513793945
1996-04-12,7.874053478240967
1996-04-15,7.907431602478027
1996-04-16,8.01525592803955
1996-04-17,8.010124206542969
1996-04-18,8.164162635803223
1996-04-19,8.159029960632324
1996-04-22,8.112815856933594
1996-04-23,8.34901237487793
1996-04-24,8.854779243469238
1996-04-25,8.664793968200684
1996-04-26,9.044761657714844
1996-04-29,8.900992393493652
1996-04-30,9.232179641723633
1996-05-01,9.314332962036133
1996-05-02,9.496618270874023
1996-05-03,9.596742630004883
1996-05-06,9.314332962036133
1996-05-07,9.483782768249512
1996-05-08,9.560799598693848
1996-05-09,9.429864883422852
1996-05-10,9.30406379699707
1996-05-13,9.550531387329102
1996-05-14,9.758484840393066
1996-05-15,9.558234214782715
1996-05-16,9.691731452941895
1996-05-17,9.653223037719727
1996-05-20,9.586474418640137
1996-05-21,9.529989242553711
1996-05-22,9.473511695861816
1996-05-23,9.345142364501953
1996-05-24,9.512022972106934
1996-05-27,9.31947135925293
1996-05-28,9.088410377502441
1996-05-29,9.31947135925293
1996-05-30,9.332307815551758
1996-05-31,9.16542911529541
1996-06-03,9.062732696533203
1996-06-04,8.865049362182617
1996-06-05,8.554400444030762
1996-06-06,8.728981018066406
1996-06-07,8.664793968200684
1996-06-10,8.816267967224121
1996-06-11,8.8676176071167
1996-06-12,8.857346534729004
1996-06-13,9.283528327941895
1996-06-14,9.509452819824219
1996-06-17,9.473511695861816
1996-06-18,9.373382568359375
1996-06-19,9.401623725891113
1996-06-20,9.499185562133789
1996-06-21,9.275824546813965
1996-06-24,9.242447853088379
1996-06-25,9.242447853088379
1996-06-26,9.062732696533203
1996-06-27,9.088410377502441
1996-06-28,9.232179641723633
1996-07-01,9.114081382751465
1996-07-02,9.124349594116211
1996-07-03,8.985713005065918
1996-07-04,9.088410377502441
1996-07-05,9.114081382751465
1996-07-08,9.216775894165039
1996-07-09,9.013955116271973
1996-07-10,9.083273887634277
1996-07-11,9.03706169128418
1996-07-12,9.05246639251709
1996-07-15,9.083273887634277
1996-07-16,9.121785163879395
1996-07-17,9.209074020385742
1996-07-18,9.25271987915039
1996-07-19,9.288661003112793
1996-07-22,9.293794631958008
1996-07-23,9.03706169128418
1996-07-24,9.242447853088379
1996-07-25,9.209074020385742
1996-07-26,9.001120567321777
1996-07-29,9.03706169128418
1996-07-30,8.780326843261719
1996-07-31,8.831672668457031
1996-08-01,8.75978946685791
1996-08-02,8.88302230834961
1996-08-05,8.942068099975586
1996-08-06,8.844511032104492
1996-08-07,8.831672668457031
1996-08-08,8.831672668457031
1996-08-09,8.780326843261719
1996-08-12,8.728981018066406
1996-08-13,8.59034252166748
1996-08-14,8.531291961669922
1996-08-15,8.531291961669922
1996-08-16,8.287393569946289
1996-08-19,7.812438011169434
1996-08-20,7.779060363769531
1996-08-21,8.251452445983887
1996-08-22,8.135924339294434
1996-08-23,8.497920036315918
1996-08-26,8.364416122436523
1996-08-27,8.356718063354492
1996-08-28,8.582639694213867
1996-08-29,8.574939727783203
1996-08-30,8.99084758758545
1996-09-02,9.386220932006836
1996-09-03,9.098677635192871
1996-09-04,9.201373100280762
1996-09-05,9.499185562133789
1996-09-06,9.586474418640137
1996-09-09,9.275824546813965
1996-09-10,9.09097671508789
1996-09-11,8.954906463623047
1996-09-12,9.083273887634277
1996-09-13,9.070436477661133
1996-09-16,9.293794631958008
1996-09-17,9.545394897460938
1996-09-18,9.250152587890625
1996-09-19,9.196237564086914
1996-09-20,9.1885347366333
1996-09-23,9.22191047668457
1996-09-24,9.245015144348145
1996-09-25,9.157727241516113
1996-09-26,8.983145713806152
1996-09-27,9.02165699005127
1996-09-30,9.162861824035645
1996-10-01,9.1089448928833
1996-10-02,9.1089448928833
1996-10-03,8.954906463623047
1996-10-04,8.67249870300293
1996-10-07,8.284828186035156
1996-10-08,8.580074310302734
1996-10-09,8.567233085632324
1996-10-10,8.823973655700684
1996-10-11,9.16542911529541
1996-10-14,9.247581481933594
1996-10-15,9.399057388305664
1996-10-16,9.311765670776367
1996-10-17,9.257854461669922
1996-10-18,9.286092758178711
1996-10-21,9.286092758178711
1996-10-22,9.3554105758667
