Date,SIS
2017-08-10,367.14337158203125
2017-08-11,373.3509826660156
2017-08-14,389.3548278808594
2017-08-16,394.0589904785156
2017-08-17,395.27142333984375
2017-08-18,383.8504943847656
2017-08-21,375.77581787109375
2017-08-22,370.9261474609375
2017-08-23,376.9881896972656
2017-08-24,372.090087890625
2017-08-28,374.9028625488281
2017-08-29,366.4401550292969
2017-08-30,377.64288330078125
2017-08-31,376.11529541015625
2017-09-01,378.4188537597656
2017-09-04,378.515869140625
2017-09-05,374.15118408203125
2017-09-06,376.3819885253906
2017-09-07,376.7456970214844
2017-09-08,382.22589111328125
2017-09-11,387.82720947265625
2017-09-12,379.89801025390625
2017-09-13,378.20062255859375
2017-09-14,373.5691833496094
2017-09-15,378.5885925292969
2017-09-18,383.8504943847656
2017-09-19,377.9096374511719
2017-09-20,373.73895263671875
2017-09-21,375.8727722167969
2017-09-22,372.4537658691406
2017-09-25,373.1570129394531
2017-09-26,370.5623779296875
2017-09-27,377.76416015625
2017-09-28,385.62060546875
2017-09-29,387.7786865234375
2017-10-03,378.0551452636719
2017-10-04,375.89703369140625
2017-10-05,375.77581787109375
2017-10-06,372.9387512207031
2017-10-09,374.9998474121094
2017-10-10,380.7466735839844
2017-10-11,380.77093505859375
2017-10-12,383.1473083496094
2017-10-13,383.7777099609375
2017-10-16,380.7224426269531
2017-10-17,382.6865539550781
2017-10-18,382.05609130859375
2017-10-19,384.2142333984375
2017-10-23,378.8310852050781
2017-10-24,380.7224426269531
2017-10-25,377.4246520996094
2017-10-26,376.9881896972656
2017-10-27,376.0910339355469
2017-10-30,379.5585632324219
2017-10-31,379.9949951171875
2017-11-01,381.5469055175781
2017-11-02,379.3887939453125
2017-11-03,398.0115051269531
2017-11-06,395.3199157714844
2017-11-07,407.6622619628906
2017-11-08,407.6622619628906
2017-11-09,411.25103759765625
2017-11-10,408.7049560546875
2017-11-13,411.5177307128906
2017-11-14,423.4721984863281
2017-11-15,417.82232666015625
2017-11-16,432.03179931640625
2017-11-17,429.00079345703125
2017-11-20,439.93682861328125
2017-11-21,437.1724853515625
2017-11-22,436.6875
2017-11-23,500.5575256347656
2017-11-24,547.6961669921875
2017-11-27,550.363525390625
2017-11-28,564.4517822265625
2017-11-29,556.8862915039062
2017-11-30,546.1928100585938
2017-12-01,543.1133422851562
2017-12-04,533.3411865234375
2017-12-05,541.003662109375
2017-12-06,528.6370239257812
2017-12-07,523.7631225585938
2017-12-08,557.5167236328125
2017-12-11,585.8630981445312
2017-12-12,613.2635498046875
2017-12-13,603.7825317382812
2017-12-14,576.6970825195312
2017-12-15,598.0357055664062
2017-12-18,586.2994384765625
2017-12-19,587.3179931640625
2017-12-20,574.2481079101562
2017-12-21,605.45556640625
2017-12-22,592.7009887695312
2017-12-26,606.5225830078125
2017-12-27,588.4818115234375
2017-12-28,586.46923828125
2017-12-29,582.7107543945312
2018-01-01,572.7447509765625
2018-01-02,551.818359375
2018-01-03,565.7369995117188
2018-01-04,569.5196533203125
2018-01-05,562.5603637695312
2018-01-08,567.5797729492188
2018-01-09,566.9008178710938
2018-01-10,545.7321166992188
2018-01-11,549.4906005859375
2018-01-12,551.139404296875
2018-01-15,552.9823608398438
2018-01-16,572.502197265625
2018-01-17,564.8154907226562
2018-01-18,570.2955322265625
2018-01-19,611.2510375976562
2018-01-22,595.7562866210938
2018-01-23,601.2363891601562
2018-01-24,594.2286987304688
2018-01-25,586.493408203125
2018-01-29,595.61083984375
2018-01-30,582.0318603515625
2018-01-31,576.6970825195312
2018-02-01,574.90283203125
2018-02-02,551.9396362304688
2018-02-05,549.8784790039062
2018-02-06,575.2423095703125
2018-02-07,583.573486328125
2018-02-08,584.0106811523438
2018-02-09,590.2044067382812
2018-02-12,589.5244140625
2018-02-14,590.5444946289062
2018-02-15,569.2427978515625
2018-02-16,548.4512329101562
2018-02-19,555.4222412109375
2018-02-20,547.4310302734375
2018-02-21,558.9442138671875
2018-02-22,563.437744140625
2018-02-23,562.0045776367188
2018-02-26,580.2459106445312
2018-02-27,571.5745849609375
2018-02-28,575.3637084960938
2018-03-01,562.7819213867188
2018-03-05,564.9679565429688
2018-03-06,556.15087890625
2018-03-07,552.458984375
2018-03-08,532.3717651367188
2018-03-09,526.275146484375
2018-03-12,526.275146484375
2018-03-13,523.8947143554688
2018-03-14,517.045166015625
2018-03-15,512.5274047851562
2018-03-16,522.753173828125
2018-03-19,522.8746948242188
2018-03-20,525.3279418945312
2018-03-21,534.3878173828125
2018-03-22,521.8788452148438
2018-03-23,531.2544555664062
2018-03-26,550.3943481445312
2018-03-27,543.7877197265625
2018-03-28,544.9778442382812
2018-04-02,550.5643920898438
2018-04-03,548.0626220703125
2018-04-04,557.4625244140625
2018-04-05,561.66455078125
2018-04-06,553.7705688476562
2018-04-09,541.3587646484375
2018-04-10,545.90087890625
2018-04-11,543.4962158203125
2018-04-12,538.8812866210938
2018-04-13,538.8084106445312
2018-04-16,536.3551635742188
2018-04-17,536.9624633789062
2018-04-18,538.10400390625
2018-04-19,529.94287109375
2018-04-20,523.7733764648438
2018-04-23,523.3604125976562
2018-04-24,524.3076782226562
2018-04-25,529.116943359375
2018-04-26,547.7711181640625
2018-04-27,573.5420532226562
2018-04-30,612.9391479492188
2018-05-02,599.1914672851562
2018-05-03,642.6448974609375
2018-05-04,636.7183227539062
