Date,ADANIPORTS
2007-11-27,172.95175170898438
2007-11-28,159.60614013671875
2007-11-29,159.9668426513672
2007-11-30,167.54136657714844
2007-12-03,176.739013671875
2007-12-04,189.18289184570312
2007-12-05,195.4949493408203
2007-12-06,196.5950927734375
2007-12-07,198.3804931640625
2007-12-10,193.6103973388672
2007-12-11,188.64183044433594
2007-12-12,187.0006866455078
2007-12-13,203.99827575683594
2007-12-14,199.64292907714844
2007-12-17,188.32623291015625
2007-12-18,188.32623291015625
2007-12-19,192.41104125976562
2007-12-20,191.20272827148438
2007-12-24,208.62413024902344
2007-12-26,216.39707946777344
2007-12-27,218.51612854003906
2007-12-28,225.2700958251953
2007-12-31,228.82290649414062
2008-01-01,233.88162231445312
2008-01-02,235.79327392578125
2008-01-03,230.08535766601562
2008-01-04,223.69203186035156
2008-01-07,221.32955932617188
2008-01-08,217.28077697753906
2008-01-09,212.853271484375
2008-01-10,202.2669677734375
2008-01-11,195.82859802246094
2008-01-14,186.68508911132812
2008-01-15,189.2820587158203
2008-01-16,185.82846069335938
2008-01-17,184.1151580810547
2008-01-18,179.37205505371094
2008-01-21,148.79437255859375
2008-01-22,132.65342712402344
2008-01-23,154.5564727783203
2008-01-24,146.8286590576172
2008-01-25,156.12548828125
2008-01-28,148.0279541015625
2008-01-29,151.62583923339844
2008-01-30,149.76828002929688
2008-01-31,151.06671142578125
2008-02-01,148.84854125976562
2008-02-04,154.39413452148438
2008-02-05,150.4625701904297
2008-02-06,145.6293182373047
2008-02-07,143.6004180908203
2008-02-08,141.4002227783203
2008-02-11,128.2620086669922
2008-02-12,122.86968231201172
2008-02-13,121.00311279296875
2008-02-14,128.00953674316406
2008-02-15,131.42710876464844
2008-02-18,139.15492248535156
2008-02-19,137.7662353515625
2008-02-20,132.0312042236328
2008-02-21,133.02316284179688
2008-02-22,130.57041931152344
2008-02-25,127.62179565429688
2008-02-26,132.6985321044922
2008-02-27,134.61019897460938
2008-02-28,133.05015563964844
2008-02-29,132.6714630126953
2008-03-03,126.10689544677734
2008-03-04,120.69652557373047
2008-03-05,115.5837173461914
2008-03-07,109.96591186523438
2008-03-10,108.41495513916016
2008-03-11,112.48175048828125
2008-03-12,108.7305679321289
2008-03-13,102.12989807128906
2008-03-14,101.17403411865234
2008-03-17,92.2379150390625
2008-03-18,90.60580444335938
2008-03-19,89.76718139648438
2008-03-24,84.61831665039062
2008-03-25,89.65897369384766
2008-03-26,90.9033432006836
2008-03-27,93.05848693847656
2008-03-28,111.67018127441406
2008-03-31,104.37519073486328
2008-04-01,106.80084991455078
2008-04-02,109.71342468261719
2008-04-03,108.6223373413086
2008-04-04,106.98119354248047
2008-04-07,107.01725769042969
2008-04-08,106.34097290039062
2008-04-09,107.80177307128906
2008-04-10,109.75852966308594
2008-04-11,110.04708099365234
2008-04-15,115.88127136230469
2008-04-16,114.95247650146484
2008-04-17,112.95967864990234
2008-04-21,116.35016632080078
2008-04-22,120.08332824707031
2008-04-23,120.23663330078125
2008-04-24,119.97513580322266
2008-04-25,128.43336486816406
2008-04-28,132.81573486328125
2008-04-29,133.5641632080078
2008-04-30,137.0899658203125
2008-05-02,138.26219177246094
2008-05-05,136.05296325683594
2008-05-06,136.68417358398438
2008-05-07,138.59585571289062
2008-05-08,140.9403839111328
2008-05-09,141.34613037109375
2008-05-12,145.63832092285156
2008-05-13,142.98727416992188
2008-05-14,142.3289794921875
2008-05-15,142.62657165527344
2008-05-16,139.87632751464844
2008-05-20,159.434814453125
2008-05-21,162.55479431152344
2008-05-22,159.49794006347656
2008-05-23,153.95228576660156
2008-05-26,160.04798889160156
2008-05-27,157.45098876953125
2008-05-28,151.67095947265625
2008-05-29,150.56179809570312
2008-05-30,142.54541015625
2008-06-02,138.10891723632812
2008-06-03,133.34776306152344
2008-06-04,126.6388931274414
2008-06-05,118.58645629882812
2008-06-06,115.34925842285156
2008-06-09,110.47989654541016
2008-06-10,106.26882934570312
2008-06-11,109.48799896240234
2008-06-12,107.0353012084961
2008-06-13,108.26165008544922
2008-06-16,111.976806640625
2008-06-17,113.72615814208984
2008-06-18,113.41954040527344
2008-06-19,117.07154846191406
2008-06-20,112.58092498779297
2008-06-23,102.98651885986328
2008-06-24,102.56272888183594
2008-06-25,99.13613891601562
