Date,VRLLOG
2015-04-30,126.07756042480469
2015-05-04,121.3191146850586
2015-05-05,122.4122543334961
2015-05-06,119.71150970458984
2015-05-07,117.93242645263672
2015-05-08,120.46172332763672
2015-05-11,120.0116195678711
2015-05-12,112.23086547851562
2015-05-13,115.70326232910156
2015-05-14,116.68925476074219
2015-05-15,114.69583892822266
2015-05-18,119.45426940917969
2015-05-19,123.84835815429688
2015-05-20,129.1426544189453
2015-05-21,125.39165496826172
2015-05-22,124.44852447509766
2015-05-25,127.40650177001953
2015-05-26,137.2449188232422
2015-05-27,130.6645050048828
2015-05-28,136.1302947998047
2015-05-29,132.61505126953125
2015-06-01,131.41468811035156
2015-06-02,129.0998077392578
2015-06-03,122.06928253173828
2015-06-04,124.27703094482422
2015-06-05,124.51287078857422
2015-06-08,122.30506896972656
2015-06-09,124.23416900634766
2015-06-10,124.08416748046875
2015-06-11,122.34793853759766
2015-06-12,121.42627716064453
2015-06-15,124.29850006103516
2015-06-16,125.54169464111328
2015-06-17,125.90604400634766
2015-06-18,133.79397583007812
2015-06-19,135.46583557128906
2015-06-22,133.85826110839844
2015-06-23,135.8302459716797
2015-06-24,133.2581024169922
2015-06-25,132.8079376220703
2015-06-26,131.95059204101562
2015-06-29,129.7856903076172
2015-06-30,131.30758666992188
2015-07-01,131.41468811035156
2015-07-02,134.54415893554688
2015-07-03,137.20201110839844
2015-07-06,141.8961944580078
2015-07-07,144.1896514892578
2015-07-08,138.2952117919922
2015-07-09,140.35292053222656
2015-07-10,140.6958465576172
2015-07-13,141.57464599609375
2015-07-14,150.42709350585938
2015-07-15,149.52682495117188
2015-07-16,152.6348114013672
2015-07-17,149.24818420410156
2015-07-20,153.8780517578125
2015-07-21,151.8417510986328
2015-07-22,158.31500244140625
2015-07-23,156.38587951660156
2015-07-24,154.242431640625
2015-07-27,153.6422576904297
2015-07-28,163.00914001464844
2015-07-29,159.87969970703125
2015-07-30,162.06602478027344
2015-07-31,165.6455841064453
2015-08-03,170.46832275390625
2015-08-04,168.21771240234375
2015-08-05,166.18141174316406
2015-08-06,162.75192260742188
2015-08-07,164.03797912597656
2015-08-10,169.01077270507812
2015-08-11,167.8961944580078
2015-08-12,162.96627807617188
2015-08-13,157.56475830078125
2015-08-14,161.10145568847656
2015-08-17,164.05938720703125
2015-08-18,166.05284118652344
2015-08-19,165.259765625
2015-08-20,159.79396057128906
2015-08-21,158.74366760253906
2015-08-24,153.85662841796875
2015-08-25,162.96627807617188
2015-08-26,168.5177764892578
2015-08-27,177.60601806640625
2015-08-28,193.89617919921875
2015-08-31,200.19793701171875
2015-09-01,186.6942138671875
2015-09-02,174.3050994873047
2015-09-03,173.34054565429688
2015-09-04,166.20286560058594
2015-09-07,171.49716186523438
2015-09-08,176.53427124023438
2015-09-09,178.63485717773438
2015-09-10,172.05445861816406
2015-09-11,175.59115600585938
2015-09-14,175.4411163330078
2015-09-15,172.697509765625
2015-09-16,169.56805419921875
2015-09-18,167.57467651367188
2015-09-21,172.09735107421875
2015-09-22,169.3108673095703
2015-09-23,170.7898406982422
2015-09-24,169.65380859375
2015-09-28,169.84671020507812
2015-09-29,167.31744384765625
