Date,VMART
2013-02-20,49.97801208496094
2013-02-21,48.42926025390625
2013-02-22,47.888427734375
2013-02-25,47.445926666259766
2013-02-26,45.08591842651367
2013-02-27,44.0780029296875
2013-02-28,41.8777961730957
2013-03-01,42.22195816040039
2013-03-04,42.725921630859375
2013-03-05,41.791751861572266
2013-03-06,43.7952995300293
2013-03-07,43.5125846862793
2013-03-08,43.008628845214844
2013-03-11,44.13946533203125
2013-03-12,44.237796783447266
2013-03-13,43.746124267578125
2013-03-14,44.18862533569336
2013-03-15,44.0780029296875
2013-03-18,44.348426818847656
2013-03-19,43.30362319946289
2013-03-20,42.06216049194336
2013-03-21,41.705711364746094
2013-03-22,41.00508117675781
2013-03-25,39.43174362182617
2013-03-26,40.31674575805664
2013-03-28,41.59508514404297
2013-04-01,41.5459098815918
2013-04-02,43.70925521850586
2013-04-03,43.7215461730957
2013-04-04,41.914669036865234
2013-04-05,41.05424880981445
2013-04-08,40.599456787109375
2013-04-09,40.32903289794922
2013-04-10,40.402793884277344
2013-04-11,39.64070510864258
2013-04-12,39.05070495605469
2013-04-15,38.66965866088867
2013-04-16,40.562583923339844
2013-04-17,41.410701751708984
2013-04-18,42.11134338378906
2013-04-22,42.91029357910156
2013-04-23,43.02091598510742
2013-04-25,42.77508544921875
2013-04-26,41.80404281616211
2013-04-29,43.02091598510742
2013-04-30,43.45112991333008
2013-05-02,42.701332092285156
2013-05-03,42.246543884277344
2013-05-06,40.31674575805664
2013-05-07,40.05862045288086
2013-05-08,39.812782287597656
2013-05-09,40.13236618041992
2013-05-10,40.24299621582031
2013-05-13,39.73902893066406
2013-05-14,39.8250732421875
2013-05-15,40.32903289794922
2013-05-16,40.31674575805664
2013-05-17,39.3825798034668
2013-05-20,40.181541442871094
2013-05-21,35.3386116027832
2013-05-22,33.06464385986328
2013-05-23,34.26923370361328
2013-05-24,33.519447326660156
2013-05-27,35.11737060546875
2013-05-28,35.04361343383789
2013-05-29,33.568607330322266
2013-05-30,33.851318359375
2013-05-31,31.73714828491211
2013-06-03,30.987354278564453
2013-06-04,27.37359619140625
2013-06-05,27.730056762695312
2013-06-06,29.524641036987305
2013-06-07,28.92234992980957
2013-06-10,29.229639053344727
2013-06-11,29.303396224975586
2013-06-12,30.507978439331055
2013-06-13,32.90486526489258
2013-06-14,34.342979431152344
2013-06-17,33.98652648925781
2013-06-18,33.98652648925781
2013-06-19,35.04361343383789
2013-06-20,34.51506805419922
2013-06-21,33.70381164550781
2013-06-24,34.3306884765625
2013-06-25,33.076942443847656
2013-06-26,31.98297882080078
2013-06-27,32.892574310302734
2013-06-28,33.39651870727539
2013-07-01,33.98652648925781
2013-07-02,33.7284049987793
2013-07-03,33.22443771362305
2013-07-04,32.20423889160156
2013-07-05,32.056732177734375
2013-07-08,32.96631622314453
2013-07-09,33.18756103515625
2013-07-10,32.6098518371582
2013-07-11,32.57298278808594
2013-07-12,36.825904846191406
2013-07-15,38.030487060546875
2013-07-16,35.85486602783203
2013-07-17,36.45716094970703
2013-07-18,35.26485824584961
2013-07-19,34.4167366027832
2013-07-22,34.4167366027832
2013-07-23,35.12965393066406
2013-07-24,34.4167366027832
2013-07-25,35.35091018676758
2013-07-26,34.23236083984375
2013-07-29,36.616943359375
2013-07-30,36.48173522949219
2013-07-31,43.29133605957031
2013-08-01,41.84091567993164
2013-08-02,41.11570358276367
2013-08-05,40.365909576416016
2013-08-06,40.599456787109375
2013-08-07,41.60737609863281
2013-08-08,41.76716995239258
2013-08-12,41.791751861572266
2013-08-13,41.80404281616211
2013-08-14,41.705711364746094
2013-08-16,40.74695587158203
2013-08-19,41.631961822509766
2013-08-20,41.693424224853516
2013-08-21,41.80404281616211
