Date,KALYANKJIL
2021-03-26,74.29032135009766
2021-03-30,69.99293518066406
2021-03-31,67.27619934082031
2021-04-01,70.53628540039062
2021-04-05,69.05442810058594
2021-04-06,69.49898529052734
2021-04-07,69.05442810058594
2021-04-08,71.96873474121094
2021-04-09,70.14112091064453
2021-04-12,67.52317810058594
2021-04-13,68.46168518066406
2021-04-15,68.1653060913086
2021-04-16,68.0665283203125
2021-04-19,66.04132843017578
2021-04-20,66.33769989013672
2021-04-22,65.89313507080078
2021-04-23,64.80644989013672
2021-04-26,63.07761001586914
2021-04-27,60.657249450683594
2021-04-28,60.90422821044922
2021-04-29,60.509063720703125
2021-04-30,59.17539596557617
2021-05-03,57.94051742553711
2021-05-04,57.54535675048828
2021-05-05,57.39716720581055
2021-05-06,56.01410675048828
2021-05-07,58.08870315551758
2021-05-10,60.75604248046875
2021-05-11,62.83063888549805
2021-05-12,61.59575653076172
2021-05-14,60.06450653076172
2021-05-17,60.015113830566406
2021-05-18,60.509063720703125
2021-05-19,60.45967102050781
2021-05-20,59.37297439575195
2021-05-21,61.15120315551758
2021-05-24,62.23789596557617
2021-05-25,67.02922058105469
2021-05-26,70.33869934082031
2021-05-27,67.67135620117188
2021-05-28,67.07862091064453
2021-05-31,65.99193572998047
2021-06-01,67.12801361083984
2021-06-02,69.40019226074219
2021-06-03,70.23991394042969
2021-06-04,79.87196350097656
2021-06-07,82.19354248046875
2021-06-08,80.61289978027344
2021-06-09,84.36692810058594
2021-06-10,85.25604248046875
2021-06-11,84.16934204101562
2021-06-14,82.68748474121094
2021-06-15,82.24292755126953
2021-06-16,80.81047058105469
2021-06-17,80.90927124023438
2021-06-18,79.52619171142578
2021-06-21,78.88406372070312
2021-06-22,80.51410675048828
2021-06-23,79.87196350097656
2021-06-24,78.78527069091797
2021-06-25,78.2419204711914
2021-06-28,77.89615631103516
2021-06-29,76.51309204101562
2021-06-30,77.30342102050781
2021-07-01,75.42640686035156
2021-07-02,77.1058349609375
2021-07-05,76.06853485107422
2021-07-06,75.77216339111328
2021-07-07,76.56249237060547
2021-07-08,77.00704956054688
2021-07-09,76.56249237060547
2021-07-12,75.72277069091797
2021-07-13,75.57459259033203
2021-07-14,75.1300277709961
2021-07-15,74.19152069091797
