Date,ORIENTELEC
2018-05-14,132.228271484375
2018-05-15,133.6922149658203
2018-05-16,129.064208984375
2018-05-17,122.83059692382812
2018-05-18,116.69143676757812
2018-05-21,121.6027603149414
2018-05-22,120.04436492919922
2018-05-23,121.36664581298828
2018-05-24,126.56132507324219
2018-05-25,128.2614288330078
2018-05-28,127.69470977783203
2018-05-29,126.98636627197266
2018-05-30,124.67235565185547
2018-05-31,122.83059692382812
2018-06-01,118.10816955566406
2018-06-04,114.6135482788086
2018-06-05,112.20510864257812
2018-06-06,112.44123840332031
2018-06-07,120.37492370605469
2018-06-08,120.04436492919922
2018-06-11,120.79995727539062
2018-06-12,121.88611602783203
2018-06-13,120.89439392089844
2018-06-14,120.2804946899414
2018-06-15,125.23905181884766
2018-06-18,127.93082427978516
2018-06-19,122.97227478027344
2018-06-20,124.24732208251953
2018-06-21,123.53894805908203
2018-06-22,120.3277359008789
2018-06-25,119.09989166259766
2018-06-26,119.24153137207031
2018-06-27,117.21090698242188
2018-06-28,118.39149475097656
2018-06-29,118.48595428466797
2018-07-02,115.88861846923828
2018-07-03,115.27471160888672
2018-07-04,117.49424743652344
2018-07-05,114.33021545410156
2018-07-06,114.18853759765625
2018-07-09,115.08580017089844
2018-07-10,124.71184539794922
2018-07-11,121.7718734741211
2018-07-12,118.59480285644531
2018-07-13,115.9393539428711
2018-07-16,110.0119857788086
2018-07-17,110.24907684326172
2018-07-18,110.24907684326172
2018-07-19,108.21004486083984
2018-07-20,104.84330749511719
2018-07-23,109.15843963623047
2018-07-24,109.8697280883789
2018-07-25,109.01618194580078
2018-07-26,116.8403091430664
2018-07-27,124.90155029296875
2018-07-30,132.53598022460938
2018-07-31,137.46755981445312
2018-08-01,129.02699279785156
2018-08-02,133.7688446044922
2018-08-03,130.8289031982422
2018-08-06,134.52755737304688
2018-08-07,131.30308532714844
2018-08-08,134.00596618652344
2018-08-09,145.4813690185547
2018-08-10,148.89552307128906
2018-08-13,145.19688415527344
2018-08-14,146.2400665283203
2018-08-16,144.15365600585938
2018-08-17,143.67941284179688
2018-08-20,143.01559448242188
2018-08-21,148.42132568359375
2018-08-23,156.62477111816406
2018-08-24,162.74183654785156
2018-08-27,159.99156188964844
2018-08-28,156.8618621826172
2018-08-29,156.62477111816406
2018-08-30,160.8925018310547
2018-08-31,160.7976837158203
2018-09-03,161.46153259277344
2018-09-04,159.3751220703125
2018-09-05,154.4435272216797
2018-09-06,155.2022247314453
2018-09-07,158.23704528808594
2018-09-10,152.87869262695312
2018-09-11,151.64581298828125
2018-09-12,147.71006774902344
2018-09-14,151.8354949951172
2018-09-17,150.4129180908203
2018-09-18,146.05039978027344
2018-09-19,147.23585510253906
2018-09-21,141.92494201660156
2018-09-24,132.2515106201172
2018-09-25,132.1566619873047
2018-09-26,130.4021453857422
2018-09-27,128.03115844726562
2018-09-28,122.24605560302734
2018-10-01,115.89192962646484
2018-10-03,118.21543884277344
2018-10-04,116.36611938476562
2018-10-05,118.31031036376953
2018-10-08,111.29228973388672
2018-10-09,111.57681274414062
2018-10-10,120.20704650878906
2018-10-11,118.59480285644531
2018-10-12,120.53898620605469
2018-10-15,135.5233612060547
2018-10-16,129.1217803955078
2018-10-17,121.10800170898438
2018-10-19,119.82769775390625
2018-10-22,115.65482330322266
2018-10-23,111.0077896118164
2018-10-24,111.38711547851562
2018-10-25,113.52096557617188
2018-10-26,116.98255920410156
2018-10-29,118.21543884277344
2018-10-30,119.8751220703125
2018-10-31,119.40093231201172
2018-11-01,118.59480285644531
2018-11-02,122.90995025634766
2018-11-05,125.37570190429688
2018-11-06,123.90571594238281
2018-11-07,128.12603759765625
2018-11-09,130.4969940185547
2018-11-12,128.6002197265625
2018-11-13,132.72561645507812
2018-11-14,132.3937530517578
2018-11-15,129.26406860351562
2018-11-16,130.16500854492188
2018-11-19,127.2724838256836
2018-11-20,126.94054412841797
2018-11-21,128.88470458984375
2018-11-22,132.20404052734375
2018-11-26,131.82470703125
2018-11-27,130.73403930664062
2018-11-28,133.34213256835938
2018-11-29,132.06178283691406
2018-11-30,132.44113159179688
2018-12-03,131.7772674560547
2018-12-04,132.5834197998047
2018-12-05,128.88470458984375
2018-12-06,127.9837875366211
2018-12-07,137.42013549804688
2018-12-10,137.37274169921875
2018-12-11,138.89010620117188
2018-12-12,147.42550659179688
2018-12-13,147.85227966308594
2018-12-14,146.47715759277344
2018-12-17,144.6752471923828
2018-12-18,142.3042755126953
2018-12-19,144.29588317871094
2018-12-20,142.2568817138672
2018-12-21,139.933349609375
2018-12-24,137.65719604492188
2018-12-26,137.42013549804688
2018-12-27,137.94174194335938
2018-12-28,138.22628784179688
2018-12-31,137.46755981445312
2019-01-01,139.26951599121094
2019-01-02,139.41171264648438
2019-01-03,139.45916748046875
2019-01-04,138.46336364746094
2019-01-07,140.8343048095703
2019-01-08,141.8775177001953
2019-01-09,142.82589721679688
2019-01-10,142.35171508789062
2019-01-11,136.3769073486328
2019-01-14,132.0143585205078
2019-01-15,132.67825317382812
2019-01-16,136.47174072265625
2019-01-17,140.12301635742188
2019-01-18,142.5887908935547
2019-01-21,142.1146240234375
2019-01-22,139.12721252441406
2019-01-23,140.36012268066406
2019-01-24,141.68783569335938
2019-01-25,137.0882110595703
2019-01-28,131.35052490234375
2019-01-29,129.8331298828125
2019-01-30,131.01858520507812
2019-01-31,128.6002197265625
2019-02-01,130.78150939941406
2019-02-04,128.4105224609375
2019-02-05,130.92373657226562
2019-02-06,132.73220825195312
2019-02-07,135.77806091308594
2019-02-08,133.11294555664062
2019-02-11,127.68749237060547
2019-02-12,127.40198516845703
2019-02-14,125.78386688232422
2019-02-15,119.12108612060547
2019-02-18,121.73860931396484
2019-02-19,122.59524536132812
2019-02-20,122.45246887207031
2019-02-21,123.88021087646484
2019-02-22,129.162841796875
2019-02-25,129.8291015625
2019-02-26,135.5400848388672
2019-02-27,135.87322998046875
2019-02-28,135.1117401123047
2019-03-01,133.87440490722656
2019-03-05,138.06240844726562
2019-03-06,138.1100311279297
2019-03-07,139.06185913085938
2019-03-08,138.53836059570312
2019-03-11,138.01483154296875
2019-03-12,145.5818634033203
2019-03-13,142.44085693359375
2019-03-14,141.53659057617188
2019-03-15,142.29806518554688
2019-03-18,140.4896240234375
2019-03-19,142.77398681640625
2019-03-20,142.34564208984375
2019-03-22,137.6816864013672
2019-03-25,132.3038787841797
2019-03-26,137.1581573486328
2019-03-27,136.87265014648438
2019-03-28,142.6312255859375
2019-04-01,148.38975524902344
2019-04-02,147.53309631347656
2019-04-03,143.1547088623047
2019-04-04,144.67764282226562
2019-04-05,146.62887573242188
2019-04-08,149.8174591064453
2019-04-09,149.1036376953125
2019-04-10,150.29342651367188
2019-04-11,154.9097900390625
2019-04-12,155.242919921875
2019-04-15,154.1959228515625
2019-04-16,153.67234802246094
2019-04-18,152.38743591308594
2019-04-22,149.0560302734375
2019-04-23,152.57777404785156
2019-04-24,157.95559692382812
2019-04-25,160.33517456054688
2019-04-26,158.47911071777344
2019-04-30,145.39146423339844
2019-05-02,149.76991271972656
2019-05-03,149.8174591064453
2019-05-06,148.15179443359375
2019-05-07,147.58070373535156
2019-05-08,151.00726318359375
2019-05-09,153.9579315185547
2019-05-10,155.147705078125
2019-05-13,150.43618774414062
2019-05-14,152.24462890625
2019-05-15,150.38858032226562
2019-05-16,151.48318481445312
2019-05-17,148.58013916015625
2019-05-20,149.48434448242188
2019-05-21,154.9097900390625
2019-05-22,157.5748748779297
2019-05-23,154.14830017089844
2019-05-24,156.28988647460938
2019-05-27,157.5748748779297
2019-05-28,157.4796905517578
2019-05-29,156.0043487548828
2019-05-30,153.71998596191406
2019-05-31,158.3839111328125
2019-06-03,159.0502166748047
2019-06-04,155.86160278320312
2019-06-06,156.33753967285156
2019-06-07,157.52725219726562
2019-06-10,156.09954833984375
2019-06-11,156.76583862304688
2019-06-12,156.76583862304688
2019-06-13,157.0989532470703
2019-06-14,157.52725219726562
2019-06-17,158.52671813964844
2019-06-18,154.9097900390625
2019-06-19,157.52725219726562
2019-06-20,155.43331909179688
2019-06-21,153.3392333984375
2019-06-24,149.9126739501953
2019-06-25,152.4825897216797
2019-06-26,151.3880157470703
2019-06-27,151.1024627685547
2019-06-28,151.53079223632812
2019-07-01,153.57720947265625
2019-07-02,152.33984375
2019-07-03,153.81517028808594
2019-07-04,152.4825897216797
2019-07-05,152.8633575439453
2019-07-08,155.52842712402344
2019-07-09,150.43618774414062
2019-07-10,149.76991271972656
2019-07-11,152.8732147216797
2019-07-12,152.49127197265625
2019-07-15,152.7777099609375
2019-07-16,151.44088745117188
2019-07-17,151.63186645507812
2019-07-18,150.05633544921875
2019-07-19,146.18917846679688
2019-07-22,144.5181884765625
2019-07-23,144.18397521972656
2019-07-24,142.99041748046875
2019-07-25,148.95826721191406
2019-07-26,146.18917846679688
