Date,CSBBANK
2019-12-04,300.04998779296875
2019-12-05,297.6000061035156
2019-12-06,274.29998779296875
2019-12-09,269.25
2019-12-10,259.45001220703125
2019-12-11,240.6999969482422
2019-12-12,222.89999389648438
2019-12-13,235.6999969482422
2019-12-16,240.5
2019-12-17,245.64999389648438
2019-12-18,239.8000030517578
2019-12-19,238.60000610351562
2019-12-20,241.9499969482422
2019-12-23,240.1999969482422
2019-12-24,237.0500030517578
2019-12-26,231.6999969482422
2019-12-27,230.75
2019-12-30,224.75
2019-12-31,216.4499969482422
2020-01-01,206.89999389648438
2020-01-02,211.3000030517578
2020-01-03,208.0500030517578
2020-01-06,199.89999389648438
2020-01-07,207.85000610351562
2020-01-08,203.85000610351562
2020-01-09,204.10000610351562
2020-01-10,201.5500030517578
2020-01-13,197.85000610351562
2020-01-14,192.9499969482422
2020-01-15,195.5500030517578
2020-01-16,193.3000030517578
2020-01-17,201.60000610351562
2020-01-20,197.60000610351562
2020-01-21,196.0500030517578
2020-01-22,195.85000610351562
2020-01-23,196.14999389648438
2020-01-24,199.35000610351562
2020-01-27,196.75
2020-01-28,194.75
2020-01-29,193.0
2020-01-30,186.6999969482422
2020-01-31,183.9499969482422
2020-02-03,182.10000610351562
2020-02-04,186.8000030517578
2020-02-05,190.1999969482422
2020-02-06,186.35000610351562
2020-02-07,185.3000030517578
2020-02-10,180.25
2020-02-11,179.39999389648438
2020-02-12,169.4499969482422
2020-02-13,173.89999389648438
2020-02-14,171.39999389648438
2020-02-17,166.1999969482422
2020-02-18,161.9499969482422
2020-02-19,162.5500030517578
2020-02-20,164.25
2020-02-24,164.64999389648438
2020-02-25,165.25
2020-02-26,176.5500030517578
2020-02-27,176.64999389648438
2020-02-28,172.39999389648438
2020-03-02,171.25
2020-03-03,174.64999389648438
2020-03-04,167.60000610351562
2020-03-05,170.5
2020-03-06,159.39999389648438
2020-03-09,151.4499969482422
2020-03-11,143.6999969482422
2020-03-12,125.69999694824219
2020-03-13,126.05000305175781
2020-03-16,118.5999984741211
2020-03-17,117.80000305175781
2020-03-18,108.25
2020-03-19,101.94999694824219
2020-03-20,114.0999984741211
2020-03-23,102.8499984741211
2020-03-24,99.69999694824219
2020-03-25,100.05000305175781
2020-03-26,105.1500015258789
2020-03-27,104.3499984741211
2020-03-30,110.0
