Date,OBEROIRLTY
2010-10-20,260.6394348144531
2010-10-21,275.24224853515625
2010-10-22,271.7872619628906
2010-10-25,278.3747863769531
2010-10-26,262.75848388671875
2010-10-27,267.3189392089844
2010-10-28,266.3976135253906
2010-10-29,257.0923767089844
2010-11-01,254.0980682373047
2010-11-02,254.74302673339844
2010-11-03,259.3496398925781
2010-11-04,262.5281677246094
2010-11-08,266.81231689453125
2010-11-09,266.3976135253906
2010-11-10,264.18646240234375
2010-11-11,261.51470947265625
2010-11-12,258.1520080566406
2010-11-15,254.1903076171875
2010-11-16,248.9847869873047
2010-11-18,245.06922912597656
2010-11-19,241.7064666748047
2010-11-22,254.65087890625
2010-11-23,249.86007690429688
2010-11-24,241.7525177001953
2010-11-25,242.16714477539062
2010-11-26,245.85235595703125
2010-11-29,249.90615844726562
2010-11-30,248.38595581054688
2010-12-01,253.59144592285156
2010-12-02,255.1576385498047
2010-12-03,254.9733428955078
2010-12-06,255.20370483398438
2010-12-07,251.70269775390625
2010-12-08,250.9196319580078
2010-12-09,244.2400665283203
2010-12-10,244.2400665283203
2010-12-13,244.65467834472656
2010-12-14,246.86582946777344
2010-12-15,241.19970703125
2010-12-16,240.14022827148438
2010-12-20,240.64697265625
2010-12-21,243.7333526611328
2010-12-22,243.6873016357422
2010-12-23,243.31875610351562
2010-12-24,240.87722778320312
2010-12-27,241.2458038330078
2010-12-28,242.81199645996094
2010-12-29,241.01547241210938
2010-12-30,241.4300537109375
2010-12-31,235.53369140625
2011-01-03,237.60662841796875
2011-01-04,233.0460968017578
2011-01-05,239.54135131835938
2011-01-06,233.96746826171875
2011-01-07,227.10366821289062
2011-01-10,225.7677459716797
2011-01-11,222.8656005859375
2011-01-12,226.182373046875
2011-01-13,228.9462890625
2011-01-14,225.81382751464844
2011-01-17,225.7677459716797
2011-01-18,225.72169494628906
2011-01-19,229.40692138671875
2011-01-20,227.10366821289062
2011-01-21,228.71591186523438
2011-01-24,228.71591186523438
2011-01-25,227.56431579589844
2011-01-27,228.5777587890625
2011-01-28,226.4126739501953
2011-01-31,228.07102966308594
2011-02-01,227.01150512695312
2011-02-02,219.7331085205078
2011-02-03,224.5240020751953
2011-02-04,220.8387451171875
2011-02-07,214.3434600830078
2011-02-08,212.0862579345703
2011-02-09,209.50657653808594
2011-02-10,209.6907958984375
2011-02-11,209.50657653808594
2011-02-14,213.6525115966797
2011-02-15,209.8290557861328
2011-02-16,215.63330078125
2011-02-17,228.11708068847656
2011-02-18,222.5431671142578
2011-02-21,218.6736297607422
2011-02-22,212.0862579345703
2011-02-23,203.14952087402344
2011-02-24,199.37213134765625
2011-02-25,201.03050231933594
2011-02-28,201.35296630859375
2011-03-01,215.03443908691406
2011-03-03,229.3608856201172
2011-03-04,228.34742736816406
2011-03-07,220.884765625
2011-03-08,218.25901794433594
2011-03-09,221.29937744140625
2011-03-10,220.8387451171875
2011-03-11,222.4049530029297
2011-03-14,227.33399963378906
2011-03-15,220.19381713867188
2011-03-16,218.35118103027344
2011-03-17,216.27822875976562
2011-03-18,209.18411254882812
2011-03-21,211.1649169921875
2011-03-22,210.24362182617188
2011-03-23,211.39527893066406
2011-03-24,216.232177734375
2011-03-25,216.32431030273438
2011-03-28,214.71200561523438
2011-03-29,216.50860595703125
2011-03-30,226.182373046875
2011-03-31,234.5662841796875
2011-04-01,234.33596801757812
2011-04-04,234.38204956054688
2011-04-05,229.40692138671875
2011-04-06,230.19003295898438
2011-04-07,235.81005859375
2011-04-08,235.9482879638672
2011-04-11,235.7179412841797
2011-04-13,235.90219116210938
2011-04-15,231.6641845703125
2011-04-18,233.96746826171875
2011-04-19,231.2495574951172
2011-04-20,232.6315155029297
2011-04-21,237.33023071289062
2011-04-25,236.08644104003906
2011-04-26,233.69102478027344
2011-04-27,242.0288848876953
2011-04-28,240.92332458496094
2011-04-29,235.1190948486328
2011-05-02,234.38204956054688
2011-05-03,227.42616271972656
2011-05-04,232.8618621826172
2011-05-05,228.90020751953125
2011-05-06,225.90591430664062
2011-05-09,223.6947784423828
2011-05-10,222.45101928710938
2011-05-11,216.1400604248047
2011-05-12,208.03250122070312
2011-05-13,213.32997131347656
2011-05-16,211.99411010742188
2011-05-17,211.44134521484375
2011-05-18,206.143798828125
2011-05-19,212.6851348876953
2011-05-20,211.90200805664062
2011-05-23,206.8347625732422
2011-05-24,209.96722412109375
2011-05-25,211.90200805664062
2011-05-26,206.6044158935547
2011-05-27,202.82708740234375
2011-05-30,203.74835205078125
