Date,MMTC
2010-01-08,1124.1405029296875
2010-01-11,1123.2962646484375
2010-01-12,1106.0301513671875
2010-01-13,1110.4307861328125
2010-01-14,1116.3111572265625
2010-01-15,1170.7259521484375
2010-01-18,1193.5909423828125
2010-01-19,1175.7353515625
2010-01-20,1161.3033447265625
2010-01-21,1111.4534912109375
2010-01-22,1124.8096923828125
2010-01-25,1113.421142578125
2010-01-27,1064.2069091796875
2010-01-28,1076.7252197265625
2010-01-29,1083.05859375
2010-02-01,1103.256103515625
2010-02-02,1073.4940185546875
2010-02-03,1084.0574951171875
2010-02-04,1096.7891845703125
2010-02-05,1070.172119140625
2010-02-06,1068.185546875
2010-02-08,1086.603515625
2010-02-09,1104.2677001953125
2010-02-10,1091.68115234375
2010-02-11,1088.7081298828125
2010-02-15,1080.794189453125
2010-02-16,1083.4501953125
2010-02-17,1111.7276611328125
2010-02-18,1100.128662109375
2010-02-19,1087.339599609375
2010-02-22,1081.0540771484375
2010-02-23,1069.8931884765625
2010-02-24,1068.900634765625
2010-02-25,1069.001220703125
2010-02-26,1068.8560791015625
2010-03-02,1073.3857421875
2010-03-03,1084.747314453125
2010-03-04,1086.136474609375
2010-03-05,1080.7052001953125
2010-03-08,1078.0478515625
2010-03-09,1068.677734375
2010-03-10,1063.349853515625
2010-03-11,1051.422607421875
2010-03-12,1033.4346923828125
2010-03-15,1021.88525390625
2010-03-16,1005.09228515625
2010-03-17,1053.9716796875
2010-03-18,1054.0770263671875
2010-03-19,1051.553466796875
2010-03-22,1034.859130859375
2010-03-23,1028.8555908203125
2010-03-25,1021.021728515625
2010-03-26,1016.952392578125
2010-03-29,1004.7926025390625
2010-03-30,1007.8836669921875
2010-03-31,1001.67626953125
2010-04-01,1007.2033081054688
2010-04-05,1016.0810546875
2010-04-06,1010.8280029296875
2010-04-07,1014.885986328125
2010-04-08,1012.416259765625
2010-04-09,1010.7373046875
2010-04-12,1003.8270874023438
2010-04-13,1000.400146484375
2010-04-15,998.5472412109375
2010-04-16,992.38916015625
2010-04-19,974.696044921875
2010-04-20,1010.5189208984375
2010-04-21,1026.66650390625
2010-04-22,1008.2439575195312
2010-04-23,997.766357421875
2010-04-26,1017.8369140625
2010-04-27,1013.7164916992188
2010-04-28,993.931396484375
2010-04-29,1002.1160278320312
2010-04-30,998.56298828125
2010-05-03,993.851806640625
2010-05-04,983.1371459960938
2010-05-05,969.8366088867188
2010-05-06,971.1192016601562
2010-05-07,957.600341796875
2010-05-10,979.8756713867188
2010-05-11,971.370849609375
2010-05-12,962.3753662109375
2010-05-13,968.923583984375
2010-05-14,959.9327392578125
2010-05-17,947.4830932617188
2010-05-18,946.03173828125
2010-05-19,951.0919799804688
2010-05-20,951.1443481445312
2010-05-21,943.4107666015625
2010-05-24,942.3258056640625
2010-05-25,920.3755493164062
2010-05-26,922.5979614257812
2010-05-27,917.21435546875
2010-05-28,923.1143188476562
2010-05-31,949.7583618164062
2010-06-01,938.2199096679688
2010-06-02,938.2979736328125
2010-06-03,944.7268676757812
2010-06-04,947.7046508789062
2010-06-07,914.8101196289062
2010-06-08,905.51025390625
2010-06-09,927.6708984375
2010-06-10,912.6449584960938
2010-06-11,912.848876953125
2010-06-14,908.3287963867188
2010-06-15,1100.4154052734375
2010-06-16,1053.93505859375
2010-06-17,1045.6182861328125
2010-06-18,1021.440673828125
2010-06-21,998.5104370117188
2010-06-22,973.647705078125
2010-06-23,1023.9548950195312
2010-06-24,1055.31640625
2010-06-25,1029.8896484375
2010-06-28,1037.0640869140625
2010-06-29,1019.4458618164062
2010-06-30,996.7786865234375
2010-07-01,971.4171142578125
2010-07-02,957.9683837890625
2010-07-05,954.874267578125
2010-07-06,950.5518188476562
2010-07-07,930.2137451171875
2010-07-08,916.878173828125
2010-07-09,912.2306518554688
2010-07-12,911.0341186523438
2010-07-13,902.4034423828125
2010-07-14,901.09375
2010-07-15,883.951904296875
2010-07-16,876.1210327148438
2010-07-19,900.3529663085938
2010-07-20,900.035888671875
2010-07-21,932.9286499023438
2010-07-22,952.6022338867188
2010-07-23,957.2322998046875
2010-07-26,966.5656127929688
2010-07-27,970.5025634765625
2010-07-28,963.0572509765625
2010-07-29,1173.7867431640625
2010-07-30,1114.7083740234375
2010-08-02,1054.037109375
2010-08-03,1046.1666259765625
2010-08-04,1049.4166259765625
2010-08-05,1035.332275390625
2010-08-06,1006.8448486328125
2010-08-09,1021.8534545898438
