Date,OIL
2009-09-30,69.31316375732422
2009-10-01,70.84071350097656
2009-10-05,69.27372741699219
2009-10-06,69.53790283203125
2009-10-07,69.33748626708984
2009-10-08,71.07453918457031
2009-10-09,72.62031555175781
2009-10-12,72.62337493896484
2009-10-13,72.62337493896484
2009-10-14,72.30448150634766
2009-10-15,71.94613647460938
2009-10-16,72.33790588378906
2009-10-20,71.53921508789062
2009-10-21,70.8255615234375
2009-10-22,70.75569152832031
2009-10-23,70.740478515625
2009-10-26,70.23638916015625
2009-10-27,69.26155090332031
2009-10-28,68.64506530761719
2009-10-29,68.76958465576172
2009-10-30,68.0620346069336
2009-11-03,68.02554321289062
2009-11-04,69.89929962158203
2009-11-05,69.7808837890625
2009-11-06,70.24249267578125
2009-11-09,70.76176452636719
2009-11-10,69.71102142333984
2009-11-11,71.75178527832031
2009-11-12,71.82769775390625
2009-11-13,72.54741668701172
2009-11-16,72.91793823242188
2009-11-17,73.160888671875
2009-11-18,73.54959106445312
2009-11-19,73.91404724121094
2009-11-20,73.68323516845703
2009-11-23,73.48583221435547
2009-11-24,72.92093658447266
2009-11-25,75.7179183959961
2009-11-26,75.45977783203125
2009-11-27,75.5144271850586
2009-11-30,77.25150299072266
2009-12-01,80.36430358886719
2009-12-02,81.89183044433594
2009-12-03,78.48448944091797
2009-12-04,76.24632263183594
2009-12-07,77.50357055664062
2009-12-08,77.02679443359375
2009-12-09,75.8667221069336
2009-12-10,75.16521453857422
2009-12-11,75.41120147705078
2009-12-14,75.31702423095703
2009-12-15,75.32312774658203
2009-12-16,75.04373168945312
2009-12-17,75.2259292602539
2009-12-18,76.03375244140625
2009-12-21,74.8918685913086
2009-12-22,74.7309341430664
2009-12-23,75.44458770751953
2009-12-24,76.05196380615234
2009-12-29,76.76561737060547
2009-12-30,75.38993072509766
2009-12-31,75.42941284179688
2010-01-04,75.33219909667969
2010-01-05,75.95476531982422
2010-01-06,75.84848022460938
2010-01-07,75.3990249633789
2010-01-08,76.70793151855469
2010-01-11,76.51358032226562
2010-01-12,75.31702423095703
2010-01-13,75.65716552734375
2010-01-14,76.47106170654297
2010-01-15,75.3443603515625
2010-01-18,74.92527770996094
2010-01-19,74.6064224243164
2010-01-20,74.1053237915039
2010-01-21,72.77217102050781
2010-01-22,72.41382598876953
2010-01-25,71.93701934814453
2010-01-27,71.09278106689453
2010-01-28,71.02597045898438
2010-01-29,68.1591796875
2010-02-01,69.58649444580078
2010-02-02,70.47932434082031
2010-02-03,72.3652114868164
2010-02-04,72.0311508178711
2010-02-05,70.56742858886719
2010-02-08,70.1513442993164
2010-02-09,72.09798431396484
2010-02-10,71.959228515625
2010-02-11,71.80501556396484
2010-02-15,70.76588439941406
2010-02-16,70.88921356201172
2010-02-17,70.60858154296875
2010-02-18,70.8028335571289
2010-02-19,70.77202606201172
2010-02-22,70.75663757324219
2010-02-23,70.10287475585938
2010-02-24,70.71343994140625
2010-02-25,71.07113647460938
2010-02-26,71.41033172607422
2010-03-02,70.2108154296875
2010-03-03,70.88302612304688
2010-03-04,70.31563568115234
2010-03-05,70.27556610107422
2010-03-08,69.89627838134766
