Date,TRAVELFOOD
2025-07-14,1066.2962646484375
2025-07-15,1045.363037109375
2025-07-16,1078.7965087890625
2025-07-17,1093.0826416015625
2025-07-18,1131.972412109375
2025-07-21,1137.7265625
2025-07-22,1164.314453125
2025-07-23,1161.239013671875
2025-07-24,1153.500732421875
2025-07-25,1144.6712646484375
2025-07-28,1109.650390625
2025-07-29,1090.4039306640625
2025-07-30,1076.8123779296875
2025-07-31,1037.5257568359375
2025-08-01,1018.1799926757812
2025-08-04,1009.2511596679688
2025-08-05,1039.212158203125
2025-08-06,1042.486083984375
2025-08-07,1086.2371826171875
2025-08-08,1110.940185546875
2025-08-11,1072.4471435546875
2025-08-12,1147.2506103515625
2025-08-13,1138.7186279296875
2025-08-14,1108.261474609375
2025-08-18,1093.380126953125
2025-08-19,1099.53125
2025-08-20,1209.4544677734375
2025-08-21,1222.0540771484375
2025-08-22,1210.942626953125
2025-08-25,1220.863525390625
2025-08-26,1196.4581298828125
2025-08-28,1194.17626953125
2025-08-29,1242.5902099609375
2025-09-01,1244.078369140625
2025-09-02,1241.300537109375
2025-09-03,1273.6427001953125
2025-09-04,1304.8934326171875
2025-09-05,1298.742431640625
2025-09-08,1276.5196533203125
2025-09-09,1290.5081787109375
2025-09-10,1270.1702880859375
2025-09-11,1253.1063232421875
2025-09-12,1269.67431640625
2025-09-15,1245.46728515625
2025-09-16,1235.1495361328125
2025-09-17,1235.744873046875
2025-09-18,1267.0947265625
2025-09-19,1280.6864013671875
2025-09-22,1348.5452880859375
2025-09-23,1322.2550048828125
2025-09-24,1334.7552490234375
2025-09-25,1336.342529296875
2025-09-26,1325.1319580078125
2025-09-29,1316.5008544921875
2025-09-30,1313.127685546875
2025-10-01,1336.342529296875
2025-10-03,1377.8118896484375
2025-10-06,1364.0218505859375
2025-10-07,1365.3115234375
2025-10-08,1369.0814208984375
2025-10-09,1339.0211181640625
2025-10-10,1333.76318359375
2025-10-13,1348.5452880859375
2025-10-14,1343.783203125
2025-10-15,1369.5775146484375
2025-10-16,1376.026123046875
2025-10-17,1352.1168212890625
2025-10-20,1318.28662109375
2025-10-21,1324.93359375
2025-10-23,1331.7789306640625
2025-10-24,1316.5008544921875
2025-10-27,1312.830078125
2025-10-28,1317.1951904296875
2025-10-29,1290.4088134765625
2025-10-30,1298.44482421875
2025-10-31,1308.0679931640625
2025-11-03,1304.3973388671875
2025-11-04,1305.885498046875
2025-11-06,1285.25
2025-11-07,1279.7935791015625
2025-11-10,1260.94384765625
2025-11-11,1269.17822265625
2025-11-12,1265.2099609375
2025-11-13,1264.614501953125
2025-11-14,1267.8885498046875
2025-11-17,1274.634765625
2025-11-18,1290.21044921875
2025-11-19,1311.8380126953125
2025-11-20,1311.24267578125
2025-11-21,1339.0211181640625
2025-11-24,1344.279296875
2025-11-25,1347.2554931640625
2025-11-26,1353.3072509765625
2025-11-27,1339.8148193359375
2025-11-28,1335.2513427734375
2025-12-01,1368.2877197265625
2025-12-02,1321.461181640625
2025-12-03,1303.3060302734375
2025-12-04,1318.5841064453125
2025-12-05,1295.6669921875
2025-12-08,1265.4083251953125
2025-12-09,1266.0035400390625
2025-12-10,1271.0631103515625
2025-12-11,1259.3565673828125
2025-12-12,1276.2220458984375
2025-12-15,1252.312744140625
2025-12-16,1245.0704345703125
2025-12-17,1247.64990234375
2025-12-18,1248.542724609375
2025-12-19,1224.137451171875
2025-12-22,1205.8829345703125
2025-12-23,1210.5457763671875
2025-12-24,1200.2281494140625
2025-12-26,1161.4373779296875
2025-12-29,1152.3101806640625
2025-12-30,1143.4805908203125
2025-12-31,1163.22314453125
2026-01-01,1149.631591796875
2026-01-02,1170.2669677734375
2026-01-05,1198.2440185546875
2026-01-06,1176.6163330078125
2026-01-07,1143.7783203125
2026-01-08,1129.98828125
2026-01-09,1140.702880859375
2026-01-12,1138.32177734375
2026-01-13,1142.488525390625
2026-01-14,1132.76611328125
2026-01-15,1132.76611328125
2026-01-16,1132.1707763671875
2026-01-19,1099.332763671875
2026-01-20,1091.296875
2026-01-21,1074.4312744140625
2026-01-22,1093.57861328125
2026-01-23,1056.6729736328125
2026-01-27,1035.4422607421875
2026-01-28,1067.5859375
2026-01-29,1043.6766357421875
2026-01-30,1058.557861328125
2026-02-02,1065.30419921875
2026-02-03,1090.89990234375
2026-02-04,1110.8409423828125
2026-02-05,1103.201904296875
2026-02-06,1102.5074462890625
2026-02-09,1145.167236328125
2026-02-10,1175.7235107421875
2026-02-11,1192.390625
2026-02-12,1205.0892333984375
2026-02-13,1161.4373779296875
2026-02-16,1199.5335693359375
2026-02-17,1203.005859375
2026-02-18,1207.7679443359375
2026-02-19,1204.59326171875
2026-02-20,1211.537841796875
2026-02-23,1216.1015625
2026-02-24,1220.1690673828125
2026-02-25,1221.3594970703125
2026-02-26,1230.48681640625
2026-02-27,1224.4349365234375
2026-03-02,1167.1915283203125
2026-03-04,1148.24267578125
2026-03-05,1172.6480712890625
2026-03-06,1170.8621826171875
2026-03-09,1156.179443359375
2026-03-10,1176.0211181640625
2026-03-11,1179.5926513671875
2026-03-12,1183.06494140625
2026-03-13,1168.08447265625
2026-03-16,1149.0362548828125
2026-03-17,1122.646728515625
2026-03-18,1123.738037109375
2026-03-19,1093.4793701171875
2026-03-20,1109.4520263671875
2026-03-23,1090.5030517578125
2026-03-24,1119.7696533203125
2026-03-25,1146.4569091796875
2026-03-27,1170.663818359375
2026-03-30,1251.8167724609375
2026-04-01,1266.7972412109375
2026-04-02,1270.071044921875
2026-04-06,1260.24951171875
2026-04-07,1270.071044921875
2026-04-08,1293.781982421875
2026-04-09,1267.789306640625
2026-04-10,1297.2542724609375
