Date,CHALET
2019-02-07,291.04443359375
2019-02-08,290.74505615234375
2019-02-11,281.9149475097656
2019-02-12,280.1190185546875
2019-02-14,285.7064208984375
2019-02-15,283.561279296875
2019-02-18,278.0237121582031
2019-02-19,279.57025146484375
2019-02-20,280.1190185546875
2019-02-21,279.9693603515625
2019-02-22,279.7698059082031
2019-02-25,284.1100158691406
2019-02-26,279.3706970214844
2019-02-27,279.42059326171875
2019-02-28,275.5792541503906
2019-03-01,272.58599853515625
2019-03-05,280.1190185546875
2019-03-06,281.3662109375
2019-03-07,282.51361083984375
2019-03-08,282.5635070800781
2019-03-11,301.1217041015625
2019-03-12,313.9927062988281
2019-03-13,328.7594299316406
2019-03-14,318.63226318359375
2019-03-15,315.2398986816406
2019-03-18,317.634521484375
2019-03-19,322.77294921875
2019-03-20,322.2740478515625
2019-03-22,320.42822265625
2019-03-25,320.8772277832031
2019-03-26,337.4399108886719
2019-03-27,337.0906982421875
2019-03-28,338.0385437011719
2019-04-01,341.9796447753906
2019-04-02,338.4376525878906
2019-04-03,332.95001220703125
2019-04-04,325.6165466308594
2019-04-05,325.9158630371094
2019-04-08,323.1720275878906
2019-04-09,316.1877746582031
2019-04-10,317.3351745605469
2019-04-11,322.4736328125
2019-04-12,323.42144775390625
2019-04-15,329.7572021484375
2019-04-16,325.5167541503906
2019-04-18,316.28753662109375
2019-04-22,312.0470886230469
2019-04-23,315.2398986816406
2019-04-24,321.9747619628906
2019-04-25,323.77069091796875
2019-04-26,320.7275390625
2019-04-30,321.2264404296875
2019-05-02,325.9158630371094
2019-05-03,333.7481994628906
2019-05-06,344.47406005859375
2019-05-07,347.5671081542969
2019-05-08,328.809326171875
2019-05-09,323.2718200683594
2019-05-10,326.86370849609375
2019-05-13,321.87493896484375
2019-05-14,324.1697692871094
2019-05-15,339.8345031738281
2019-05-16,330.6551818847656
2019-05-17,339.0862121582031
2019-05-20,339.53515625
2019-05-21,337.2403564453125
2019-05-22,336.4421691894531
2019-05-23,337.4399108886719
2019-05-24,339.18597412109375
2019-05-27,339.0862121582031
2019-05-28,332.1019287109375
2019-05-29,324.3194580078125
2019-05-30,332.2016906738281
2019-05-31,348.36529541015625
2019-06-03,342.12933349609375
