Date,ENDURANCE
2016-10-19,621.1405029296875
2016-10-20,589.0225219726562
2016-10-21,601.3128051757812
2016-10-24,602.4171142578125
2016-10-25,601.4569091796875
2016-10-26,590.6548461914062
2016-10-27,587.6782836914062
2016-10-28,599.5365600585938
2016-11-01,584.4136352539062
2016-11-02,577.9324951171875
2016-11-03,580.476806640625
2016-11-04,570.39501953125
2016-11-07,589.88671875
2016-11-08,599.4403686523438
2016-11-09,608.08203125
2016-11-10,607.169921875
2016-11-11,571.6912231445312
2016-11-15,563.0977172851562
2016-11-16,544.4700927734375
2016-11-17,525.9866333007812
2016-11-18,520.8017578125
2016-11-21,502.126220703125
2016-11-22,508.6554260253906
2016-11-23,523.7302856445312
2016-11-24,519.0732421875
2016-11-25,523.6822509765625
2016-11-28,540.245361328125
2016-11-29,560.4571533203125
2016-11-30,569.5787963867188
2016-12-01,561.1773071289062
2016-12-02,550.0872192382812
2016-12-05,543.7979736328125
2016-12-06,543.989990234375
2016-12-07,566.9383544921875
2016-12-08,560.8411254882812
2016-12-09,556.1842651367188
2016-12-12,549.0790405273438
2016-12-13,546.5823974609375
2016-12-14,547.4946899414062
2016-12-15,542.069580078125
2016-12-16,550.3272705078125
2016-12-19,551.1434326171875
2016-12-20,546.966552734375
2016-12-21,545.142333984375
2016-12-22,535.8765869140625
2016-12-23,539.0932006835938
2016-12-26,520.9457397460938
2016-12-27,526.61083984375
2016-12-28,547.5427856445312
2016-12-29,547.110595703125
2016-12-30,553.783935546875
2017-01-02,555.51220703125
2017-01-03,549.9431762695312
2017-01-04,548.5509033203125
2017-01-05,550.7113037109375
2017-01-06,540.4373779296875
2017-01-09,541.2534790039062
2017-01-10,535.9244995117188
2017-01-11,551.3353881835938
2017-01-12,576.3482055664062
2017-01-13,563.6737670898438
2017-01-16,560.9851684570312
2017-01-17,560.025146484375
2017-01-18,570.3470458984375
2017-01-19,577.404296875
2017-01-20,563.0016479492188
2017-01-23,561.0331420898438
2017-01-24,572.7953491210938
2017-01-25,587.822265625
2017-01-27,584.6536865234375
2017-01-30,600.7366943359375
2017-01-31,590.414794921875
2017-02-01,607.8421020507812
2017-02-02,615.1874389648438
2017-02-03,608.8502197265625
2017-02-06,614.3231811523438
2017-02-07,612.5949096679688
2017-02-08,606.4016723632812
2017-02-09,595.359619140625
2017-02-10,615.09130859375
2017-02-13,629.6860961914062
2017-02-14,648.4576416015625
2017-02-15,637.8955688476562
2017-02-16,635.1591186523438
2017-02-17,637.3676147460938
2017-02-20,645.0968627929688
2017-02-21,645.7691040039062
2017-02-22,642.1683959960938
2017-02-23,663.3404541015625
2017-02-27,687.1048583984375
2017-02-28,677.7911987304688
2017-03-01,687.200927734375
2017-03-02,673.9024047851562
2017-03-03,660.6519775390625
2017-03-06,663.724609375
2017-03-07,672.2220458984375
2017-03-08,674.1423950195312
2017-03-09,671.501953125
2017-03-10,660.7959594726562
2017-03-14,670.3016967773438
2017-03-15,672.606201171875
2017-03-16,676.2548828125
2017-03-17,670.9259033203125
2017-03-20,672.990234375
2017-03-21,677.6471557617188
2017-03-22,697.9548950195312
2017-03-23,709.3809814453125
2017-03-24,698.7710571289062
2017-03-27,693.826171875
2017-03-28,690.2254028320312
2017-03-29,705.7323608398438
2017-03-30,719.655029296875
2017-03-31,737.8983764648438
2017-04-03,739.0506591796875
2017-04-05,749.228515625
2017-04-06,749.4685668945312
2017-04-07,768.576171875
2017-04-10,798.3897705078125
2017-04-11,803.6707763671875
