Date,COROMANDEL
2002-08-12,6.946410655975342
2002-08-13,7.151182174682617
2002-08-14,6.993664741516113
2002-08-15,6.993664741516113
2002-08-16,6.8991570472717285
2002-08-19,7.04092264175415
2002-08-20,7.340199947357178
2002-08-21,7.103928565979004
2002-08-22,7.245689868927002
2002-08-23,7.340199947357178
2002-08-26,7.450461387634277
2002-08-27,7.151182174682617
2002-08-28,7.245689868927002
2002-08-29,7.245689868927002
2002-08-30,7.403206825256348
2002-09-02,7.324448108673096
2002-09-03,7.466211795806885
2002-09-04,7.198436737060547
2002-09-05,7.214186191558838
2002-09-06,7.088176250457764
2002-09-09,7.166933536529541
2002-09-10,7.166933536529541
2002-09-11,7.403206825256348
2002-09-12,7.340199947357178
2002-09-13,7.182685375213623
2002-09-16,6.993664741516113
2002-09-17,6.505369186401367
2002-09-18,6.946410655975342
2002-09-19,6.662883758544922
2002-09-20,6.615628242492676
2002-09-23,6.883406162261963
2002-09-24,6.788898944854736
2002-09-25,7.182685375213623
2002-09-26,7.151182174682617
2002-09-27,7.135430812835693
2002-09-30,6.914909839630127
2002-10-01,6.72589111328125
2002-10-02,6.72589111328125
2002-10-03,6.694385528564453
2002-10-04,6.56837797164917
2002-10-07,6.678637504577637
2002-10-08,6.788898944854736
2002-10-09,6.930659770965576
2002-10-10,6.867653846740723
2002-10-11,6.615628242492676
2002-10-14,6.678637504577637
2002-10-15,6.678637504577637
2002-10-16,6.757393836975098
2002-10-17,6.851903438568115
2002-10-18,7.151182174682617
2002-10-21,7.166933536529541
2002-10-22,7.166933536529541
2002-10-23,6.930659770965576
2002-10-24,6.489618301391602
2002-10-25,6.489618301391602
2002-10-28,6.395106315612793
2002-10-29,6.647134304046631
2002-10-30,6.647134304046631
2002-10-31,6.741641521453857
2002-11-01,6.946410655975342
2002-11-04,7.025170803070068
2002-11-05,7.403206825256348
2002-11-06,7.403206825256348
2002-11-07,7.340199947357178
2002-11-08,7.702483654022217
2002-11-11,8.222283363342285
2002-11-12,8.836594581604004
2002-11-13,10.443243980407715
2002-11-14,9.340639114379883
2002-11-15,9.02561092376709
2002-11-18,8.521561622619629
2002-11-19,8.521561622619629
