Date,THYROCARE
2016-05-09,165.7369842529297
2016-05-10,161.39804077148438
2016-05-11,168.00018310546875
2016-05-12,168.60281372070312
2016-05-13,167.50469970703125
2016-05-16,168.75015258789062
2016-05-17,167.58505249023438
2016-05-18,167.49131774902344
2016-05-19,162.45599365234375
2016-05-20,161.5989227294922
2016-05-23,162.84437561035156
2016-05-24,163.1791534423828
2016-05-25,166.11195373535156
2016-05-26,170.42410278320312
2016-05-27,170.61158752441406
2016-05-30,170.70533752441406
2016-05-31,171.4820556640625
2016-06-01,168.30821228027344
2016-06-02,168.41534423828125
2016-06-03,168.4823455810547
2016-06-06,159.50978088378906
2016-06-07,163.47377014160156
2016-06-08,162.65687561035156
2016-06-09,160.78199768066406
2016-06-10,159.77761840820312
2016-06-13,161.2373504638672
2016-06-14,161.79978942871094
2016-06-15,160.60789489746094
2016-06-16,157.7688751220703
2016-06-17,157.12606811523438
2016-06-20,152.787109375
2016-06-21,155.37171936035156
2016-06-22,152.74696350097656
2016-06-23,149.86769104003906
2016-06-24,145.7162628173828
2016-06-27,152.3050079345703
2016-06-28,152.96119689941406
2016-06-29,151.5550994873047
2016-06-30,153.04156494140625
2016-07-01,151.34080505371094
2016-07-04,151.0729522705078
2016-07-05,151.48812866210938
2016-07-07,150.7515869140625
2016-07-08,149.72039794921875
2016-07-11,152.2514190673828
2016-07-12,149.86769104003906
2016-07-13,146.8143768310547
2016-07-14,145.24752807617188
2016-07-15,144.2163543701172
2016-07-18,144.73863220214844
2016-07-19,146.0108184814453
2016-07-20,145.44839477539062
2016-07-21,151.9568328857422
2016-07-22,151.44793701171875
2016-07-25,152.22463989257812
2016-07-26,154.7155303955078
2016-07-27,152.73355102539062
2016-07-28,150.8319091796875
2016-07-29,153.2558135986328
2016-08-01,149.65341186523438
2016-08-02,151.32740783691406
2016-08-03,151.11312866210938
2016-08-04,148.19371032714844
2016-08-05,147.49734497070312
2016-08-08,146.41259765625
2016-08-09,148.6758270263672
2016-08-10,148.90350341796875
2016-08-11,146.96163940429688
2016-08-12,149.9212646484375
2016-08-16,153.4834747314453
2016-08-17,152.38534545898438
2016-08-18,152.37196350097656
2016-08-19,152.06394958496094
2016-08-22,151.13992309570312
2016-08-23,150.3498077392578
2016-08-24,149.6668243408203
2016-08-25,148.52850341796875
2016-08-26,147.8990936279297
2016-08-29,153.3897705078125
2016-08-30,160.7418212890625
2016-08-31,165.91107177734375
2016-09-01,165.93797302246094
