Date,BAJAJHLDNG
2002-08-12,261.27099609375
2002-08-13,257.78460693359375
2002-08-14,250.55274963378906
2002-08-15,250.55274963378906
2002-08-16,246.43258666992188
2002-08-19,247.5850372314453
2002-08-20,252.19505310058594
2002-08-21,250.6392364501953
2002-08-22,246.72068786621094
2002-08-23,241.93780517578125
2002-08-26,240.72769165039062
2002-08-27,240.4108123779297
2002-08-28,240.8141326904297
2002-08-29,240.929443359375
2002-08-30,241.13104248046875
2002-09-02,239.60409545898438
2002-09-03,239.77687072753906
2002-09-04,241.0157928466797
2002-09-05,241.85133361816406
2002-09-06,241.53445434570312
2002-09-09,241.96664428710938
2002-09-10,241.96664428710938
2002-09-11,241.88021850585938
2002-09-12,242.0819091796875
2002-09-13,242.25474548339844
2002-09-16,241.9954376220703
2002-09-17,238.30740356445312
2002-09-18,231.2772216796875
2002-09-19,221.22171020507812
2002-09-20,217.30320739746094
2002-09-23,214.19149780273438
2002-09-24,219.46414184570312
2002-09-25,221.5674591064453
2002-09-26,220.29966735839844
2002-09-27,229.8942413330078
2002-09-30,224.53514099121094
2002-10-01,218.54214477539062
2002-10-02,218.54214477539062
2002-10-03,212.0304718017578
2002-10-04,210.9644775390625
2002-10-07,211.91529846191406
2002-10-08,221.7115020751953
2002-10-09,226.0045928955078
2002-10-10,233.8127899169922
2002-10-11,230.47048950195312
2002-10-14,229.8942413330078
2002-10-15,229.8942413330078
2002-10-16,229.20269775390625
2002-10-17,227.76210021972656
2002-10-18,231.76708984375
2002-10-21,233.0347900390625
2002-10-22,222.83522033691406
2002-10-23,231.45010375976562
2002-10-24,235.65676879882812
2002-10-25,236.75157165527344
2002-10-28,234.59068298339844
2002-10-29,242.36997985839844
2002-10-30,243.03274536132812
2002-10-31,244.18521118164062
2002-11-01,254.73052978515625
2002-11-04,258.33209228515625
2002-11-05,251.27304077148438
2002-11-06,251.27304077148438
2002-11-07,247.32574462890625
2002-11-08,249.5155029296875
2002-11-11,251.24427795410156
2002-11-12,251.1577606201172
2002-11-13,255.33560180664062
2002-11-14,253.17466735839844
2002-11-15,260.9251403808594
2002-11-18,260.2913513183594
2002-11-19,260.2913513183594
2002-11-20,260.95404052734375
2002-11-21,275.24493408203125
