Date,BPCL
1996-01-02,2.8636412620544434
1996-01-03,2.8605825901031494
1996-01-04,2.87587833404541
1996-01-05,2.87587833404541
1996-01-08,2.802452564239502
1996-01-09,2.8153016567230225
1996-01-10,2.8391661643981934
1996-01-11,2.802452564239502
1996-01-12,2.802452564239502
1996-01-15,2.802452564239502
1996-01-16,2.87587833404541
1996-01-17,2.87587833404541
1996-01-18,2.692312479019165
1996-01-19,2.692312479019165
1996-01-22,2.692312479019165
1996-01-23,2.692312479019165
1996-01-24,2.692312479019165
1996-01-25,2.692312479019165
1996-01-26,2.692312479019165
1996-01-29,2.731473207473755
1996-01-30,2.753499746322632
1996-01-31,2.753499746322632
1996-02-01,2.8146896362304688
1996-02-02,2.864253044128418
1996-02-05,3.1451098918914795
1996-02-06,3.2552504539489746
1996-02-07,3.181823492050171
1996-02-08,3.243011474609375
1996-02-09,3.349480390548706
1996-02-12,3.4877684116363525
1996-02-13,3.61014461517334
1996-02-14,3.6107566356658936
1996-02-15,3.61014461517334
1996-02-16,3.5636415481567383
1996-02-19,3.61014461517334
1996-02-20,3.5122430324554443
1996-02-21,3.5122430324554443
1996-02-22,3.61014461517334
1996-02-23,3.573432207107544
1996-02-26,3.6590964794158936
1996-02-27,3.6590964794158936
1996-02-28,3.6590964794158936
1996-02-29,3.4877684116363525
1996-03-01,3.5244810581207275
1996-03-04,3.548957347869873
1996-03-05,3.548957347869873
1996-03-06,3.5899531841278076
1996-03-07,3.5764920711517334
1996-03-08,3.5122430324554443
1996-03-11,3.5495693683624268
1996-03-12,3.5244810581207275
1996-03-13,3.5244810581207275
1996-03-14,3.5244810581207275
1996-03-15,3.5000054836273193
1996-03-18,3.4804258346557617
1996-03-19,3.4265780448913574
1996-03-20,3.4265780448913574
1996-03-21,3.4785890579223633
1996-03-22,3.4632914066314697
1996-03-25,3.4969470500946045
1996-03-26,3.5856704711914062
1996-03-27,3.548957347869873
1996-03-28,3.548957347869873
1996-03-29,3.61014461517334
1996-04-01,3.5856704711914062
1996-04-02,3.5183615684509277
1996-04-03,3.7080469131469727
1996-04-04,3.7508790493011475
1996-04-05,3.7508790493011475
1996-04-08,3.7386419773101807
1996-04-09,3.7937116622924805
1996-04-10,3.8549001216888428
1996-04-11,3.8793771266937256
1996-04-12,3.9001810550689697
1996-04-15,4.0354084968566895
1996-04-16,4.004813194274902
1996-04-17,4.11495304107666
