Date,RBLBANK
2016-08-31,287.7374572753906
2016-09-01,293.2635192871094
2016-09-02,289.5154113769531
2016-09-06,295.76220703125
2016-09-07,292.1582946777344
2016-09-08,293.5998840332031
2016-09-09,287.16082763671875
2016-09-12,285.3829040527344
2016-09-14,285.3829040527344
2016-09-15,287.6894836425781
2016-09-16,290.0439758300781
2016-09-19,289.61151123046875
2016-09-20,285.5750732421875
2016-09-21,288.3141174316406
2016-09-22,290.3803405761719
2016-09-23,291.48553466796875
2016-09-26,290.42840576171875
2016-09-27,287.2569580078125
2016-09-28,285.9595031738281
2016-09-29,274.7633361816406
2016-09-30,279.8569030761719
2016-10-03,286.0075988769531
2016-10-04,285.9595031738281
2016-10-05,284.1335144042969
2016-10-06,292.44659423828125
2016-10-07,297.2037658691406
2016-10-10,300.90380859375
2016-10-13,294.3206787109375
2016-10-14,302.4414978027344
2016-10-17,295.81024169921875
2016-10-18,295.47393798828125
2016-10-19,301.192138671875
2016-10-20,315.271484375
2016-10-21,315.7519836425781
2016-10-24,320.60528564453125
2016-10-25,331.0807189941406
2016-10-26,339.68206787109375
2016-10-27,347.0820617675781
2016-10-28,360.0562744140625
2016-11-01,380.3823547363281
2016-11-02,367.16796875
2016-11-03,364.1888122558594
2016-11-04,351.6950988769531
2016-11-07,368.2732238769531
2016-11-08,370.9161071777344
2016-11-09,362.2666931152344
2016-11-10,366.0627746582031
2016-11-11,364.47705078125
2016-11-15,349.4847412109375
2016-11-16,340.2586669921875
2016-11-17,328.3897705078125
2016-11-18,325.74688720703125
2016-11-21,320.60528564453125
2016-11-22,330.79241943359375
2016-11-23,327.4287109375
2016-11-24,324.44952392578125
2016-11-25,337.4236145019531
2016-11-28,339.4418640136719
2016-11-29,345.64056396484375
2016-11-30,349.5808410644531
2016-12-01,338.62493896484375
2016-12-02,333.19500732421875
2016-12-05,336.7508850097656
2016-12-06,334.2041015625
2016-12-07,331.56121826171875
2016-12-08,340.3067321777344
2016-12-09,337.8560791015625
2016-12-12,335.357421875
2016-12-13,331.0807189941406
