Date,ICICIPRULI
2016-09-29,282.66839599609375
2016-09-30,294.73321533203125
2016-10-03,294.210693359375
2016-10-04,289.0333557128906
2016-10-05,298.05816650390625
2016-10-06,300.7181396484375
2016-10-07,301.38311767578125
2016-10-10,308.36553955078125
2016-10-13,301.6680908203125
2016-10-14,310.9779357910156
2016-10-17,311.2154846191406
2016-10-18,314.35040283203125
2016-10-19,308.65045166015625
2016-10-20,307.7955017089844
2016-10-21,310.50299072265625
2016-10-24,307.7005615234375
2016-10-25,307.93804931640625
2016-10-26,304.3755798339844
2016-10-27,298.3906555175781
2016-10-28,293.16571044921875
2016-11-01,295.7306213378906
2016-11-02,292.100341796875
2016-11-03,290.4761962890625
2016-11-04,289.85528564453125
2016-11-07,291.28826904296875
2016-11-08,289.9507751464844
2016-11-09,284.7441101074219
2016-11-10,299.6954040527344
2016-11-11,291.240478515625
2016-11-15,283.9320373535156
2016-11-16,285.9383239746094
2016-11-17,280.3971862792969
2016-11-18,272.7066345214844
2016-11-21,271.46466064453125
2016-11-22,276.1459045410156
2016-11-23,281.7347106933594
2016-11-24,281.87799072265625
2016-11-25,289.9985656738281
2016-11-28,294.5364990234375
2016-11-29,300.0776062011719
2016-11-30,295.9217834472656
2016-12-01,290.4761962890625
2016-12-02,285.3173522949219
2016-12-05,280.3971862792969
2016-12-06,280.3971862792969
2016-12-07,279.5851745605469
2016-12-08,283.7887268066406
2016-12-09,281.7825622558594
2016-12-12,285.55615234375
2016-12-13,284.83966064453125
2016-12-14,283.9320373535156
2016-12-15,296.7816162109375
2016-12-16,296.68603515625
2016-12-19,301.41510009765625
2016-12-20,304.04229736328125
2016-12-21,302.0838928222656
2016-12-22,293.4378967285156
2016-12-23,287.2280578613281
2016-12-26,281.87799072265625
2016-12-27,282.26019287109375
2016-12-28,281.92578125
2016-12-29,286.7025451660156
2016-12-30,288.756591796875
2017-01-02,293.39007568359375
2017-01-03,299.0744934082031
2017-01-04,305.427490234375
2017-01-05,312.162841796875
2017-01-06,316.2231140136719
2017-01-09,314.36016845703125
2017-01-10,320.5699768066406
2017-01-11,322.7195129394531
2017-01-12,319.6145935058594
2017-01-13,317.08294677734375
2017-01-16,316.36639404296875
2017-01-17,316.891845703125
2017-01-18,324.8213806152344
2017-01-19,334.13604736328125
2017-01-20,343.3551940917969
2017-01-23,345.027099609375
2017-01-24,343.6896057128906
2017-01-25,338.05303955078125
2017-01-27,338.1007385253906
2017-01-30,335.6168518066406
2017-01-31,329.980224609375
2017-02-01,342.92535400390625
2017-02-02,343.2596740722656
2017-02-03,344.0718078613281
2017-02-06,351.0458679199219
2017-02-07,347.3677062988281
2017-02-08,342.1610412597656
2017-02-09,340.5369873046875
2017-02-10,334.5660400390625
2017-02-13,335.71240234375
2017-02-14,341.4445495605469
2017-02-15,333.5628356933594
2017-02-16,342.78204345703125
2017-02-17,346.698974609375
2017-02-20,342.4476623535156
2017-02-21,340.8713073730469
2017-02-22,336.0945739746094
2017-02-23,341.87445068359375
2017-02-27,346.31683349609375
2017-02-28,345.21820068359375
2017-03-01,346.2213134765625
2017-03-02,346.985595703125
2017-03-03,346.4123840332031
2017-03-06,353.0043640136719
2017-03-07,352.4311828613281
2017-03-08,357.303466796875
2017-03-09,356.01373291015625
2017-03-10,353.91192626953125
2017-03-14,358.01995849609375
2017-03-15,359.9306335449219
2017-03-16,353.673095703125
2017-03-17,354.7239990234375
2017-03-20,351.7624206542969
2017-03-21,354.532958984375
2017-03-22,347.8454284667969
2017-03-23,351.3802795410156
2017-03-24,357.3511962890625
2017-03-27,358.3543395996094
2017-03-28,355.0106201171875
2017-03-29,354.3418273925781
2017-03-30,357.6378173828125
2017-03-31,365.32843017578125
2017-04-03,368.14678955078125
2017-04-05,379.99322509765625
2017-04-06,373.9744873046875
2017-04-07,382.1427917480469
2017-04-10,377.22265625
2017-04-11,375.7418518066406
2017-04-12,383.241455078125
2017-04-13,386.250732421875
2017-04-17,384.7699890136719
2017-04-18,384.626708984375
2017-04-19,381.9038391113281
2017-04-20,381.42620849609375
2017-04-21,389.6422424316406
2017-04-24,384.7222595214844
2017-04-25,401.1543273925781
2017-04-26,383.3368835449219
2017-04-27,381.6650695800781
2017-04-28,387.8749694824219
2017-05-02,381.8561706542969
2017-05-03,380.9007873535156
2017-05-04,375.64630126953125
2017-05-05,374.45208740234375
2017-05-08,391.98291015625
2017-05-09,391.6962890625
2017-05-10,392.4605712890625
2017-05-11,392.3172912597656
2017-05-12,391.93511962890625
2017-05-15,398.1927185058594
2017-05-16,398.8615417480469
2017-05-17,397.141845703125
2017-05-18,394.9923095703125
2017-05-19,391.7918395996094
2017-05-22,388.4002990722656
2017-05-23,391.6962890625
2017-05-24,384.4356384277344
2017-05-25,381.9038391113281
2017-05-26,382.33380126953125
2017-05-29,377.17486572265625
2017-05-30,383.67132568359375
2017-05-31,388.68695068359375
2017-06-01,385.0565185546875
2017-06-02,392.3172912597656
2017-06-05,388.3047790527344
2017-06-06,383.05035400390625
2017-06-07,402.2052307128906
2017-06-08,402.4440612792969
2017-06-09,415.1980895996094
2017-06-12,403.87713623046875
2017-06-13,409.7525329589844
2017-06-14,417.5386657714844
2017-06-15,422.1721496582031
2017-06-16,424.2261657714844
2017-06-19,424.0350646972656
2017-06-20,420.2615051269531
2017-06-21,422.2677001953125
2017-06-22,425.2293395996094
2017-06-23,420.3092346191406
2017-06-27,420.3569641113281
2017-06-28,437.12353515625
2017-06-29,452.5047912597656
2017-06-30,450.54632568359375
2017-07-03,451.2149963378906
2017-07-04,467.5038757324219
2017-07-05,472.37615966796875
2017-07-06,467.885986328125
2017-07-07,464.61444091796875
2017-07-10,465.9134216308594
2017-07-11,470.868896484375
2017-07-12,468.6076354980469
2017-07-13,467.885986328125
2017-07-14,466.0577392578125
2017-07-17,455.328857421875
2017-07-18,458.2155456542969
2017-07-19,456.33917236328125
2017-07-20,444.0707092285156
2017-07-21,446.8611755371094
2017-07-24,450.9025573730469
2017-07-25,450.4214782714844
2017-07-26,433.34185791015625
2017-07-27,422.4685363769531
2017-07-28,431.08056640625
2017-07-31,441.6170654296875
2017-08-01,427.18359375
2017-08-02,426.7505187988281
2017-08-03,424.39306640625
2017-08-04,422.32421875
2017-08-07,420.880859375
2017-08-08,417.27252197265625
2017-08-09,409.6708984375
2017-08-10,398.1722106933594
2017-08-11,411.2104797363281
2017-08-14,416.6951904296875
2017-08-16,418.42718505859375
2017-08-17,409.1897888183594
2017-08-18,411.11419677734375
2017-08-21,404.2823791503906
2017-08-22,403.127685546875
2017-08-23,406.2068176269531
2017-08-24,406.92852783203125
2017-08-28,415.20367431640625
2017-08-29,408.275634765625
2017-08-30,410.8255920410156
2017-08-31,410.7774963378906
2017-09-01,426.6061706542969
2017-09-04,424.0562438964844
2017-09-05,429.34857177734375
2017-09-06,424.5374450683594
2017-09-07,422.7572326660156
2017-09-08,421.0733642578125
2017-09-11,420.6403503417969
2017-09-12,415.2518310546875
2017-09-13,411.1623229980469
2017-09-14,409.622802734375
2017-09-15,407.6501770019531
2017-09-18,407.69830322265625
2017-09-19,408.0831604003906
2017-09-20,396.5364074707031
2017-09-21,389.65643310546875
2017-09-22,389.36773681640625
2017-09-25,374.2125549316406
2017-09-26,383.9791564941406
2017-09-27,376.23321533203125
2017-09-28,366.94775390625
2017-09-29,374.1163330078125
2017-10-03,397.5948791503906
2017-10-04,396.6325988769531
2017-10-05,383.5943908691406
2017-10-06,384.3160400390625
2017-10-09,387.2989196777344
2017-10-10,392.7355651855469
2017-10-11,388.59796142578125
2017-10-12,390.81109619140625
2017-10-13,389.99322509765625
2017-10-16,380.0821838378906
2017-10-17,377.09930419921875
2017-10-18,376.9068603515625
2017-10-19,380.94818115234375
2017-10-23,375.0304260253906
2017-10-24,375.7040100097656
2017-10-25,374.54937744140625
2017-10-26,372.91351318359375
2017-10-27,381.5255432128906
2017-10-30,389.41583251953125
2017-10-31,390.28192138671875
2017-11-01,386.6253356933594
2017-11-02,383.3258972167969
2017-11-03,375.70782470703125
2017-11-06,377.7943115234375
2017-11-07,370.079345703125
2017-11-08,364.45068359375
2017-11-09,365.17852783203125
2017-11-10,366.197509765625
2017-11-13,364.45068359375
2017-11-14,361.0541076660156
2017-11-15,366.3430480957031
2017-11-16,369.9337463378906
2017-11-17,380.46307373046875
2017-11-20,377.745849609375
2017-11-21,386.09161376953125
2017-11-22,383.6654968261719
2017-11-23,368.6236877441406
2017-11-24,366.87677001953125
2017-11-27,370.17633056640625
2017-11-28,373.087646484375
2017-11-29,363.9654541015625
2017-11-30,364.8388366699219
2017-12-01,358.7250671386719
2017-12-04,357.0753479003906
