Date,SPANDANA
2019-08-19,847.7999877929688
2019-08-20,839.8499755859375
2019-08-21,827.5999755859375
2019-08-22,813.7999877929688
2019-08-23,816.8499755859375
2019-08-26,824.9000244140625
2019-08-27,846.4500122070312
2019-08-28,879.1500244140625
2019-08-29,891.0
2019-08-30,889.6500244140625
2019-09-03,902.2999877929688
2019-09-04,921.0999755859375
2019-09-05,914.5
2019-09-06,919.0
2019-09-09,889.5
2019-09-11,879.8499755859375
2019-09-12,882.25
2019-09-13,875.1500244140625
2019-09-16,853.7000122070312
2019-09-17,851.2000122070312
2019-09-18,850.5499877929688
2019-09-19,848.5
2019-09-20,859.5
2019-09-23,903.2999877929688
2019-09-24,913.7999877929688
2019-09-25,906.4500122070312
2019-09-26,934.25
2019-09-27,934.0
2019-09-30,933.8499755859375
2019-10-01,898.8499755859375
2019-10-03,893.5
2019-10-04,919.2999877929688
2019-10-07,937.1500244140625
2019-10-09,965.4500122070312
2019-10-10,1004.25
2019-10-11,1062.300048828125
2019-10-14,1089.699951171875
2019-10-15,1088.550048828125
2019-10-16,1105.449951171875
2019-10-17,1088.6500244140625
2019-10-18,1087.6500244140625
2019-10-22,1072.949951171875
2019-10-23,1078.449951171875
2019-10-24,1090.1500244140625
2019-10-25,1073.800048828125
2019-10-27,1120.5999755859375
2019-10-29,1059.949951171875
2019-10-30,1090.0999755859375
2019-10-31,1076.1500244140625
2019-11-01,1112.3499755859375
2019-11-04,1138.3499755859375
2019-11-05,1161.550048828125
2019-11-06,1240.949951171875
2019-11-07,1313.050048828125
2019-11-08,1335.199951171875
2019-11-11,1360.300048828125
2019-11-13,1328.0999755859375
2019-11-14,1296.199951171875
2019-11-15,1307.6500244140625
2019-11-18,1295.8499755859375
2019-11-19,1272.449951171875
2019-11-20,1310.199951171875
2019-11-21,1324.3499755859375
2019-11-22,1252.0999755859375
2019-11-25,1245.4000244140625
2019-11-26,1250.550048828125
2019-11-27,1214.0
2019-11-28,1253.0
2019-11-29,1235.25
2019-12-02,1196.050048828125
2019-12-03,1170.0999755859375
2019-12-04,1223.75
2019-12-05,1173.050048828125
2019-12-06,1207.25
2019-12-09,1230.5999755859375
2019-12-10,1165.949951171875
2019-12-11,1171.050048828125
2019-12-12,1185.800048828125
2019-12-13,1192.550048828125
2019-12-16,1205.1500244140625
2019-12-17,1201.300048828125
2019-12-18,1188.800048828125
2019-12-19,1201.5
2019-12-20,1237.699951171875
2019-12-23,1184.9000244140625
2019-12-24,1176.8499755859375
2019-12-26,1198.25
2019-12-27,1201.75
2019-12-30,1195.1500244140625
2019-12-31,1194.0999755859375
2020-01-01,1185.550048828125
2020-01-02,1181.550048828125
2020-01-03,1174.949951171875
2020-01-06,1144.300048828125
2020-01-07,1169.4000244140625
2020-01-08,1153.0999755859375
2020-01-09,1173.5999755859375
2020-01-10,1163.300048828125
2020-01-13,1148.3499755859375
2020-01-14,1121.800048828125
2020-01-15,1110.25
2020-01-16,1086.5999755859375
2020-01-17,1059.25
2020-01-20,985.0999755859375
2020-01-21,1025.050048828125
2020-01-22,1015.8499755859375
2020-01-23,1023.7000122070312
2020-01-24,1024.75
2020-01-27,1045.5
2020-01-28,1093.699951171875
2020-01-29,1034.199951171875
2020-01-30,1020.9000244140625
2020-01-31,1054.5
2020-02-03,1025.0
2020-02-04,1012.0
2020-02-05,1060.75
2020-02-06,1093.550048828125
2020-02-07,1067.3499755859375
2020-02-10,1035.1500244140625
2020-02-11,1026.0
2020-02-12,992.7999877929688
2020-02-13,1000.7000122070312
2020-02-14,1004.25
2020-02-17,1001.7000122070312
2020-02-18,1028.0
2020-02-19,1042.949951171875
2020-02-20,1098.0
2020-02-24,1098.5
