Date,TIINDIA
2017-11-02,258.1602783203125
2017-11-03,245.50205993652344
2017-11-06,235.75375366210938
2017-11-07,242.59210205078125
2017-11-08,254.66842651367188
2017-11-09,267.3751525878906
2017-11-10,280.71234130859375
2017-11-13,283.0888671875
2017-11-14,281.1973876953125
2017-11-15,284.6893005371094
2017-11-16,281.7793273925781
2017-11-17,271.0610656738281
2017-11-20,266.98712158203125
2017-11-21,261.021728515625
2017-11-22,256.8507995605469
2017-11-23,257.7238464355469
2017-11-24,261.5066833496094
2017-11-27,261.7007141113281
2017-11-28,256.99639892578125
2017-11-29,253.0194091796875
2017-11-30,251.12796020507812
2017-12-01,248.07254028320312
2017-12-04,251.12796020507812
2017-12-05,249.3820037841797
2017-12-06,244.96856689453125
2017-12-07,244.2410888671875
2017-12-08,251.41897583007812
2017-12-11,262.2827453613281
2017-12-12,250.15794372558594
2017-12-13,252.0009002685547
2017-12-14,252.14649963378906
2017-12-15,255.20187377929688
2017-12-18,257.19024658203125
2017-12-19,256.6568298339844
2017-12-20,256.0263366699219
2017-12-21,256.5597839355469
2017-12-22,261.9432067871094
2017-12-26,265.2411804199219
2017-12-27,262.6706848144531
2017-12-28,263.2041320800781
2017-12-29,261.45819091796875
2018-01-01,261.7007141113281
2018-01-02,260.1002502441406
2018-01-03,265.629150390625
2018-01-04,272.17657470703125
2018-01-05,285.61077880859375
2018-01-08,285.8532409667969
2018-01-09,286.72613525390625
2018-01-10,285.27130126953125
2018-01-11,278.7723388671875
2018-01-12,278.7239074707031
2018-01-15,285.3197326660156
2018-01-16,270.964111328125
2018-01-17,274.8924865722656
2018-01-18,260.2942199707031
2018-01-19,264.4651794433594
2018-01-22,269.0240783691406
2018-01-23,265.48370361328125
2018-01-24,252.9224395751953
2018-01-25,260.1002502441406
2018-01-29,256.1718444824219
2018-01-30,259.227294921875
2018-01-31,259.227294921875
2018-02-01,257.77227783203125
2018-02-02,255.54136657714844
2018-02-05,252.0009002685547
2018-02-06,254.23187255859375
2018-02-07,256.89935302734375
2018-02-08,254.03787231445312
2018-02-09,262.0887145996094
2018-02-12,271.6429748535156
2018-02-14,277.99639892578125
2018-02-15,264.90167236328125
2018-02-16,262.4281311035156
2018-02-19,259.7607116699219
2018-02-20,265.82318115234375
2018-02-21,263.10723876953125
2018-02-22,259.696533203125
2018-02-23,256.57818603515625
2018-02-26,253.36253356933594
2018-02-27,253.41116333007812
2018-02-28,254.6293182373047
2018-03-01,256.3346252441406
2018-03-05,259.2579650878906
2018-03-06,254.97032165527344
2018-03-07,253.557373046875
2018-03-08,257.5039367675781
2018-03-09,254.04454040527344
2018-03-12,254.33692932128906
2018-03-13,253.8984375
2018-03-14,251.90077209472656
2018-03-15,249.41586303710938
2018-03-16,241.91246032714844
2018-03-19,242.3997039794922
2018-03-20,244.787109375
2018-03-21,238.69668579101562
2018-03-22,235.28602600097656
2018-03-23,228.26983642578125
2018-03-26,225.4925994873047
2018-03-27,219.45086669921875
2018-03-28,216.7223663330078
2018-04-02,247.56439208984375
2018-04-03,242.4484100341797
2018-04-04,231.7779541015625
2018-04-05,236.99139404296875
2018-04-06,233.4832763671875
2018-04-09,235.43222045898438
2018-04-10,233.97052001953125
2018-04-11,226.75941467285156
2018-04-12,226.1747283935547
2018-04-13,226.80816650390625
2018-04-16,228.26983642578125
2018-04-17,225.2977294921875
2018-04-18,225.00540161132812
2018-04-19,225.2002716064453
2018-04-20,228.4647674560547
2018-04-23,233.87307739257812
2018-04-24,235.7732696533203
2018-04-25,232.36265563964844
