Date,IPCALAB
1996-01-01,6.64535665512085
1996-01-02,6.502448081970215
1996-01-03,6.556039333343506
1996-01-04,6.538174152374268
1996-01-05,6.430990695953369
1996-01-08,6.075500965118408
1996-01-09,5.9754638671875
1996-01-10,5.907580852508545
1996-01-11,6.107656002044678
1996-01-12,6.020120620727539
1996-01-15,6.216625213623047
1996-01-16,6.075500965118408
1996-01-17,6.14517068862915
1996-01-18,6.073714733123779
1996-01-19,5.7878923416137695
1996-01-22,5.716436862945557
1996-01-23,5.562806606292725
1996-01-24,5.4984965324401855
1996-01-25,5.430614948272705
1996-01-26,5.430614948272705
1996-01-29,5.389529228210449
1996-01-30,5.457411289215088
1996-01-31,5.469915866851807
1996-02-01,5.64498233795166
1996-02-02,6.08264684677124
1996-02-05,6.430990695953369
1996-02-06,6.466720104217529
1996-02-07,6.073714733123779
1996-02-08,6.341673851013184
1996-02-09,6.7025227546691895
1996-02-12,6.725745677947998
1996-02-13,6.8168511390686035
1996-02-14,7.002636432647705
1996-02-15,7.074090480804443
1996-02-16,6.538174152374268
1996-02-19,6.6096320152282715
1996-02-20,6.598912715911865
1996-02-21,6.598912715911865
1996-02-22,6.502448081970215
1996-02-23,6.545319080352783
1996-02-26,6.607845306396484
1996-02-27,6.397051811218262
1996-02-28,6.359534740447998
1996-02-29,6.216625213623047
1996-03-01,6.2076921463012695
1996-03-04,6.113016605377197
1996-03-05,6.113016605377197
1996-03-06,6.002261161804199
1996-03-07,5.966531753540039
1996-03-08,6.073714733123779
1996-03-11,6.073714733123779
1996-03-12,5.841484069824219
1996-03-13,5.948666095733643
1996-03-14,5.752163410186768
1996-03-15,5.859348297119141
1996-03-18,5.689640522003174
1996-03-19,5.627118110656738
1996-03-20,5.627118110656738
1996-03-21,5.627118110656738
1996-03-22,5.716436862945557
1996-03-25,5.627118110656738
1996-03-26,5.573525905609131
1996-03-27,5.394888877868652
1996-03-28,5.536012172698975
1996-03-29,5.537797927856445
1996-04-01,5.627118110656738
1996-04-02,5.664630889892578
1996-04-03,5.823620319366455
1996-04-04,5.805755615234375
1996-04-05,5.805755615234375
1996-04-08,5.814686298370361
1996-04-09,5.812900066375732
1996-04-10,5.716436862945557
1996-04-11,5.805755615234375
1996-04-12,5.682494163513184
1996-04-15,5.7878923416137695
1996-04-16,5.7878923416137695
1996-04-17,6.027266979217529
1996-04-18,6.611415386199951
1996-04-19,6.654292583465576
1996-04-22,6.252351760864258
1996-04-23,5.912939548492432
1996-04-24,6.382758140563965
1996-04-25,6.252351760864258
1996-04-26,6.109442234039307
1996-04-29,6.109442234039307
1996-04-30,6.037985801696777
1996-05-01,6.216625213623047
1996-05-02,6.21126651763916
1996-05-03,6.1630330085754395
1996-05-06,6.109442234039307
1996-05-07,6.195187091827393
1996-05-08,6.252351760864258
1996-05-09,6.109442234039307
1996-05-10,6.054063320159912
1996-05-13,6.002261161804199
1996-05-14,5.970102310180664
1996-05-15,6.002261161804199
1996-05-16,6.037985801696777
1996-05-17,6.037985801696777
1996-05-20,5.503857135772705
1996-05-21,5.636049747467041
1996-05-22,5.668203353881836
1996-05-23,5.6807098388671875
1996-05-24,5.6807098388671875
1996-05-27,5.507429599761963
1996-05-28,5.519935607910156
1996-05-29,5.573525905609131
1996-05-30,5.575312614440918
1996-05-31,5.859348297119141
1996-06-03,5.609253406524658
1996-06-04,5.575312614440918
1996-06-05,5.573525905609131
1996-06-06,5.6807098388671875
1996-06-07,5.752163410186768
1996-06-10,5.886144161224365
1996-06-11,5.532437801361084
1996-06-12,5.628905296325684
1996-06-13,5.484207630157471
