Date,ARVINDFASN
2019-03-08,455.3564453125
2019-03-11,478.1077575683594
2019-03-12,501.9966125488281
2019-03-13,527.0964965820312
2019-03-14,553.4439697265625
2019-03-15,581.1124877929688
2019-03-18,610.1387939453125
2019-03-19,640.6328735351562
2019-03-20,672.6314697265625
2019-03-22,706.2446899414062
2019-03-25,776.8471069335938
2019-03-26,746.6832885742188
2019-03-27,736.9590454101562
2019-03-28,749.8758544921875
2019-04-01,763.8201904296875
2019-04-02,769.1043090820312
2019-04-03,735.4176635742188
2019-04-04,725.0328369140625
2019-04-05,716.4461059570312
2019-04-08,710.9783935546875
2019-04-09,710.8316040039062
2019-04-10,711.8224487304688
2019-04-11,715.5653686523438
2019-04-12,711.859130859375
2019-04-15,700.9605102539062
2019-04-16,703.1989135742188
2019-04-18,705.25390625
2019-04-22,704.8135375976562
2019-04-23,706.2079467773438
2019-04-24,704.5199584960938
2019-04-25,708.2996826171875
2019-04-26,712.9232788085938
2019-04-30,734.1333618164062
2019-05-02,730.6840209960938
2019-05-03,733.949951171875
2019-05-06,727.748291015625
2019-05-07,730.3170166015625
2019-05-08,719.4183959960938
2019-05-09,719.8588256835938
2019-05-10,709.5105590820312
2019-05-13,706.8684692382812
2019-05-14,698.3184204101562
2019-05-15,682.539306640625
2019-05-16,616.08349609375
2019-05-17,562.2508544921875
2019-05-20,590.3597412109375
2019-05-21,619.8630981445312
2019-05-22,603.7903442382812
2019-05-23,602.065673828125
2019-05-24,614.5789184570312
2019-05-27,606.4324951171875
2019-05-28,621.2942504882812
2019-05-29,590.9468994140625
2019-05-30,594.3228759765625
2019-05-31,587.7911376953125
2019-06-03,591.1671752929688
2019-06-04,570.3240356445312
2019-06-06,561.0399780273438
2019-06-07,585.0756225585938
2019-06-10,558.69140625
2019-06-11,562.9848022460938
2019-06-12,572.7825317382812
2019-06-13,561.5170288085938
2019-06-14,556.4896850585938
2019-06-17,551.97607421875
2019-06-18,553.9209594726562
2019-06-19,516.0877685546875
2019-06-20,509.15234375
2019-06-21,511.3540344238281
2019-06-24,513.9226684570312
2019-06-25,506.5835876464844
2019-06-26,506.69366455078125
2019-06-27,512.9320068359375
2019-06-28,499.4279479980469
2019-07-01,506.40008544921875
2019-07-02,502.36358642578125
2019-07-03,501.04254150390625
2019-07-04,497.9601135253906
2019-07-05,500.27197265625
2019-07-08,488.0889892578125
2019-07-09,496.34552001953125
2019-07-10,490.2907409667969
2019-07-11,484.52947998046875
2019-07-12,484.41943359375
2019-07-15,484.41943359375
2019-07-16,480.5296630859375
2019-07-17,479.39208984375
2019-07-18,477.7774963378906
2019-07-19,477.0069274902344
