Date,HEMIPROP
2020-10-22,92.1500015258789
2020-10-23,87.55000305175781
2020-10-26,83.19999694824219
2020-10-27,79.05000305175781
2020-10-28,75.0999984741211
2020-10-29,71.3499984741211
2020-10-30,67.80000305175781
2020-11-02,64.44999694824219
2020-11-03,67.6500015258789
2020-11-04,64.30000305175781
2020-11-05,58.400001525878906
2020-11-06,64.75
2020-11-09,65.30000305175781
2020-11-10,61.349998474121094
2020-11-11,61.70000076293945
2020-11-12,63.0
2020-11-13,62.900001525878906
2020-11-14,65.5
2020-11-17,63.95000076293945
2020-11-18,67.30000305175781
2020-11-19,66.8499984741211
2020-11-20,65.3499984741211
2020-11-23,64.8499984741211
2020-11-24,63.79999923706055
2020-11-25,63.04999923706055
2020-11-26,62.900001525878906
2020-11-27,63.04999923706055
2020-12-01,64.19999694824219
2020-12-02,72.80000305175781
2020-12-03,76.25
2020-12-04,74.69999694824219
2020-12-07,75.0
2020-12-08,78.6500015258789
2020-12-09,77.6500015258789
2020-12-10,75.3499984741211
2020-12-11,76.69999694824219
2020-12-14,78.4000015258789
2020-12-15,76.44999694824219
2020-12-16,77.30000305175781
2020-12-17,75.3499984741211
2020-12-18,72.69999694824219
2020-12-21,67.5
2020-12-22,71.05000305175781
2020-12-23,71.94999694824219
2020-12-24,71.44999694824219
2020-12-28,70.69999694824219
2020-12-29,73.55000305175781
2020-12-30,88.25
2020-12-31,95.05000305175781
2021-01-01,91.80000305175781
2021-01-04,89.05000305175781
2021-01-05,91.5999984741211
2021-01-06,89.94999694824219
2021-01-07,94.4000015258789
2021-01-08,112.5999984741211
2021-01-11,119.5999984741211
2021-01-12,131.10000610351562
2021-01-13,134.39999389648438
2021-01-14,128.35000610351562
2021-01-15,130.4499969482422
2021-01-18,141.39999389648438
2021-01-19,144.64999389648438
2021-01-20,143.10000610351562
2021-01-21,143.0500030517578
2021-01-22,137.60000610351562
2021-01-25,136.5500030517578
2021-01-27,130.9499969482422
2021-01-28,131.60000610351562
2021-01-29,139.64999389648438
2021-02-01,147.14999389648438
2021-02-02,141.35000610351562
2021-02-03,136.8000030517578
2021-02-04,143.60000610351562
2021-02-05,150.75
2021-02-08,158.25
2021-02-09,166.14999389648438
2021-02-10,174.35000610351562
2021-02-11,183.0500030517578
2021-02-12,192.1999969482422
2021-02-15,198.6999969482422
2021-02-16,188.8000030517578
2021-02-17,179.39999389648438
2021-02-18,187.0
2021-02-19,179.1999969482422
2021-02-22,176.3000030517578
2021-02-23,176.60000610351562
2021-02-24,178.9499969482422
2021-02-25,175.60000610351562
2021-02-26,175.10000610351562
2021-03-01,173.0500030517578
2021-03-02,171.25
2021-03-03,171.3000030517578
2021-03-04,168.25
2021-03-05,163.25
2021-03-08,166.75
2021-03-09,160.64999389648438
2021-03-10,155.5
2021-03-12,163.25
2021-03-15,167.64999389648438
2021-03-16,165.1999969482422
2021-03-17,157.1999969482422
2021-03-18,151.35000610351562
2021-03-19,152.25
2021-03-22,148.60000610351562
2021-03-23,149.60000610351562
2021-03-24,142.4499969482422
2021-03-25,136.4499969482422
2021-03-26,138.39999389648438
2021-03-30,138.1999969482422
2021-03-31,137.4499969482422
2021-04-01,144.3000030517578
2021-04-05,151.5
2021-04-06,156.5500030517578
2021-04-07,148.75
2021-04-08,145.85000610351562
2021-04-09,143.35000610351562
2021-04-12,136.3000030517578
2021-04-13,136.8000030517578
2021-04-15,134.0500030517578
2021-04-16,132.89999389648438
2021-04-19,126.75
2021-04-20,128.0500030517578
2021-04-22,134.4499969482422
2021-04-23,131.8000030517578
2021-04-26,138.35000610351562
2021-04-27,142.89999389648438
2021-04-28,137.39999389648438
2021-04-29,134.35000610351562
2021-04-30,131.4499969482422
2021-05-03,130.25
2021-05-04,131.0
2021-05-05,132.25
2021-05-06,132.10000610351562
2021-05-07,134.10000610351562
2021-05-10,132.35000610351562
2021-05-11,132.35000610351562
2021-05-12,134.5
2021-05-14,130.75
2021-05-17,132.39999389648438
2021-05-18,132.3000030517578
2021-05-19,131.85000610351562
2021-05-20,133.5
2021-05-21,140.14999389648438
2021-05-24,140.4499969482422
2021-05-25,139.0
2021-05-26,142.3000030517578
2021-05-27,135.60000610351562
2021-05-28,132.39999389648438
2021-05-31,137.0
2021-06-01,134.1999969482422
2021-06-02,133.4499969482422
2021-06-03,140.10000610351562
2021-06-04,147.10000610351562
2021-06-07,161.8000030517578
2021-06-08,155.60000610351562
2021-06-09,153.89999389648438
2021-06-10,158.75
2021-06-11,156.5
2021-06-14,153.25
2021-06-15,150.25
2021-06-16,147.6999969482422
2021-06-17,141.85000610351562
2021-06-18,139.89999389648438
2021-06-21,144.6999969482422
2021-06-22,146.0500030517578
2021-06-23,143.25
2021-06-24,140.5500030517578
2021-06-25,142.5500030517578
2021-06-28,139.14999389648438
2021-06-29,139.9499969482422
2021-06-30,137.9499969482422
2021-07-01,140.9499969482422
2021-07-02,140.14999389648438
2021-07-05,140.1999969482422
