Date,PGHH
2002-08-12,279.7494812011719
2002-08-13,282.9333190917969
2002-08-14,284.2462463378906
2002-08-15,284.2462463378906
2002-08-16,284.01641845703125
2002-08-19,281.7187805175781
2002-08-20,281.3577575683594
2002-08-21,280.011962890625
2002-08-22,281.25933837890625
2002-08-23,283.9508056640625
2002-08-26,281.48907470703125
2002-08-27,281.48907470703125
2002-08-28,285.1324462890625
2002-08-29,287.5285339355469
2002-08-30,287.0032653808594
2002-09-02,286.6094055175781
2002-09-03,287.265869140625
2002-09-04,288.87420654296875
2002-09-05,283.6224670410156
2002-09-06,287.72540283203125
2002-09-09,286.0187072753906
2002-09-10,286.0187072753906
2002-09-11,272.134521484375
2002-09-12,273.25048828125
2002-09-13,273.64434814453125
2002-09-16,266.1278991699219
2002-09-17,264.0928955078125
2002-09-18,265.2745361328125
2002-09-19,260.3182678222656
2002-09-20,263.1411437988281
2002-09-23,260.0229797363281
2002-09-24,259.20233154296875
2002-09-25,261.0404052734375
2002-09-26,259.2352294921875
2002-09-27,262.51739501953125
2002-09-30,272.72540283203125
2002-10-01,270.03387451171875
2002-10-02,270.03387451171875
2002-10-03,263.66619873046875
2002-10-04,270.9857482910156
2002-10-07,273.1520080566406
2002-10-08,273.7100524902344
2002-10-09,267.9988708496094
2002-10-10,268.2943420410156
2002-10-11,274.2023620605469
2002-10-14,273.3489685058594
2002-10-15,273.3489685058594
2002-10-16,274.36651611328125
2002-10-17,271.2483215332031
2002-10-18,261.4342346191406
2002-10-21,251.226318359375
2002-10-22,255.65745544433594
2002-10-23,257.1016845703125
2002-10-24,259.2679443359375
2002-10-25,251.06231689453125
2002-10-28,240.29638671875
2002-10-29,239.70553588867188
2002-10-30,240.06666564941406
2002-10-31,242.8893585205078
2002-11-01,238.22854614257812
2002-11-04,244.56326293945312
2002-11-05,245.3511199951172
2002-11-06,245.3511199951172
2002-11-07,246.23727416992188
2002-11-08,244.2022247314453
2002-11-11,240.3292236328125
2002-11-12,241.54359436035156
2002-11-13,242.42984008789062
2002-11-14,241.57647705078125
2002-11-15,243.2832489013672
2002-11-18,241.77340698242188
2002-11-19,241.77340698242188
2002-11-20,242.65951538085938
2002-11-21,241.41232299804688
2002-11-22,240.88720703125
2002-11-25,240.5589141845703
2002-11-26,246.00746154785156
2002-11-27,246.04034423828125
2002-11-28,245.3839569091797
2002-11-29,245.3839569091797
2002-12-02,246.17161560058594
2002-12-03,243.8412628173828
2002-12-04,245.2525634765625
2002-12-05,242.6924285888672
2002-12-06,245.64651489257812
2002-12-09,244.7275390625
2002-12-10,240.6902313232422
2002-12-11,246.5654754638672
2002-12-12,247.18917846679688
2002-12-13,255.82159423828125
2002-12-16,252.44078063964844
2002-12-17,249.71653747558594
2002-12-18,249.42117309570312
2002-12-19,251.45614624023438
2002-12-20,253.03163146972656
2002-12-23,256.05133056640625
2002-12-24,255.42771911621094
2002-12-25,255.42771911621094
2002-12-26,257.79095458984375
2002-12-27,257.298583984375
2002-12-30,264.9790954589844
2002-12-31,263.10821533203125
2003-01-01,262.8456726074219
2003-01-02,262.91131591796875
2003-01-03,261.79541015625
2003-01-06,260.0885314941406
2003-01-07,259.72747802734375
2003-01-08,260.51519775390625
2003-01-09,259.53057861328125
2003-01-10,255.6246337890625
2003-01-13,257.85662841796875
2003-01-14,262.2220153808594
2003-01-15,259.20233154296875
2003-01-16,259.1695556640625
2003-01-17,259.0382385253906
2003-01-20,259.49761962890625
2003-01-21,258.64434814453125
2003-01-22,258.939697265625
2003-01-23,258.1192321777344
2003-01-24,257.79095458984375
2003-01-27,253.65530395507812
2003-01-28,256.2154541015625
2003-01-29,258.67718505859375
2003-01-30,255.36209106445312
2003-01-31,257.4298400878906
2003-02-03,252.67056274414062
2003-02-04,246.6639862060547
2003-02-05,242.8893585205078
2003-02-06,247.9440460205078
2003-02-07,248.14097595214844
2003-02-10,248.20664978027344
