Date,PRESTIGE
2010-10-27,176.8771209716797
2010-10-28,183.0126190185547
2010-10-29,182.5547637939453
2010-11-01,197.802001953125
2010-11-02,186.58409118652344
2010-11-03,187.91189575195312
2010-11-04,188.59873962402344
2010-11-08,185.43936157226562
2010-11-09,183.79104614257812
2010-11-10,184.1115264892578
2010-11-11,178.29652404785156
2010-11-12,178.4338836669922
2010-11-15,180.4943084716797
2010-11-16,172.02365112304688
2010-11-18,168.63534545898438
2010-11-19,164.8807830810547
2010-11-22,159.75257873535156
2010-11-23,151.78553771972656
2010-11-24,146.9320831298828
2010-11-25,149.2214813232422
2010-11-26,146.6573486328125
2010-11-29,148.7177734375
2010-11-30,156.45590209960938
2010-12-01,159.43206787109375
2010-12-02,171.01632690429688
2010-12-03,174.9998321533203
2010-12-06,170.74159240722656
2010-12-07,164.3771209716797
2010-12-08,162.04197692871094
2010-12-09,153.662841796875
2010-12-10,156.59324645996094
2010-12-13,157.14271545410156
2010-12-14,157.09693908691406
2010-12-15,151.32769775390625
2010-12-16,149.45042419433594
2010-12-20,156.27273559570312
2010-12-21,154.9449005126953
2010-12-22,152.472412109375
2010-12-23,154.99069213867188
2010-12-24,154.0291290283203
2010-12-27,149.77093505859375
2010-12-28,151.0987548828125
2010-12-29,153.3881378173828
2010-12-30,155.17381286621094
2010-12-31,157.50901794433594
2011-01-03,152.51817321777344
2011-01-04,147.3899688720703
2011-01-05,145.3295440673828
2011-01-06,145.3753204345703
2011-01-07,140.38446044921875
2011-01-10,135.2562713623047
2011-01-11,131.089599609375
2011-01-12,131.8679962158203
2011-01-13,129.4870147705078
2011-01-14,129.34967041015625
2011-01-17,123.94676971435547
2011-01-18,124.86249542236328
2011-01-19,127.5639877319336
2011-01-20,131.8222198486328
2011-01-21,133.10426330566406
2011-01-24,144.64271545410156
2011-01-25,141.94125366210938
2011-01-27,140.65921020507812
2011-01-28,142.17015075683594
2011-01-31,137.68299865722656
2011-02-01,133.65374755859375
2011-02-02,128.0218505859375
2011-02-03,124.81671142578125
2011-02-04,119.50537872314453
2011-02-07,116.11711120605469
2011-02-08,117.21599578857422
2011-02-09,109.61526489257812
2011-02-10,114.9266357421875
2011-02-11,116.11711120605469
2011-02-14,117.81123352050781
2011-02-15,118.17754364013672
2011-02-16,114.8808364868164
2011-02-17,110.53102111816406
2011-02-18,116.34603118896484
2011-02-21,119.04749298095703
2011-02-22,115.10977935791016
2011-02-23,115.47606658935547
2011-02-24,111.76728820800781
2011-02-25,110.02735900878906
2011-02-28,107.41747283935547
2011-03-01,110.48523712158203
2011-03-03,105.86070251464844
2011-03-04,106.18119812011719
2011-03-07,106.36437225341797
2011-03-08,104.57865142822266
2011-03-09,104.25812530517578
2011-03-10,104.44129180908203
2011-03-11,103.15924072265625
2011-03-14,101.83138275146484
2011-03-15,98.9010009765625
2011-03-16,99.35887908935547
2011-03-17,102.24348449707031
2011-03-18,96.74897766113281
2011-03-21,99.26729583740234
2011-03-22,99.81673431396484
2011-03-23,110.3936538696289
2011-03-24,130.35704040527344
2011-03-25,123.3973159790039
2011-03-28,119.41378784179688
2011-03-29,115.20135498046875
2011-03-30,115.61344909667969
2011-03-31,114.9266357421875
2011-04-01,117.21599578857422
2011-04-04,116.84970092773438
2011-04-05,113.23249816894531
2011-04-06,114.37716674804688
2011-04-07,125.13723754882812
2011-04-08,131.089599609375
2011-04-11,125.5951156616211
2011-04-13,127.79290008544922
2011-04-15,125.41197204589844
2011-04-18,124.17570495605469
2011-04-19,126.14456176757812
2011-04-20,125.18301391601562
2011-04-21,128.52549743652344
2011-04-25,138.5072021484375
2011-04-26,141.57496643066406
2011-04-27,144.4595489501953
2011-04-28,137.68299865722656
2011-04-29,134.203125
2011-05-02,132.4632110595703
2011-05-03,130.54017639160156
2011-05-04,130.44859313964844
2011-05-05,128.29656982421875
2011-05-06,128.52549743652344
2011-05-09,131.31854248046875
2011-05-10,130.54017639160156
2011-05-11,131.22695922851562
2011-05-12,135.02731323242188
2011-05-13,140.06399536132812
2011-05-16,135.02731323242188
2011-05-17,131.36431884765625
2011-05-18,130.08226013183594
2011-05-19,128.52549743652344
2011-05-20,129.1665496826172
2011-05-23,122.9852294921875
2011-05-24,126.32772064208984
2011-05-25,124.22148132324219
2011-05-26,124.9998779296875
2011-05-27,130.81488037109375
2011-05-30,128.06765747070312
2011-05-31,136.950439453125
2011-06-01,135.2104949951172
2011-06-02,134.02000427246094
2011-06-03,132.09695434570312
2011-06-06,127.83868408203125
2011-06-07,129.1665496826172
2011-06-08,127.24346160888672
2011-06-09,126.00717163085938
2011-06-10,126.78558349609375
2011-06-13,123.71783447265625
2011-06-14,124.17570495605469
2011-06-15,121.70317077636719
2011-06-16,122.20683288574219
2011-06-17,120.6042709350586
2011-06-20,112.77462768554688
2011-06-21,112.91197204589844
2011-06-22,114.14824676513672
2011-06-23,112.91197204589844
2011-06-24,113.41564178466797
2011-06-27,114.83505249023438
2011-06-28,113.14092254638672
2011-06-29,113.50720977783203
2011-06-30,110.11893463134766
2011-07-01,113.14092254638672
2011-07-04,114.51454162597656
2011-07-05,111.72150421142578
2011-07-06,109.79841613769531
2011-07-07,111.0346908569336
2011-07-08,112.17937469482422
2011-07-11,112.86618041992188
2011-07-12,111.8588638305664
2011-07-13,112.82040405273438
2011-07-14,116.66656494140625
2011-07-15,115.84237670898438
2011-07-18,114.78925323486328
2011-07-19,122.1610336303711
2011-07-20,127.5181655883789
2011-07-21,130.520263671875
2011-07-22,130.19696044921875
2011-07-25,127.2410888671875
2011-07-26,123.45384216308594
2011-07-27,122.16067504882812
2011-07-28,124.19281768798828
2011-07-29,121.83735656738281
2011-08-01,124.70084381103516
2011-08-02,121.4678955078125
2011-08-03,119.29715728759766
2011-08-04,117.63448333740234
2011-08-05,113.93965148925781
2011-08-08,110.75284576416016
