Date,CARERATING
2012-12-26,603.4373168945312
2012-12-27,611.286376953125
2012-12-28,606.3480224609375
2012-12-31,598.3680419921875
2013-01-01,601.08251953125
2013-01-02,604.35302734375
2013-01-03,611.4828491210938
2013-01-04,611.4173583984375
2013-01-07,607.81982421875
2013-01-08,602.3251953125
2013-01-09,604.1895141601562
2013-01-10,612.6926879882812
2013-01-11,613.9682006835938
2013-01-14,604.02587890625
2013-01-15,608.9970703125
2013-01-16,601.34423828125
2013-01-17,605.4650268554688
2013-01-18,604.941650390625
2013-01-21,605.0724487304688
2013-01-22,605.6939697265625
2013-01-23,608.0486450195312
2013-01-24,602.3251953125
2013-01-25,604.941650390625
2013-01-28,599.8723754882812
2013-01-29,574.1665649414062
2013-01-30,565.8594360351562
2013-01-31,550.9135131835938
2013-02-01,557.3888549804688
2013-02-04,543.6529541015625
2013-02-05,538.4854125976562
2013-02-06,537.7987670898438
2013-02-07,542.5081787109375
2013-02-08,540.8729248046875
2013-02-11,539.6953125
2013-02-12,539.8916015625
2013-02-13,540.5130615234375
2013-02-14,540.9710693359375
2013-02-15,543.1621704101562
2013-02-18,546.6943969726562
2013-02-19,539.1721801757812
2013-02-20,538.2892456054688
2013-02-21,531.7808837890625
2013-02-22,531.4867553710938
2013-02-25,520.9230346679688
2013-02-26,501.65997314453125
2013-02-27,528.3140869140625
2013-02-28,532.0751342773438
2013-03-01,515.5919799804688
2013-03-04,511.4712219238281
2013-03-05,521.7405395507812
2013-03-06,519.5819091796875
2013-03-07,512.3099365234375
2013-03-08,528.0164184570312
2013-03-11,529.3115234375
2013-03-12,530.6066284179688
2013-03-13,530.4072875976562
2013-03-14,530.1085205078125
2013-03-15,548.5714111328125
2013-03-18,541.0997314453125
2013-03-19,528.3153076171875
2013-03-20,525.4263916015625
2013-03-21,513.8704833984375
2013-03-22,527.1862182617188
2013-03-25,521.3751831054688
2013-03-26,528.8134155273438
2013-03-28,538.2774047851562
2013-04-01,537.3807373046875
2013-04-02,536.8825073242188
2013-04-03,522.2053833007812
2013-04-04,519.0508422851562
2013-04-05,513.4721069335938
2013-04-08,509.38763427734375
2013-04-09,508.59051513671875
2013-04-10,501.0859680175781
2013-04-11,505.7016296386719
2013-04-12,502.5138244628906
2013-04-15,497.76544189453125
2013-04-16,500.986328125
2013-04-17,499.757568359375
2013-04-18,494.8432312011719
2013-04-22,496.8355712890625
2013-04-23,500.32220458984375
2013-04-25,481.72662353515625
2013-04-26,484.2171630859375
2013-04-29,480.92974853515625
2013-04-30,477.6421813964844
2013-05-02,472.06341552734375
2013-05-03,461.1052551269531
2013-05-06,464.1270751953125
