Date,NESTLEIND
2002-08-12,414.7054138183594
2002-08-13,417.90716552734375
2002-08-14,422.29937744140625
2002-08-15,422.29937744140625
2002-08-16,419.5079650878906
2002-08-19,421.14996337890625
2002-08-20,429.6056823730469
2002-08-21,426.6502685546875
2002-08-22,430.8781433105469
2002-08-23,461.2945556640625
2002-08-26,448.56976318359375
2002-08-27,453.16705322265625
2002-08-28,455.91741943359375
2002-08-29,454.6859436035156
2002-08-30,455.6709899902344
2002-09-02,458.8727722167969
2002-09-03,458.29803466796875
2002-09-04,459.078125
2002-09-05,468.92950439453125
2002-09-06,464.1680603027344
2002-09-09,459.81689453125
2002-09-10,459.81689453125
2002-09-11,460.1861267089844
2002-09-12,459.7347412109375
2002-09-13,457.3127136230469
2002-09-16,458.2569580078125
2002-09-17,460.1042785644531
2002-09-18,460.3093566894531
2002-09-19,455.6709899902344
2002-09-20,453.4955749511719
2002-09-23,457.7644348144531
2002-09-24,468.6419372558594
2002-09-25,461.0894470214844
2002-09-26,459.0370788574219
2002-09-27,461.8692321777344
2002-09-30,467.9443664550781
2002-10-01,460.2684631347656
2002-10-02,460.2684631347656
2002-10-03,463.0185852050781
2002-10-04,464.4552307128906
2002-10-07,464.7014465332031
2002-10-08,465.07098388671875
2002-10-09,463.5932312011719
2002-10-10,465.1120300292969
2002-10-11,460.71990966796875
2002-10-14,459.85791015625
2002-10-15,459.85791015625
2002-10-16,459.85791015625
2002-10-17,460.6788024902344
2002-10-18,461.8692321777344
2002-10-21,450.1707458496094
2002-10-22,453.4135437011719
2002-10-23,455.87628173828125
2002-10-24,460.39154052734375
2002-10-25,459.4064636230469
2002-10-28,461.8692321777344
2002-10-29,460.3093566894531
2002-10-30,456.450927734375
2002-10-31,451.9357604980469
2002-11-01,438.1846618652344
2002-11-04,439.6624755859375
2002-11-05,436.2144470214844
2002-11-06,436.2144470214844
2002-11-07,437.36376953125
2002-11-08,431.98638916015625
2002-11-11,430.6319885253906
2002-11-12,433.5874328613281
2002-11-13,426.5682067871094
2002-11-14,423.4075012207031
2002-11-15,422.5865478515625
2002-11-18,424.3516540527344
2002-11-19,424.3516540527344
2002-11-20,425.0904235839844
2002-11-21,423.61273193359375
2002-11-22,425.0083923339844
2002-11-25,431.1246337890625
2002-11-26,439.5393371582031
2002-11-27,430.5498352050781
2002-11-28,439.00567626953125
2002-11-29,439.00567626953125
2002-12-02,445.8605651855469
2002-12-03,447.50262451171875
2002-12-04,447.1741027832031
2002-12-05,438.3899230957031
2002-12-06,443.11041259765625
2002-12-09,425.3367919921875
2002-12-10,428.66168212890625
2002-12-11,428.1690979003906
