Date,IEX
2017-10-23,47.962318420410156
2017-10-24,47.2042350769043
2017-10-25,46.016334533691406
2017-10-26,46.00455093383789
2017-10-27,46.076683044433594
2017-10-30,46.13703536987305
2017-10-31,45.757259368896484
2017-11-01,45.90739822387695
2017-11-02,46.01927185058594
2017-11-03,46.87744903564453
2017-11-06,47.182151794433594
2017-11-07,47.31022262573242
2017-11-08,46.69198226928711
2017-11-09,47.108558654785156
2017-11-10,47.005516052246094
2017-11-13,46.304840087890625
2017-11-14,45.42163848876953
2017-11-15,44.49722671508789
2017-11-16,44.40596008300781
2017-11-17,44.56787872314453
2017-11-20,44.282310485839844
2017-11-21,44.61939239501953
2017-11-22,45.863243103027344
2017-11-23,45.829383850097656
2017-11-24,45.6174201965332
2017-11-27,45.720458984375
2017-11-28,45.540870666503906
2017-11-29,44.95059585571289
2017-11-30,45.162567138671875
2017-12-01,45.05363845825195
2017-12-04,44.36326599121094
2017-12-05,44.32353210449219
2017-12-06,44.56935119628906
2017-12-07,44.98298263549805
2017-12-08,45.632137298583984
2017-12-11,45.80289077758789
2017-12-12,47.323463439941406
2017-12-13,47.21012496948242
2017-12-14,46.71994400024414
2017-12-15,46.374027252197266
2017-12-18,46.80974197387695
2017-12-19,46.528587341308594
2017-12-20,46.769996643066406
2017-12-21,46.743499755859375
2017-12-22,47.20718002319336
2017-12-26,47.14094161987305
2017-12-27,46.662540435791016
2017-12-28,47.69588851928711
2017-12-29,47.40000915527344
2018-01-01,47.3514404296875
2018-01-02,47.31022262573242
2018-01-03,47.0526237487793
2018-01-04,47.458900451660156
2018-01-05,47.23661804199219
2018-01-08,47.26017379760742
2018-01-09,47.60609817504883
2018-01-10,47.97557067871094
2018-01-11,47.27195358276367
2018-01-12,48.116886138916016
2018-01-15,47.528079986572266
2018-01-16,47.57959747314453
2018-01-17,47.2763671875
2018-01-18,47.5310173034668
2018-01-19,47.71649169921875
2018-01-22,47.63111877441406
2018-01-23,47.14241027832031
2018-01-24,47.10708236694336
2018-01-25,47.24250793457031
2018-01-29,47.24397659301758
2018-01-30,46.99521255493164
2018-01-31,47.14094161987305
2018-02-01,47.30580520629883
2018-02-02,47.01877212524414
2018-02-05,46.500614166259766
2018-02-06,45.35834503173828
2018-02-07,45.239112854003906
2018-02-08,45.95745086669922
2018-02-09,45.5452880859375
2018-02-12,46.001609802246094
2018-02-14,45.7955322265625
2018-02-15,45.50554656982422
2018-02-16,45.208194732666016
2018-02-19,44.76953887939453
2018-02-20,44.61056137084961
2018-02-21,44.45158767700195
2018-02-22,43.858367919921875
2018-02-23,42.75584030151367
2018-02-26,42.958984375
2018-02-27,42.59392166137695
2018-02-28,42.956024169921875
2018-03-01,42.87065887451172
2018-03-05,42.752899169921875
2018-03-06,42.577720642089844
2018-03-07,41.45752716064453
