Date,POWERINDIA
2020-03-30,711.37646484375
2020-03-31,746.9453735351562
2020-04-01,784.2576904296875
2020-04-03,787.0972900390625
2020-04-07,787.744873046875
2020-04-08,787.0972900390625
2020-04-09,797.0604248046875
2020-04-13,796.661865234375
2020-04-15,790.185791015625
2020-04-16,785.1044921875
2020-04-17,789.0897827148438
2020-04-20,790.185791015625
2020-04-21,785.154296875
2020-04-22,790.434814453125
2020-04-23,797.1102905273438
2020-04-24,799.9000244140625
2020-04-27,799.1029052734375
2020-04-28,802.6897583007812
2020-04-29,806.1270141601562
2020-04-30,798.5052490234375
2020-05-04,788.043701171875
2020-05-05,791.780029296875
2020-05-06,792.5770263671875
2020-05-07,792.2283325195312
2020-05-08,795.2172241210938
2020-05-11,800.7967529296875
2020-05-12,803.0882568359375
2020-05-13,808.1696166992188
2020-05-14,814.09765625
2020-05-15,815.392822265625
2020-05-18,816.9371337890625
2020-05-19,815.7913208007812
2020-05-20,814.09765625
2020-05-21,809.6640014648438
2020-05-22,810.859619140625
2020-05-26,813.2009887695312
2020-05-27,821.9686279296875
2020-05-28,821.9188232421875
2020-05-29,814.2470703125
2020-06-01,820.9723510742188
2020-06-02,827.9465942382812
2020-06-03,834.123779296875
2020-06-04,833.3267211914062
2020-06-05,833.22705078125
2020-06-08,834.9208984375
2020-06-09,836.166259765625
2020-06-10,835.0703735351562
2020-06-11,836.4651489257812
2020-06-12,835.4688110351562
2020-06-15,836.415283203125
2020-06-16,836.2659301757812
2020-06-17,834.8212280273438
2020-06-18,834.6219482421875
2020-06-19,833.4263916015625
2020-06-22,835.568359375
2020-06-23,839.5538330078125
2020-06-24,838.8065185546875
2020-06-25,838.5574951171875
2020-06-26,836.9134521484375
2020-06-29,837.9097900390625
2020-06-30,837.16259765625
2020-07-01,837.0131225585938
2020-07-02,837.11279296875
2020-07-03,839.8527221679688
2020-07-06,846.627685546875
2020-07-07,848.3712158203125
2020-07-08,837.9596557617188
2020-07-09,841.0482177734375
2020-07-10,843.4891967773438
2020-07-13,846.926513671875
2020-07-14,847.1756591796875
2020-07-15,851.9081420898438
2020-07-16,852.2569580078125
2020-07-17,856.2422485351562
2020-07-20,858.982177734375
2020-07-21,865.1095581054688
2020-07-22,868.5966186523438
2020-07-23,878.061767578125
2020-07-24,886.0324096679688
2020-07-27,868.8457641601562
2020-07-28,880.353271484375
2020-07-29,884.1891479492188
2020-07-30,884.0894165039062
2020-07-31,893.5545654296875
2020-08-03,885.4844360351562
2020-08-04,882.5950317382812
2020-08-05,866.85302734375
2020-08-06,869.0947875976562
2020-08-07,878.061767578125
2020-08-10,922.6971435546875
2020-08-11,941.1790161132812
2020-08-12,904.1156616210938
2020-08-13,901.126708984375
2020-08-14,905.8591918945312
2020-08-17,920.6048583984375
2020-08-18,930.5183715820312
2020-08-19,995.8274536132812
2020-08-20,1055.75634765625
2020-08-21,1042.80419921875
2020-08-24,1043.3023681640625
2020-08-25,1016.451416015625
2020-08-26,1027.6600341796875
2020-08-27,1009.9752807617188
2020-08-28,950.8433227539062
2020-08-31,913.8796997070312
2020-09-01,903.8167724609375
2020-09-02,902.5714111328125
2020-09-03,915.8722534179688
2020-09-04,902.0233154296875
2020-09-07,907.901611328125
2020-09-08,904.4146118164062
2020-09-09,910.2929077148438
2020-09-10,914.8759765625
2020-09-11,920.3557739257812
2020-09-14,935.8486938476562
2020-09-15,955.675537109375
2020-09-16,953.583251953125
2020-09-17,945.1642456054688
2020-09-18,945.7621459960938
2020-09-21,923.0957641601562
2020-09-22,935.2507934570312
2020-09-23,948.5020141601562
2020-09-24,924.7894897460938
