Date,JSWINFRA
2023-10-03,156.17030334472656
2023-10-04,163.76536560058594
2023-10-05,162.62364196777344
2023-10-06,170.3676300048828
2023-10-09,161.6804656982422
2023-10-10,168.53089904785156
2023-10-11,171.459716796875
2023-10-12,170.91366577148438
2023-10-13,169.0272979736328
2023-10-16,166.64456176757812
2023-10-17,175.72882080078125
2023-10-18,173.8424835205078
2023-10-19,177.61517333984375
2023-10-20,174.83529663085938
2023-10-23,166.14813232421875
2023-10-25,164.46034240722656
2023-10-26,170.96328735351562
2023-10-27,174.9345703125
2023-10-30,168.53089904785156
2023-10-31,168.3323211669922
2023-11-01,166.9423828125
2023-11-02,170.51654052734375
2023-11-03,170.21868896484375
2023-11-06,186.94769287109375
2023-11-07,204.42127990722656
2023-11-08,200.89678955078125
2023-11-09,197.96795654296875
2023-11-10,195.58518981933594
2023-11-13,198.9607696533203
2023-11-15,196.42909240722656
2023-11-16,201.34353637695312
2023-11-17,207.79685974121094
2023-11-20,205.0666046142578
2023-11-21,205.76158142089844
2023-11-22,206.7047576904297
2023-11-23,204.42127990722656
2023-11-24,204.5205535888672
2023-11-28,206.9033203125
2023-11-29,209.2364501953125
2023-11-30,208.98825073242188
2023-12-01,218.27110290527344
2023-12-04,216.03726196289062
2023-12-05,225.4193878173828
2023-12-06,237.23391723632812
2023-12-07,234.503662109375
2023-12-08,226.7596893310547
2023-12-11,229.48992919921875
2023-12-12,236.24110412597656
2023-12-13,237.1346435546875
2023-12-14,234.503662109375
2023-12-15,229.9367218017578
2023-12-18,230.33383178710938
2023-12-19,223.185546875
2023-12-20,209.3357391357422
2023-12-21,212.76095581054688
2023-12-22,218.9164276123047
2023-12-26,219.31353759765625
2023-12-27,210.676025390625
2023-12-28,209.3357391357422
2023-12-29,206.80404663085938
2024-01-01,209.13717651367188
2024-01-02,208.7400360107422
2024-01-03,212.11561584472656
2024-01-04,212.76095581054688
2024-01-05,217.32791137695312
2024-01-08,214.74659729003906
2024-01-09,215.93797302246094
2024-01-10,213.6544952392578
2024-01-11,210.72567749023438
2024-01-12,209.48464965820312
2024-01-15,209.48464965820312
2024-01-16,210.824951171875
2024-01-17,206.45655822753906
2024-01-18,208.39254760742188
2024-01-19,210.22927856445312
2024-01-23,204.57020568847656
2024-01-24,206.20835876464844
2024-01-25,205.36447143554688
2024-01-29,210.32855224609375
2024-01-30,211.86741638183594
2024-01-31,213.45591735839844
2024-02-01,216.18617248535156
2024-02-02,222.8876953125
2024-02-05,220.15745544433594
2024-02-06,217.72503662109375
2024-02-07,216.53367614746094
