Date,ONGC
1996-01-01,5.059768199920654
1996-01-02,5.137518405914307
1996-01-03,5.083690643310547
1996-01-04,5.085188865661621
1996-01-05,5.08668327331543
1996-01-08,5.077712535858154
1996-01-09,5.083690643310547
1996-01-10,5.053788661956787
1996-01-11,5.053788661956787
1996-01-12,5.023883819580078
1996-01-15,5.05528450012207
1996-01-16,5.038835525512695
1996-01-17,5.083690643310547
1996-01-18,5.028369426727295
1996-01-19,5.083690643310547
1996-01-22,5.059768199920654
1996-01-23,5.023883819580078
1996-01-24,5.050796985626221
1996-01-25,4.964075088500977
1996-01-26,4.964075088500977
1996-01-29,4.999960899353027
1996-01-30,5.056779861450195
1996-01-31,5.05528450012207
1996-02-01,5.0747199058532715
1996-02-02,5.058273792266846
1996-02-05,5.058273792266846
1996-02-06,5.147985458374023
1996-02-07,5.143500328063965
1996-02-08,5.228725910186768
1996-02-09,5.741580486297607
1996-02-12,6.2080864906311035
1996-02-13,6.311254024505615
1996-02-14,6.463763236999512
1996-02-15,6.475727081298828
1996-02-16,6.010716915130615
1996-02-19,6.031651973724365
1996-02-20,6.130334377288818
1996-02-21,6.130334377288818
1996-02-22,6.130334377288818
1996-02-23,6.366578102111816
1996-02-26,6.76131010055542
1996-02-27,7.191929340362549
1996-02-28,7.159034252166748
1996-02-29,7.063344955444336
1996-03-01,7.076796531677246
1996-03-04,7.123148441314697
1996-03-05,7.123148441314697
1996-03-06,7.147075176239014
1996-03-07,7.117170333862305
1996-03-08,7.173986911773682
1996-03-11,7.117170333862305
1996-03-12,7.114179611206055
1996-03-13,7.060351371765137
1996-03-14,7.057362079620361
1996-03-15,7.091750621795654
1996-03-18,7.057362079620361
1996-03-19,6.927276611328125
1996-03-20,6.927276611328125
1996-03-21,6.937741756439209
1996-03-22,6.942229747772217
1996-03-25,6.967650890350342
1996-03-26,6.943724632263184
1996-03-27,6.877935886383057
1996-03-28,6.788225173950195
1996-03-29,6.369567394256592
1996-04-01,6.347140789031982
1996-04-02,6.43087100982666
1996-04-03,6.459280490875244
1996-04-04,6.42937707901001
1996-04-05,6.42937707901001
1996-04-08,6.557961463928223
1996-04-09,6.593847274780273
1996-04-10,6.578895092010498
1996-04-11,6.583381652832031
1996-04-12,6.662626266479492
1996-04-15,6.67907190322876
1996-04-16,6.746356010437012
1996-04-17,6.8181281089782715
1996-04-18,7.0244669914245605
1996-04-19,7.102219104766846
1996-04-22,7.156045436859131
1996-04-23,7.199406147003174
1996-04-24,7.36088752746582
1996-04-25,7.307058811187744
1996-04-26,7.414714813232422
1996-04-29,7.27864933013916
1996-04-30,7.416211128234863
1996-05-01,7.339953422546387
1996-05-02,7.392285346984863
1996-05-03,7.3115458488464355
1996-05-06,7.35341215133667
1996-05-07,7.3713555335998535
1996-05-08,7.498446464538574
1996-05-09,7.359393119812012
1996-05-10,7.3668694496154785
1996-05-13,7.368364334106445
1996-05-14,7.169496059417725
1996-05-15,7.009515285491943
1996-05-16,6.975125312805176
1996-05-17,6.922793865203857
1996-05-20,6.436851501464844
1996-05-21,6.641695976257324
