Date,GICRE
2017-10-25,355.2015380859375
2017-10-26,346.2027282714844
2017-10-27,339.1741943359375
2017-10-30,347.5433654785156
2017-10-31,350.18414306640625
2017-11-01,344.5166931152344
2017-11-02,340.37274169921875
2017-11-03,337.2241516113281
2017-11-06,332.2472839355469
2017-11-07,327.758056640625
2017-11-08,325.0360412597656
2017-11-09,321.5218200683594
2017-11-10,333.9739685058594
2017-11-13,329.83001708984375
2017-11-14,335.1114807128906
2017-11-15,324.9954833984375
2017-11-16,326.0923767089844
2017-11-17,322.4765625
2017-11-20,324.95477294921875
2017-11-21,323.59381103515625
2017-11-22,324.4063415527344
2017-11-23,322.65936279296875
2017-11-24,323.3094177246094
2017-11-27,319.8154602050781
2017-11-28,324.24383544921875
2017-11-29,325.60479736328125
2017-11-30,326.3360595703125
2017-12-01,323.776611328125
2017-12-04,323.3297119140625
2017-12-05,322.293701171875
2017-12-06,325.34075927734375
2017-12-07,326.0923767089844
2017-12-08,325.58453369140625
2017-12-11,321.66400146484375
2017-12-12,321.09521484375
2017-12-13,319.7138977050781
2017-12-14,316.44342041015625
2017-12-15,317.0528564453125
2017-12-18,317.702880859375
2017-12-19,317.8653869628906
2017-12-20,318.9623107910156
2017-12-21,317.13409423828125
2017-12-22,314.3714904785156
2017-12-26,316.70751953125
2017-12-27,310.9385070800781
2017-12-28,309.333740234375
2017-12-29,306.2054748535156
2018-01-01,310.6947326660156
2018-01-02,309.8822021484375
2018-01-03,311.1416015625
2018-01-04,311.933837890625
2018-01-05,310.5322265625
2018-01-08,313.6807556152344
2018-01-09,313.7214660644531
2018-01-10,313.19329833984375
2018-01-11,313.0104675292969
2018-01-12,325.7673034667969
2018-01-15,325.0157165527344
2018-01-16,324.9954833984375
2018-01-17,323.0047302246094
2018-01-18,322.090576171875
2018-01-19,318.007568359375
2018-01-22,318.84039306640625
2018-01-23,316.8903503417969
2018-01-24,314.919921875
2018-01-25,313.6401672363281
2018-01-29,311.50726318359375
2018-01-30,309.5775146484375
2018-01-31,307.4039306640625
2018-02-01,306.0226135253906
2018-02-02,296.312744140625
2018-02-05,306.6726379394531
2018-02-06,306.3882751464844
2018-02-07,310.7759704589844
2018-02-08,306.1851501464844
2018-02-09,302.7521667480469
2018-02-12,303.4225158691406
2018-02-14,317.13409423828125
2018-02-15,318.6373291015625
2018-02-16,313.0104675292969
2018-02-19,312.1776428222656
2018-02-20,307.1398620605469
2018-02-21,296.9831237792969
2018-02-22,295.21588134765625
2018-02-23,299.7864074707031
2018-02-26,298.42535400390625
2018-02-27,295.72369384765625
2018-02-28,292.9814147949219
2018-03-01,297.6737976074219
2018-03-05,294.4845886230469
2018-03-06,292.8391418457031
2018-03-07,286.3998107910156
2018-03-08,285.36383056640625
2018-03-09,285.5872802734375
2018-03-12,284.55126953125
2018-03-13,286.3185729980469
2018-03-14,284.53094482421875
2018-03-15,287.6592102050781
2018-03-16,284.8356628417969
2018-03-19,286.42010498046875
2018-03-20,286.4404296875
2018-03-21,286.4404296875
2018-03-22,286.4404296875
2018-03-23,284.38873291015625
2018-03-26,284.4090576171875
2018-03-27,286.5013732910156
2018-03-28,298.2425537109375
2018-04-02,300.47705078125
2018-04-03,303.361572265625
2018-04-04,299.66448974609375
2018-04-05,297.4096984863281
2018-04-06,299.35980224609375
2018-04-09,300.0098571777344
2018-04-10,298.770751953125
2018-04-11,296.4346618652344
2018-04-12,294.118896484375
2018-04-13,294.62677001953125
2018-04-16,298.3441467285156
2018-04-17,297.7347106933594
2018-04-18,299.075439453125
2018-04-19,295.9674377441406
2018-04-20,293.52984619140625
2018-04-23,288.9389953613281
2018-04-24,288.9389953613281
2018-04-25,290.2390441894531
2018-04-26,289.24371337890625
2018-04-27,289.2233581542969
2018-04-30,288.10614013671875
2018-05-02,285.9732666015625
2018-05-03,284.5716247558594
2018-05-04,282.84490966796875
2018-05-07,281.2605285644531
2018-05-08,282.7637023925781
2018-05-09,283.51531982421875
2018-05-10,280.8338928222656
2018-05-11,275.9992980957031
2018-05-14,274.08984375
2018-05-15,274.29296875
2018-05-16,280.32611083984375
2018-05-17,290.8281555175781
2018-05-18,286.0138854980469
2018-05-21,283.37310791015625
2018-05-22,281.8901672363281
2018-05-23,282.33709716796875
2018-05-24,278.7619323730469
2018-05-25,280.9354553222656
2018-05-28,295.78460693359375
2018-05-29,304.7022705078125
2018-05-30,303.5849609375
2018-05-31,294.3627014160156
2018-06-01,291.0516052246094
2018-06-04,287.3342590332031
2018-06-05,286.3794860839844
2018-06-06,285.3841552734375
2018-06-07,290.5843811035156
2018-06-08,295.82525634765625
2018-06-11,299.50201416015625
2018-06-12,297.592529296875
2018-06-13,295.1549377441406
2018-06-14,293.2251281738281
2018-06-15,292.1891784667969
2018-06-18,294.58612060546875
2018-06-19,292.90008544921875
2018-06-20,292.9814147949219
2018-06-21,294.017333984375
2018-06-22,292.77825927734375
2018-06-25,289.3858642578125
2018-06-26,293.9158020019531
2018-06-27,294.2408142089844
2018-06-28,292.08758544921875
2018-06-29,297.7347106933594
2018-07-02,298.6285705566406
2018-07-03,301.3911437988281
2018-07-04,305.3522644042969
2018-07-05,308.86651611328125
2018-07-06,310.67437744140625
2018-07-09,309.638427734375
2018-07-10,308.2165222167969
2018-07-11,310.4306335449219
2018-07-12,312.3258361816406
2018-07-13,312.4100341796875
2018-07-16,303.2710876464844
2018-07-17,299.0174560546875
2018-07-18,295.94305419921875
2018-07-19,291.31036376953125
2018-07-20,290.8891906738281
2018-07-23,287.6042785644531
2018-07-24,283.3506164550781
2018-07-25,277.8756103515625
2018-07-26,279.1812438964844
2018-07-27,281.3291015625
2018-07-30,317.1269226074219
2018-07-31,300.322998046875
2018-08-01,306.4296875
2018-08-02,306.7666320800781
2018-08-03,304.3239440917969
2018-08-06,305.2504577636719
2018-08-07,299.2701416015625
2018-08-08,292.95281982421875
2018-08-09,291.73150634765625
2018-08-10,289.2888488769531
2018-08-13,283.6875305175781
2018-08-14,282.6346435546875
2018-08-16,284.5298767089844
2018-08-17,283.2663269042969
2018-08-20,281.3711853027344
