Date,HCC
1996-01-01,2.1850152015686035
1996-01-02,2.1069788932800293
1996-01-03,2.067960262298584
1996-01-04,2.0016300678253174
1996-01-05,2.0172369480133057
1996-01-08,1.9528571367263794
1996-01-09,1.9704147577285767
1996-01-10,2.028942108154297
1996-01-11,2.0113842487335205
1996-01-12,2.0016300678253174
1996-01-15,1.9899241924285889
1996-01-16,2.028942108154297
1996-01-17,1.9996790885925293
1996-01-18,2.0035810470581055
1996-01-19,2.028942108154297
1996-01-22,2.0094330310821533
1996-01-23,2.0074822902679443
1996-01-24,1.9996790885925293
1996-01-25,1.991875171661377
1996-01-26,1.991875171661377
1996-01-29,1.9723659753799438
1996-01-30,2.028942108154297
1996-01-31,2.0484511852264404
1996-02-01,2.1167328357696533
1996-02-02,2.067960262298584
1996-02-05,2.2825605869293213
1996-02-06,2.165506362915039
1996-02-07,2.126487970352173
1996-02-08,2.1069788932800293
1996-02-09,2.165506362915039
1996-02-12,2.1947696208953857
1996-02-13,2.175260543823242
1996-02-14,2.3605966567993164
1996-02-15,2.413270950317383
1996-02-16,2.419123649597168
1996-02-19,2.3605966567993164
1996-02-20,2.302069664001465
1996-02-21,2.302069664001465
1996-02-22,2.5166687965393066
1996-02-23,2.419123649597168
1996-02-26,2.341087818145752
1996-02-27,2.380105495452881
1996-02-28,2.302069664001465
1996-02-29,2.302069664001465
1996-03-01,2.2571985721588135
1996-03-04,2.1440463066101074
1996-03-05,2.1440463066101074
1996-03-06,1.9509060382843018
1996-03-07,2.0152862071990967
1996-03-08,1.9723659753799438
1996-03-11,2.0094330310821533
1996-03-12,1.9938260316848755
1996-03-13,2.067960262298584
1996-03-14,2.067960262298584
1996-03-15,2.1128313541412354
1996-03-18,2.0094330310821533
1996-03-19,2.1459970474243164
1996-03-20,2.1459970474243164
1996-03-21,2.204524278640747
1996-03-22,2.208425760269165
1996-03-25,2.302069664001465
1996-03-26,2.1459970474243164
1996-03-27,2.2981674671173096
1996-03-28,2.4386327266693115
1996-03-29,2.4464364051818848
1996-04-01,2.4230258464813232
1996-04-02,2.380105495452881
1996-04-03,2.4015657901763916
1996-04-04,2.304020643234253
1996-04-05,2.304020643234253
1996-04-08,2.2923147678375244
1996-04-09,2.1947696208953857
1996-04-10,2.41717267036438
1996-04-11,2.415221691131592
1996-04-12,2.380105495452881
1996-04-15,2.3313329219818115
1996-04-16,2.204524278640747
1996-04-17,2.212327241897583
1996-04-18,2.1850152015686035
1996-04-19,2.1069788932800293
1996-04-22,2.0874693393707275
1996-04-23,2.10892915725708
1996-04-24,2.251345157623291
1996-04-25,2.0738134384155273
1996-04-26,2.0874693393707275
1996-04-29,2.126487970352173
1996-04-30,2.165506362915039
1996-05-01,2.124537229537964
1996-05-02,2.103076934814453
1996-05-03,2.1069788932800293
1996-05-06,2.1459970474243164
1996-05-07,2.132340669631958
1996-05-08,2.1850152015686035
1996-05-09,2.1850152015686035
1996-05-10,2.1850152015686035
1996-05-13,2.1069788932800293
1996-05-14,2.0484511852264404
1996-05-15,2.1069788932800293
1996-05-16,2.0874693393707275
1996-05-17,2.067960262298584
1996-05-20,2.1459970474243164
1996-05-21,2.097223997116089
1996-05-22,2.09527325630188
1996-05-23,2.0660102367401123
1996-05-24,2.060157060623169
1996-05-27,2.05820631980896
1996-05-28,2.0913712978363037
1996-05-29,2.1069788932800293
1996-05-30,2.0738134384155273
1996-05-31,2.1850152015686035
1996-06-03,2.202573537826538
1996-06-04,2.1850152015686035
1996-06-05,2.1459970474243164
1996-06-06,2.1557517051696777
1996-06-07,2.1498982906341553
1996-06-10,2.0386970043182373
1996-06-11,1.9138386249542236
1996-06-12,1.9821209907531738
1996-06-13,2.0074822902679443
1996-06-14,1.9509060382843018
1996-06-17,1.9684641361236572
1996-06-18,2.1459970474243164
1996-06-19,2.1479475498199463
1996-06-20,2.1459970474243164
1996-06-21,2.0933220386505127
1996-06-24,2.028942108154297
1996-06-25,1.8962806463241577
1996-06-26,1.9333477020263672
1996-06-27,1.948954701423645
1996-06-28,1.8923789262771606
1996-07-01,1.8748207092285156
1996-07-02,1.7304534912109375
1996-07-03,1.7636195421218872
1996-07-04,1.6387611627578735
1996-07-05,1.6231542825698853
1996-07-08,1.6192524433135986
