Date,POLYCAB
2019-04-16,626.2556762695312
2019-04-18,615.4961547851562
2019-04-22,600.7195434570312
2019-04-23,606.4581298828125
2019-04-24,609.7098388671875
2019-04-25,611.7183227539062
2019-04-26,616.5482177734375
2019-04-30,611.383544921875
2019-05-02,613.2965087890625
2019-05-03,613.8702392578125
2019-05-06,614.6832275390625
2019-05-07,620.3259887695312
2019-05-08,617.83935546875
2019-05-09,617.5523681640625
2019-05-10,626.5905151367188
2019-05-13,626.351318359375
2019-05-14,606.1234741210938
2019-05-15,593.5944213867188
2019-05-16,573.222900390625
2019-05-17,569.7321166992188
2019-05-20,578.4830932617188
2019-05-21,578.6743774414062
2019-05-22,583.1696166992188
2019-05-23,575.6618041992188
2019-05-24,578.77001953125
2019-05-27,593.1640625
2019-05-28,598.4721069335938
2019-05-29,592.9249267578125
2019-05-30,591.9207153320312
2019-05-31,584.2216186523438
2019-06-03,581.4002075195312
2019-06-04,583.9825439453125
2019-06-06,578.0527954101562
2019-06-07,575.8052978515625
2019-06-10,576.2356567382812
2019-06-11,574.5618286132812
2019-06-12,569.9712524414062
2019-06-13,568.53662109375
2019-06-14,570.0189819335938
2019-06-17,563.0851440429688
2019-06-18,566.3533935546875
2019-06-19,562.9888916015625
2019-06-20,567.074462890625
2019-06-21,569.4296875
2019-06-24,573.226806640625
2019-06-25,578.1295166015625
2019-06-26,588.1749877929688
2019-06-27,589.713134765625
2019-06-28,597.9804077148438
2019-07-01,618.4562377929688
2019-07-02,611.1983032226562
2019-07-03,619.465576171875
2019-07-04,622.1572265625
2019-07-05,596.1539306640625
2019-07-08,577.64892578125
2019-07-09,587.7425537109375
2019-07-10,590.1939697265625
2019-07-11,594.2313232421875
2019-07-12,593.221923828125
2019-07-15,591.6838989257812
2019-07-16,598.1246337890625
2019-07-17,602.546630859375
2019-07-18,600.2395629882812
2019-07-19,590.4822387695312
2019-07-22,574.9571533203125
2019-07-23,580.5327758789062
2019-07-24,565.15185546875
2019-07-25,565.15185546875
2019-07-26,565.5362548828125
2019-07-29,584.47412109375
2019-07-30,549.0980834960938
2019-07-31,538.7159423828125
2019-08-01,542.6092529296875
2019-08-02,535.49560546875
2019-08-05,530.0160522460938
2019-08-06,548.7134399414062
2019-08-07,545.2528686523438
2019-08-08,542.8495483398438
2019-08-09,551.98193359375
2019-08-13,542.9456176757812
2019-08-14,548.2808227539062
2019-08-16,545.5892333984375
2019-08-19,540.6385498046875
2019-08-20,535.1591796875
2019-08-21,525.113525390625
2019-08-22,515.019775390625
2019-08-23,519.3455200195312
2019-08-26,543.6185302734375
2019-08-27,562.1237182617188
2019-08-28,549.0018310546875
2019-08-29,570.6793823242188
2019-08-30,590.9629516601562
2019-09-03,569.1412353515625
2019-09-04,580.1481323242188
2019-09-05,580.9652099609375
2019-09-06,584.2817993164062
2019-09-09,596.3461303710938
2019-09-11,597.3555908203125
2019-09-12,598.9417114257812
2019-09-13,608.0260620117188
2019-09-16,611.1022338867188
2019-09-17,607.0647583007812
2019-09-18,608.6510009765625
2019-09-19,596.9710083007812
2019-09-20,617.3988037109375
2019-09-23,663.926025390625
2019-09-24,659.0233764648438
2019-09-25,653.8804321289062
2019-09-26,669.3572387695312
2019-09-27,672.0490112304688
2019-09-30,658.9273071289062
2019-10-01,650.4677124023438
2019-10-03,649.02587890625
2019-10-04,641.6718139648438
2019-10-07,646.141845703125
2019-10-09,641.3834228515625
2019-10-10,636.5287475585938
2019-10-11,640.0856323242188
2019-10-14,646.141845703125
2019-10-15,677.5285034179688
2019-10-16,690.6983642578125
2019-10-17,691.4673461914062
2019-10-18,695.60107421875
2019-10-22,721.4600830078125
2019-10-23,750.9241943359375
2019-10-24,794.759765625
2019-10-25,786.0119018554688
2019-10-27,794.904052734375
2019-10-29,793.2217407226562
2019-10-30,835.4230346679688
2019-10-31,822.3972778320312
2019-11-01,821.820556640625
2019-11-04,818.4078979492188
2019-11-05,826.5789184570312
2019-11-06,821.291748046875
2019-11-07,820.3305053710938
2019-11-08,854.9375
2019-11-11,847.34326171875
2019-11-13,854.1685180664062
2019-11-14,861.3302001953125
2019-11-15,862.8683471679688
2019-11-18,896.946533203125
2019-11-19,895.4566040039062
2019-11-20,899.63818359375
2019-11-21,912.7120361328125
2019-11-22,900.551513671875
2019-11-25,902.0414428710938
2019-11-26,893.0532836914062
2019-11-27,895.3604736328125
2019-11-28,886.708740234375
2019-11-29,888.487060546875
2019-12-02,888.487060546875
2019-12-03,933.2359008789062
2019-12-04,954.0482177734375
2019-12-05,996.970458984375
2019-12-06,974.7162475585938
2019-12-09,955.8265991210938
2019-12-10,930.8807983398438
2019-12-11,957.3165893554688
2019-12-12,952.173583984375
2019-12-13,943.4738159179688
2019-12-16,926.7470092773438
2019-12-17,937.4176635742188
2019-12-18,926.458740234375
2019-12-19,918.8163452148438
2019-12-20,934.8220825195312
2019-12-23,916.797607421875
2019-12-24,909.4435424804688
2019-12-26,923.2383422851562
2019-12-27,928.333251953125
2019-12-30,951.45263671875
2019-12-31,953.8558349609375
2020-01-01,955.4420776367188
2020-01-02,939.2440795898438
2020-01-03,944.2428588867188
2020-01-06,923.4306030273438
2020-01-07,922.613525390625
2020-01-08,930.59228515625
2020-01-09,934.1491088867188
2020-01-10,989.4242553710938
2020-01-13,1028.6456298828125
2020-01-14,1007.7371826171875
2020-01-15,1041.334716796875
2020-01-16,1069.5489501953125
2020-01-17,1065.65576171875
2020-01-20,1085.4586181640625
2020-01-21,1040.8541259765625
2020-01-22,955.8265991210938
2020-01-23,965.007080078125
2020-01-24,980.387939453125
2020-01-27,959.287353515625
2020-01-28,956.018798828125
2020-01-29,951.02001953125
2020-01-30,937.8982543945312
2020-01-31,946.4539184570312
2020-02-03,948.6168823242188
2020-02-04,961.1137084960938
2020-02-05,971.3035888671875
2020-02-06,1016.1005249023438
2020-02-07,1017.302001953125
2020-02-10,998.3162231445312
2020-02-11,1002.2097778320312
2020-02-12,1024.415771484375
2020-02-13,1039.94091796875
2020-02-14,1036.43212890625
2020-02-17,1011.245849609375
2020-02-18,1027.4918212890625
2020-02-19,1036.0474853515625
2020-02-20,1094.0623779296875
2020-02-24,1046.4296875
2020-02-25,1068.5877685546875
2020-02-26,1094.9276123046875
2020-02-27,1118.431396484375
2020-02-28,1021.579833984375
2020-03-02,1016.5812377929688
2020-03-03,1010.2365112304688
2020-03-04,1006.054931640625
2020-03-05,1011.342041015625
2020-03-06,990.8662109375
2020-03-09,971.4478149414062
2020-03-11,966.1607055664062
2020-03-12,847.2842407226562
2020-03-13,899.6072998046875
2020-03-16,795.3484497070312
2020-03-17,807.3038940429688
2020-03-18,757.8850708007812
2020-03-19,732.231689453125
2020-03-20,747.2849731445312
2020-03-23,597.8665771484375
2020-03-24,561.1292114257812
2020-03-25,617.2276000976562
2020-03-26,678.9407348632812
2020-03-27,717.4690551757812
2020-03-30,716.11376953125
2020-03-31,718.3402709960938
2020-04-01,711.2734985351562
2020-04-03,712.9192504882812
2020-04-07,744.4291381835938
2020-04-08,736.4428100585938
2020-04-09,735.42626953125
2020-04-13,713.6452026367188
2020-04-15,713.9356079101562
2020-04-16,705.755615234375
2020-04-17,706.6268920898438
2020-04-20,736.1039428710938
2020-04-21,726.32666015625
2020-04-22,708.9986572265625
2020-04-23,719.5502319335938
2020-04-24,696.704345703125
2020-04-27,685.5234375
2020-04-28,681.7963256835938
2020-04-29,667.953369140625
2020-04-30,700.4797973632812
2020-05-04,669.7926635742188
2020-05-05,654.6910400390625
2020-05-06,655.3687133789062
2020-05-07,653.577880859375
2020-05-08,652.5613403320312
2020-05-11,652.6098022460938
2020-05-12,646.9950561523438
2020-05-13,679.3279418945312
2020-05-14,686.9754638671875
2020-05-15,669.6958618164062
2020-05-18,641.6223754882812
2020-05-19,637.0726928710938
2020-05-20,632.813232421875
2020-05-21,618.1956787109375
2020-05-22,607.2567138671875
2020-05-26,613.4037475585938
2020-05-27,621.6806030273438
2020-05-28,629.0377807617188
2020-05-29,657.6920776367188
2020-06-01,690.5571899414062
2020-06-02,725.0682373046875
2020-06-03,730.3440551757812
2020-06-04,742.735107421875
2020-06-05,748.4949340820312
2020-06-08,776.7135009765625
2020-06-09,750.0437622070312
2020-06-10,738.9596557617188
2020-06-11,717.9530639648438
2020-06-12,722.4061279296875
2020-06-15,719.7439575195312
2020-06-16,725.4554443359375
2020-06-17,739.3952026367188
2020-06-18,734.6519165039062
2020-06-19,775.600341796875
2020-06-22,780.0049438476562
2020-06-23,802.1732788085938
2020-06-24,774.3418579101562
2020-06-25,772.4541625976562
2020-06-26,757.1105346679688
2020-06-29,744.86474609375
2020-06-30,764.08056640625
2020-07-01,772.163818359375
2020-07-02,814.37060546875
2020-07-03,818.0008544921875
2020-07-06,817.3232421875
2020-07-07,809.3367309570312
2020-07-08,821.2437744140625
2020-07-09,819.404541015625
2020-07-10,810.8372802734375
2020-07-13,793.3156127929688
2020-07-14,782.9090576171875
2020-07-15,790.1209716796875
2020-07-16,786.5877075195312
2020-07-17,796.1713256835938
2020-07-20,815.677490234375
2020-07-21,822.5022583007812
2020-07-22,797.8653564453125
2020-07-23,807.93310546875
2020-07-24,793.1702880859375
2020-07-27,778.5528564453125
2020-07-28,778.9400634765625
2020-07-29,791.2343139648438
2020-07-30,782.9573974609375
2020-07-31,794.0900268554688
2020-08-03,802.8507690429688
2020-08-04,813.2573852539062
2020-08-05,817.3232421875
2020-08-06,809.5303955078125
2020-08-07,815.5322265625
2020-08-10,829.617431640625
2020-08-11,819.452880859375
2020-08-12,813.1605834960938
2020-08-13,822.5022583007812
2020-08-14,848.4459228515625
2020-08-17,871.0498657226562
2020-08-18,866.3065185546875
2020-08-19,877.9714965820312
2020-08-20,870.7109985351562
2020-08-21,868.2909545898438
2020-08-24,858.6588745117188
2020-08-25,841.7664184570312
2020-08-26,889.7816162109375
2020-08-27,884.1185302734375
2020-08-28,871.4854125976562
2020-08-31,864.3218994140625
2020-09-01,854.205810546875
2020-09-02,853.3829345703125
2020-09-03,842.879638671875
2020-09-04,837.9910278320312
2020-09-07,822.0667114257812
2020-09-08,815.2902221679688
2020-09-09,803.6253662109375
2020-09-10,814.2738037109375
2020-09-11,820.0822143554688
2020-09-14,859.9656982421875
2020-09-15,868.3876953125
2020-09-16,860.9821166992188
2020-09-17,854.3994140625
2020-09-18,851.5921020507812
2020-09-21,820.2272338867188
2020-09-22,785.813232421875
2020-09-23,800.575927734375
2020-09-24,789.5402221679688
2020-09-25,802.0279541015625
2020-09-28,812.3861083984375
2020-09-29,804.2061157226562
2020-09-30,793.7028198242188
2020-10-01,793.9448852539062
2020-10-05,797.38134765625
2020-10-06,800.575927734375
2020-10-07,799.0755004882812
2020-10-08,787.5072631835938
