Date,GRSE
2018-10-24,67.99479675292969
2018-10-25,65.90579223632812
2018-10-26,67.09365844726562
2018-10-29,67.42137145996094
2018-10-30,68.9369125366211
2018-10-31,74.46659851074219
2018-11-01,73.23778533935547
2018-11-02,73.6883316040039
2018-11-05,73.5654525756836
2018-11-06,73.64740753173828
2018-11-07,74.05699920654297
2018-11-09,74.38467407226562
2018-11-12,74.26181030273438
2018-11-13,74.22084045410156
2018-11-14,74.38467407226562
2018-11-15,73.5654525756836
2018-11-16,73.36066436767578
2018-11-19,75.53158569335938
2018-11-20,74.46659851074219
2018-11-21,76.80134582519531
2018-11-22,77.8663558959961
2018-11-26,79.99629974365234
2018-11-27,80.0372543334961
2018-11-28,82.45394897460938
2018-11-29,82.20816040039062
2018-11-30,82.41297149658203
2018-12-03,79.01322937011719
2018-12-04,79.1771011352539
2018-12-05,76.92424774169922
2018-12-06,75.36772918701172
2018-12-07,78.23497772216797
2018-12-10,76.39176940917969
2018-12-11,77.82538604736328
2018-12-12,77.90731048583984
2018-12-13,77.33385467529297
2018-12-14,77.8663558959961
2018-12-17,78.3169174194336
2018-12-18,77.4976806640625
2018-12-19,78.0711441040039
2018-12-20,78.11209869384766
2018-12-21,77.5796127319336
2018-12-24,77.8663558959961
2018-12-26,77.37480926513672
2018-12-27,76.35079956054688
2018-12-28,76.55558776855469
2018-12-31,75.98214721679688
2019-01-01,75.73640441894531
2019-01-02,76.47367095947266
2019-01-03,76.71943664550781
2019-01-04,75.73640441894531
2019-01-07,78.19402313232422
2019-01-08,77.7024917602539
2019-01-09,76.96520233154297
2019-01-10,76.14598083496094
2019-01-11,76.43273162841797
2019-01-14,75.77734375
2019-01-15,77.45672607421875
2019-01-16,77.2519302368164
2019-01-17,76.67847442626953
2019-01-18,76.55558776855469
2019-01-21,76.26887512207031
2019-01-22,75.3267593383789
2019-01-23,74.46659851074219
2019-01-24,73.15585327148438
2019-01-25,72.70529174804688
2019-01-28,69.71515655517578
2019-01-29,68.81401824951172
2019-01-30,69.18266296386719
2019-01-31,69.18266296386719
2019-02-01,71.51744079589844
2019-02-04,69.42842102050781
2019-02-05,68.07672882080078
2019-02-06,66.68405151367188
2019-02-07,66.60214233398438
2019-02-08,67.54422760009766
2019-02-11,68.36344146728516
2019-02-12,68.81401824951172
2019-02-14,68.1996078491211
2019-02-15,67.50328063964844
2019-02-18,66.84790802001953
2019-02-19,66.56116485595703
2019-02-20,66.47925567626953
2019-02-21,66.7659912109375
2019-02-22,69.46939849853516
2019-02-25,69.05978393554688
2019-02-26,68.56825256347656
2019-02-27,69.38746643066406
2019-02-28,69.8380355834961
2019-03-01,79.66860961914062
2019-03-05,79.54573822021484
2019-03-06,78.3169174194336
2019-03-07,77.17001342773438
2019-03-08,77.7024917602539
2019-03-11,82.53585815429688
2019-03-12,83.3550796508789
2019-03-13,85.11638641357422
2019-03-14,83.8875732421875
2019-03-15,82.41297149658203
2019-03-18,80.11918640136719
2019-03-19,81.51184844970703
