Date,ACMESOLAR
2024-11-13,252.6852569580078
2024-11-14,228.4298858642578
2024-11-18,251.2379150390625
2024-11-19,263.6650390625
2024-11-21,238.5612335205078
2024-11-22,245.1990203857422
2024-11-25,257.5263671875
2024-11-26,252.53553771972656
2024-11-27,258.9737243652344
2024-11-28,278.587646484375
2024-11-29,273.7964172363281
2024-12-02,260.02178955078125
2024-12-03,280.3843078613281
2024-12-04,277.8888854980469
2024-12-05,272.84820556640625
2024-12-06,275.09405517578125
2024-12-09,277.38983154296875
2024-12-10,270.6023254394531
2024-12-11,267.65771484375
2024-12-12,271.10137939453125
2024-12-13,267.50799560546875
2024-12-16,263.61517333984375
2024-12-17,257.57623291015625
2024-12-18,250.23976135253906
2024-12-19,238.3616180419922
2024-12-20,232.5223388671875
2024-12-23,229.67758178710938
2024-12-24,235.96600341796875
2024-12-26,239.1102294921875
2024-12-27,239.01040649414062
2024-12-30,231.52418518066406
2024-12-31,235.21737670898438
2025-01-01,234.22921752929688
2025-01-02,235.34715270996094
2025-01-03,239.8887939453125
2025-01-06,227.9507598876953
2025-01-07,232.61216735839844
2025-01-08,229.52784729003906
2025-01-09,237.66290283203125
2025-01-10,230.30641174316406
2025-01-13,221.93182373046875
2025-01-14,226.8727264404297
2025-01-15,221.93182373046875
2025-01-16,227.8609161376953
2025-01-17,220.99354553222656
2025-01-20,213.6171112060547
2025-01-21,212.12985229492188
2025-01-22,212.030029296875
2025-01-23,208.81594848632812
2025-01-24,199.26351928710938
2025-01-27,180.4780731201172
2025-01-28,173.5308380126953
2025-01-29,190.87893676757812
2025-01-30,209.96385192871094
2025-01-31,214.75502014160156
2025-02-01,217.66966247558594
2025-02-03,206.92941284179688
2025-02-04,207.34864807128906
2025-02-05,227.4416961669922
2025-02-06,241.4359588623047
2025-02-07,233.7201385498047
2025-02-10,214.57534790039062
2025-02-11,203.5556182861328
2025-02-12,194.75181579589844
2025-02-13,184.86000061035156
2025-02-14,180.71763610839844
2025-02-17,177.3438262939453
2025-02-18,181.34645080566406
2025-02-19,190.4097900390625
2025-02-20,199.9222869873047
2025-02-21,195.05126953125
2025-02-24,192.88525390625
2025-02-25,193.48414611816406
2025-02-27,194.093017578125
2025-02-28,192.74549865722656
2025-03-03,187.04598999023438
2025-03-04,190.97874450683594
2025-03-05,200.52120971679688
2025-03-06,202.46762084960938
2025-03-07,207.9176025390625
2025-03-10,210.7623748779297
2025-03-11,200.31158447265625
2025-03-12,197.047607421875
2025-03-13,200.7008819580078
2025-03-17,196.19915771484375
2025-03-18,196.19915771484375
2025-03-19,204.51385498046875
2025-03-20,199.57293701171875
2025-03-21,201.88868713378906
2025-03-24,198.7444610595703
2025-03-25,195.85977172851562
2025-03-26,190.12033081054688
2025-03-27,194.94146728515625
2025-03-28,191.6275634765625
2025-04-01,191.48780822753906
2025-04-02,191.74734497070312
2025-04-03,201.3297119140625
2025-04-04,191.46786499023438
2025-04-07,190.99871826171875
2025-04-08,194.47232055664062
2025-04-09,195.1211395263672
2025-04-11,196.72817993164062
2025-04-15,206.29058837890625
2025-04-16,204.34417724609375
2025-04-17,203.18630981445312
2025-04-21,207.86769104003906
2025-04-22,216.0426483154297
2025-04-23,222.7802734375
2025-04-24,221.95179748535156
2025-04-25,211.88031005859375
2025-04-28,210.11355590820312
2025-04-29,212.0200653076172
2025-04-30,208.825927734375
2025-05-02,214.6707763671875
2025-05-05,221.48477172851562
2025-05-06,212.16299438476562
2025-05-07,216.14947509765625
2025-05-08,214.9405517578125
2025-05-09,212.2129364013672
2025-05-12,221.05516052246094
2025-05-13,220.8453369140625
2025-05-14,237.5706024169922
2025-05-15,235.30259704589844
2025-05-16,233.913818359375
2025-05-19,246.4527587890625
2025-05-20,237.41073608398438
2025-05-21,243.54531860351562
2025-05-22,252.427490234375
2025-05-23,250.53915405273438
2025-05-26,246.8124542236328
2025-05-27,245.87327575683594
2025-05-28,253.746337890625
2025-05-29,257.3731384277344
2025-05-30,263.3179016113281
2025-06-02,257.72283935546875
2025-06-03,251.0786895751953
2025-06-04,253.47657775878906
2025-06-05,253.5265350341797
2025-06-06,250.62908935546875
2025-06-09,247.8815155029297
2025-06-10,252.427490234375
2025-06-11,252.87710571289062
2025-06-12,243.7351531982422
2025-06-13,244.9840545654297
2025-06-16,243.18563842773438
2025-06-17,248.7307586669922
2025-06-18,253.5265350341797
2025-06-19,245.5835418701172
2025-06-20,247.43190002441406
2025-06-23,245.3837127685547
2025-06-24,248.88063049316406
2025-06-25,247.98141479492188
2025-06-26,246.2829132080078
2025-06-27,248.93057250976562
2025-06-30,248.98052978515625
2025-07-01,248.5209503173828
2025-07-02,249.79981994628906
2025-07-03,249.4801025390625
2025-07-04,249.3502197265625
2025-07-07,254.38577270507812
2025-07-08,258.10247802734375
2025-07-09,262.71844482421875
2025-07-10,286.8271789550781
2025-07-11,295.1298828125
2025-07-14,291.21331787109375
2025-07-15,282.39111328125
2025-07-16,279.11395263671875
2025-07-17,278.2947082519531
2025-07-18,275.29736328125
2025-07-21,286.01788330078125
2025-07-22,283.58001708984375
2025-07-23,285.9379577636719
2025-07-24,279.8133544921875
2025-07-25,270.21185302734375
