Date,CEATLTD
2008-02-01,136.5782012939453
2008-02-04,144.8785858154297
2008-02-05,145.0671844482422
2008-02-06,140.76614379882812
2008-02-07,132.5789794921875
2008-02-08,121.75080871582031
2008-02-11,105.64060974121094
2008-02-12,108.01751708984375
2008-02-13,102.1318359375
2008-02-14,106.73474884033203
2008-02-15,110.65852355957031
2008-02-18,113.14862060546875
2008-02-19,110.28124237060547
2008-02-20,108.01751708984375
2008-02-21,109.4134750366211
2008-02-22,109.3757553100586
2008-02-25,110.62080383300781
2008-02-26,109.63987731933594
2008-02-27,108.43254852294922
2008-02-28,107.37614440917969
2008-02-29,105.2255859375
2008-03-03,99.83039093017578
2008-03-04,96.20841217041016
2008-03-05,94.0956039428711
2008-03-07,94.62379455566406
2008-03-10,106.47064971923828
2008-03-11,105.64060974121094
2008-03-12,99.33989715576172
2008-03-13,91.34138488769531
2008-03-14,87.3421401977539
2008-03-17,79.83411407470703
2008-03-18,75.6839599609375
2008-03-19,73.23157501220703
2008-03-24,73.91071319580078
2008-03-25,72.02424621582031
2008-03-26,71.72242736816406
2008-03-27,72.21289825439453
2008-03-28,76.85356140136719
2008-03-31,82.43740844726562
2008-04-01,79.7209243774414
2008-04-02,77.90995025634766
2008-04-03,75.6839599609375
2008-04-04,74.89164733886719
2008-04-07,74.6652603149414
2008-04-08,73.42021942138672
2008-04-09,78.8908920288086
2008-04-10,75.98576354980469
2008-04-11,77.8344955444336
2008-04-15,78.36268615722656
2008-04-16,93.98241424560547
2008-04-17,90.17180633544922
2008-04-21,94.54833984375
2008-04-22,94.02013397216797
2008-04-23,94.20878601074219
2008-04-24,91.86959838867188
2008-04-25,92.81282043457031
2008-04-28,100.81133270263672
2008-04-29,105.1501235961914
2008-04-30,102.39594268798828
2008-05-02,102.39594268798828
2008-05-05,102.47137451171875
2008-05-06,102.1318359375
2008-05-07,102.01863098144531
2008-05-08,101.3017807006836
2008-05-09,97.41573333740234
2008-05-12,92.47327423095703
2008-05-13,92.02052307128906
2008-05-14,90.96410369873047
2008-05-15,90.3604507446289
2008-05-16,89.15312194824219
2008-05-20,89.41722869873047
2008-05-21,88.88902282714844
2008-05-22,86.39894104003906
2008-05-23,82.77696228027344
2008-05-26,79.6454849243164
2008-05-27,76.8158187866211
2008-05-28,75.04255676269531
2008-05-29,74.21253204345703
2008-05-30,72.62792205810547
2008-06-02,71.64697265625
2008-06-03,70.81693267822266
2008-06-04,69.19459533691406
2008-06-05,69.60961151123047
2008-06-06,73.11839294433594
2008-06-09,69.0813980102539
2008-06-10,68.40229034423828
2008-06-11,68.25138854980469
2008-06-12,66.89315032958984
2008-06-13,65.30854034423828
2008-06-16,65.38398742675781
2008-06-17,65.6480941772461
2008-06-18,66.02537536621094
2008-06-19,65.04442596435547
2008-06-20,64.2143783569336
2008-06-23,61.76203536987305
2008-06-24,60.81880569458008
2008-06-25,59.573768615722656
2008-06-26,59.498294830322266
2008-06-27,59.309661865234375
2008-06-30,59.00782775878906
2008-07-01,54.85765838623047
2008-07-02,56.102718353271484
2008-07-03,53.763526916503906
2008-07-04,54.36719512939453
2008-07-07,57.19684600830078
2008-07-08,57.23457717895508
2008-07-09,62.61151885986328
2008-07-10,64.64281463623047
2008-07-11,62.61151885986328
2008-07-14,60.540409088134766
2008-07-15,57.672698974609375
2008-07-16,58.27013397216797
2008-07-17,58.34979248046875
2008-07-18,59.863311767578125
2008-07-21,59.34552001953125
2008-07-22,59.18620300292969
2008-07-23,61.93442153930664
2008-07-24,61.257320404052734
2008-07-25,60.102272033691406
2008-07-28,57.712528228759766
2008-07-29,56.23883819580078
2008-07-30,56.47781753540039
2008-07-31,56.358333587646484
2008-08-01,58.82774353027344
2008-08-04,59.82346725463867
2008-08-05,62.014076232910156
2008-08-06,62.292877197265625
2008-08-07,61.9742546081543
2008-08-08,63.6868896484375
