Date,FORTIS
2007-05-09,99.41753387451172
2007-05-10,100.90656280517578
2007-05-11,99.76497650146484
2007-05-14,100.16205596923828
2007-05-15,96.98545837402344
2007-05-16,96.4394760131836
2007-05-17,96.48910522460938
2007-05-18,94.30520629882812
2007-05-21,89.689208984375
2007-05-22,91.62495422363281
2007-05-23,90.63226318359375
2007-05-24,91.22787475585938
2007-05-25,91.17823791503906
2007-05-28,92.41909790039062
2007-05-29,91.5753173828125
2007-05-30,87.8031005859375
2007-05-31,87.00895690917969
2007-06-01,87.15786743164062
2007-06-04,92.31982421875
2007-06-05,91.42639923095703
2007-06-06,89.5899429321289
2007-06-07,89.04395294189453
2007-06-08,88.00164794921875
2007-06-11,88.00164794921875
2007-06-12,88.44835662841797
2007-06-13,87.30675506591797
2007-06-14,87.90238189697266
2007-06-15,86.56224060058594
2007-06-18,85.8177261352539
2007-06-19,85.37103271484375
2007-06-20,85.27175903320312
2007-06-21,85.61919403076172
2007-06-22,84.92431640625
2007-06-25,84.57687377929688
2007-06-26,84.08052825927734
2007-06-27,83.48491668701172
2007-06-28,81.6484603881836
2007-06-29,82.04552459716797
2007-07-02,82.04552459716797
2007-07-03,81.69808959960938
2007-07-04,81.59881591796875
2007-07-05,81.15210723876953
2007-07-06,81.00320434570312
2007-07-09,81.20174407958984
2007-07-10,80.65576171875
2007-07-11,83.73308563232422
2007-07-12,90.4337158203125
2007-07-13,91.42639923095703
2007-07-16,92.27018737792969
2007-07-17,91.9723892211914
2007-07-18,89.34176635742188
2007-07-19,90.93006896972656
2007-07-20,88.24980926513672
2007-07-23,88.24980926513672
2007-07-24,87.40603637695312
2007-07-25,85.86736297607422
2007-07-26,93.36215209960938
2007-07-27,90.3344497680664
2007-07-30,88.7957992553711
2007-07-31,92.56800079345703
2007-08-01,86.61187744140625
2007-08-02,87.50530242919922
2007-08-03,88.49798583984375
2007-08-06,89.5899429321289
2007-08-07,89.34176635742188
2007-08-08,89.73883819580078
2007-08-09,88.7957992553711
2007-08-10,87.9520034790039
2007-08-13,89.34176635742188
2007-08-14,89.24250030517578
2007-08-16,86.01627349853516
