Date,MIDHANI
2018-04-04,81.67353057861328
2018-04-05,80.94793701171875
2018-04-06,81.67353057861328
2018-04-09,81.628173828125
2018-04-10,81.71887969970703
2018-04-11,83.26073455810547
2018-04-12,84.34911346435547
2018-04-13,100.76544952392578
2018-04-16,120.90039825439453
2018-04-17,126.79576110839844
2018-04-18,139.44815063476562
2018-04-19,153.3702850341797
2018-04-20,154.64004516601562
2018-04-23,147.15745544433594
2018-04-24,139.94696044921875
2018-04-25,144.7086181640625
2018-04-26,139.8109588623047
2018-04-27,132.8271942138672
2018-04-30,139.44815063476562
2018-05-02,140.99000549316406
2018-05-03,137.0446319580078
2018-05-04,130.7410888671875
2018-05-07,129.01785278320312
2018-05-08,123.30390167236328
2018-05-09,125.25390625
2018-05-10,124.80039978027344
2018-05-11,125.48065948486328
2018-05-14,119.22248840332031
2018-05-15,122.75969696044922
2018-05-16,127.02251434326172
2018-05-17,132.78182983398438
2018-05-18,127.06785583496094
2018-05-21,127.29460144042969
2018-05-22,127.7027816772461
2018-05-23,124.0748291015625
2018-05-24,124.02947998046875
2018-05-25,128.06553649902344
2018-05-28,127.83879852294922
2018-05-29,125.70741271972656
2018-05-30,123.71202850341797
2018-05-31,129.87950134277344
2018-06-01,129.83413696289062
2018-06-04,127.65742492675781
2018-06-05,121.30854034423828
2018-06-06,127.33997344970703
2018-06-07,133.6887969970703
2018-06-08,129.5620880126953
2018-06-11,127.33997344970703
2018-06-12,124.34693908691406
2018-06-13,124.5282974243164
2018-06-14,122.30622863769531
2018-06-15,128.65509033203125
2018-06-18,125.48065948486328
2018-06-19,124.5282974243164
2018-06-20,124.89111328125
2018-06-21,122.6236572265625
2018-06-22,120.31086730957031
2018-06-25,121.76203155517578
2018-06-26,121.5353012084961
2018-06-27,117.81665802001953
2018-06-28,115.68527221679688
2018-06-29,117.4538803100586
2018-07-02,114.64224243164062
2018-07-03,113.46318054199219
2018-07-04,110.87828063964844
2018-07-05,110.65152740478516
2018-07-06,114.32479858398438
2018-07-09,116.32015991210938
2018-07-10,135.7748565673828
2018-07-11,132.0562286376953
2018-07-12,134.55043029785156
2018-07-13,132.64578247070312
2018-07-16,126.11555480957031
2018-07-17,125.79810333251953
2018-07-18,123.71202850341797
2018-07-19,122.07948303222656
2018-07-20,122.71437072753906
2018-07-23,123.71202850341797
2018-07-24,128.33766174316406
2018-07-25,129.4259796142578
2018-07-26,131.82952880859375
2018-07-27,127.92950439453125
2018-07-30,130.3783416748047
2018-07-31,128.4283447265625
2018-08-01,126.9771728515625
2018-08-02,125.75276184082031
