Date,PETRONET
2004-03-26,4.242639064788818
2004-03-29,4.242639064788818
2004-03-30,4.271599769592285
2004-03-31,4.257119655609131
2004-04-01,4.430879592895508
2004-04-02,4.923198223114014
2004-04-05,5.5313591957092285
2004-04-06,5.719597816467285
2004-04-07,5.791998863220215
2004-04-08,5.705117225646973
2004-04-09,5.705117225646973
2004-04-12,6.11055850982666
2004-04-13,6.023678302764893
2004-04-14,6.023678302764893
2004-04-15,6.125039577484131
2004-04-16,6.342237949371338
2004-04-19,7.471678256988525
2004-04-20,7.196556568145752
2004-04-21,7.312398433685303
2004-04-22,7.225518703460693
2004-04-23,7.037278652191162
2004-04-26,7.037278652191162
2004-04-27,6.414636611938477
2004-04-28,6.675278186798096
2004-04-29,6.820078372955322
2004-04-30,6.704239845275879
2004-05-03,6.458080291748047
2004-05-04,6.747678279876709
2004-05-05,6.849038600921631
2004-05-06,7.037278652191162
2004-05-07,6.964879512786865
2004-05-10,6.921437740325928
2004-05-11,6.544958591461182
2004-05-12,6.7187180519104
2004-05-13,6.7187180519104
2004-05-14,6.11055850982666
2004-05-17,5.820959568023682
2004-05-18,6.327759265899658
2004-05-19,6.820078372955322
2004-05-20,6.834558010101318
2004-05-21,6.849038600921631
2004-05-24,6.849038600921631
2004-05-25,6.863519668579102
2004-05-26,6.834558010101318
2004-05-27,6.834558010101318
2004-05-28,6.733198165893555
2004-05-31,6.631837844848633
2004-06-01,6.849038600921631
2004-06-02,6.849038600921631
2004-06-03,6.660799980163574
2004-06-04,6.6463189125061035
2004-06-07,6.6463189125061035
2004-06-08,6.57391881942749
2004-06-09,6.530479431152344
2004-06-10,6.530479431152344
2004-06-11,6.414636611938477
2004-06-14,6.342237949371338
2004-06-15,6.269839286804199
2004-06-16,6.1684794425964355
2004-06-17,6.11055850982666
2004-06-18,6.154000282287598
2004-06-21,6.11055850982666
2004-06-22,5.9802374839782715
2004-06-23,5.647199630737305
2004-06-24,5.647199630737305
2004-06-25,5.84991979598999
2004-06-28,5.907837390899658
2004-06-29,6.298798561096191
2004-06-30,6.255357265472412
2004-07-01,6.2408766746521
2004-07-02,6.400157928466797
2004-07-05,6.371199607849121
2004-07-06,6.385677814483643
2004-07-07,6.371199607849121
2004-07-08,6.197439670562744
2004-07-09,6.255357265472412
2004-07-12,6.269839286804199
2004-07-13,6.2263970375061035
2004-07-14,6.197439670562744
2004-07-15,6.342237949371338
2004-07-16,6.385677814483643
2004-07-19,6.414636611938477
2004-07-20,6.342237949371338
2004-07-21,6.356719493865967
2004-07-22,6.6463189125061035
2004-07-23,6.820078372955322
2004-07-26,6.617359161376953
2004-07-27,6.487039089202881
2004-07-28,6.429120063781738
2004-07-29,6.602878570556641
2004-07-30,6.400157928466797
2004-08-02,6.6463189125061035
2004-08-03,6.660799980163574
2004-08-04,6.443598747253418
2004-08-05,6.472559452056885
2004-08-06,6.429120063781738
2004-08-09,6.429120063781738
2004-08-10,6.385677814483643
2004-08-11,6.269839286804199
2004-08-12,6.2263970375061035
2004-08-13,6.2408766746521
2004-08-16,6.356719493865967
2004-08-17,6.58839750289917
2004-08-18,6.385677814483643
2004-08-19,6.342237949371338
2004-08-20,6.429120063781738
2004-08-23,6.2263970375061035
2004-08-24,6.6463189125061035
