Date,INTELLECT
2014-12-18,66.32975006103516
2014-12-19,69.61430358886719
2014-12-22,68.97563171386719
2014-12-23,66.2385025024414
2014-12-24,69.5230712890625
2014-12-26,72.9900894165039
2014-12-29,73.12694549560547
2014-12-30,71.30220794677734
2014-12-31,74.8604736328125
2015-01-01,78.60120391845703
2015-01-02,81.1558609008789
2015-01-05,83.6192855834961
2015-01-06,78.73805236816406
2015-01-07,81.61205291748047
2015-01-08,88.40925598144531
2015-01-09,105.56192016601562
2015-01-12,118.56328582763672
2015-01-13,110.30628204345703
2015-01-14,107.341064453125
2015-01-15,109.43953704833984
2015-01-16,115.8261489868164
2015-01-19,114.00139617919922
2015-01-20,110.57999420166016
2015-01-21,107.56915283203125
2015-01-22,106.83924102783203
2015-01-23,101.50184631347656
2015-01-27,111.62923431396484
2015-01-28,104.87763977050781
2015-01-29,104.92325592041016
2015-01-30,99.08406066894531
2015-02-02,108.2534408569336
2015-02-03,106.4286880493164
2015-02-04,105.1057357788086
2015-02-05,104.69517517089844
2015-02-06,103.28099060058594
2015-02-09,98.62786102294922
2015-02-10,95.38893127441406
2015-02-11,91.9218978881836
2015-02-12,96.2100601196289
2015-02-13,97.66987609863281
2015-02-16,97.62425994873047
2015-02-18,96.39254760742188
2015-02-19,104.23898315429688
2015-02-20,103.64593505859375
2015-02-23,103.14412689208984
2015-02-24,100.95442962646484
2015-02-25,101.13689422607422
2015-02-26,96.89434814453125
2015-02-27,97.94358825683594
2015-03-02,109.53076171875
2015-03-03,109.16580963134766
2015-03-04,103.78279876708984
2015-03-05,105.06011962890625
2015-03-09,105.3338394165039
2015-03-10,109.0289535522461
2015-03-11,109.62198638916016
2015-03-12,109.43953704833984
2015-03-13,105.01451110839844
2015-03-16,103.05289459228516
2015-03-17,103.87403106689453
2015-03-18,103.09850311279297
2015-03-19,104.3302230834961
2015-03-20,104.10212707519531
2015-03-23,98.71910858154297
2015-03-24,96.62064361572266
2015-03-25,94.70464324951172
2015-03-26,93.01675415039062
