Date,VARROC
2018-07-09,1019.6998291015625
2018-07-10,1017.1043090820312
2018-07-11,1004.9102783203125
2018-07-12,1021.2179565429688
2018-07-13,1013.9700927734375
2018-07-16,1001.4332885742188
2018-07-17,1013.1865844726562
2018-07-18,995.7034301757812
2018-07-19,973.1272583007812
2018-07-20,944.8213500976562
2018-07-23,930.4724731445312
2018-07-24,926.40771484375
2018-07-25,927.2892456054688
2018-07-26,954.7626342773438
2018-07-27,952.3140869140625
2018-07-30,976.3104858398438
2018-07-31,987.4761352539062
2018-08-01,979.1997680664062
2018-08-02,954.6158447265625
2018-08-03,962.4513549804688
2018-08-06,971.462158203125
2018-08-07,969.5523071289062
2018-08-08,962.4513549804688
2018-08-09,959.806884765625
2018-08-10,952.2650756835938
2018-08-13,942.7644653320312
2018-08-14,948.3963012695312
2018-08-16,948.8370361328125
2018-08-17,958.1907348632812
2018-08-20,970.923583984375
2018-08-21,991.2958984375
2018-08-23,1064.9501953125
2018-08-24,1047.3692626953125
2018-08-27,1050.748291015625
2018-08-28,1088.35888671875
2018-08-29,1094.97021484375
2018-08-30,1121.0234375
2018-08-31,1127.48779296875
2018-09-03,1128.2713623046875
2018-09-04,1128.2713623046875
2018-09-05,1102.658935546875
2018-09-06,1082.923095703125
2018-09-07,1067.202880859375
2018-09-10,1012.745849609375
2018-09-11,1015.4883422851562
2018-09-12,996.5360107421875
2018-09-14,1032.08984375
2018-09-17,1008.8770751953125
2018-09-18,990.6103515625
2018-09-19,968.3280639648438
2018-09-21,965.634521484375
2018-09-24,958.9253540039062
2018-09-25,960.5903930664062
2018-09-26,832.4300537109375
2018-09-27,873.2728881835938
2018-09-28,859.9035034179688
2018-10-01,877.0438232421875
2018-10-03,878.1211547851562
2018-10-04,814.7020874023438
2018-10-05,798.7860717773438
2018-10-08,771.4596557617188
2018-10-09,763.2322387695312
2018-10-10,779.1482543945312
2018-10-11,772.3411865234375
2018-10-12,788.6978759765625
2018-10-15,763.8690185546875
2018-10-16,790.31396484375
2018-10-17,794.2806396484375
2018-10-19,752.3114624023438
2018-10-22,745.5043334960938
2018-10-23,732.183837890625
2018-10-24,729.2945556640625
2018-10-25,711.3706665039062
2018-10-26,679.2938842773438
2018-10-29,733.7510375976562
2018-10-30,730.2739868164062
2018-10-31,746.092041015625
2018-11-01,737.9136962890625
2018-11-02,799.96142578125
2018-11-05,797.0720825195312
2018-11-06,785.6615600585938
2018-11-07,806.8175659179688
2018-11-09,810.5394897460938
2018-11-12,812.8411865234375
2018-11-13,798.0515747070312
2018-11-14,752.1156005859375
2018-11-15,723.0260620117188
2018-11-16,715.484375
2018-11-19,715.3864135742188
