Date,STARCEMENT
2017-06-19,123.93590545654297
2017-06-20,119.56169891357422
2017-06-21,117.95782470703125
2017-06-22,116.59696197509766
2017-06-23,114.16683959960938
2017-06-27,108.57756805419922
2017-06-28,111.0562973022461
2017-06-29,116.40255737304688
2017-06-30,116.1109390258789
2017-07-03,117.08297729492188
2017-07-04,116.06233215332031
2017-07-05,118.10362243652344
2017-07-06,119.22148132324219
2017-07-07,121.84600830078125
2017-07-10,123.59568786621094
2017-07-11,121.50579833984375
2017-07-12,117.61759948730469
2017-07-13,125.68559265136719
2017-07-14,124.22752380371094
2017-07-17,122.72085571289062
2017-07-18,121.89461517333984
2017-07-19,123.44988250732422
2017-07-20,123.59568786621094
2017-07-21,123.40127563476562
2017-07-24,123.20686340332031
2017-07-25,123.6928939819336
2017-07-26,123.49849700927734
2017-07-27,121.06837463378906
2017-07-28,121.50579833984375
2017-07-31,123.49849700927734
2017-08-01,123.5470962524414
2017-08-02,124.56773376464844
2017-08-03,125.00516510009766
2017-08-04,125.8800048828125
2017-08-07,124.42193603515625
2017-08-08,120.53373718261719
2017-08-09,119.51309967041016
2017-08-10,117.81201171875
2017-08-11,113.87522888183594
2017-08-14,113.38919830322266
2017-08-16,111.34790802001953
2017-08-17,110.81328582763672
2017-08-18,112.80597686767578
2017-08-21,108.33455657958984
2017-08-22,107.45972442626953
2017-08-23,107.31391906738281
2017-08-24,107.60553741455078
2017-08-28,107.26530456542969
2017-08-29,105.5642318725586
2017-08-30,107.02230834960938
2017-08-31,108.0429458618164
2017-09-01,110.76467895507812
2017-09-04,105.51563262939453
2017-09-05,112.61156463623047
2017-09-06,110.52167510986328
2017-09-07,108.77198791503906
2017-09-08,107.21672058105469
2017-09-11,108.72338104248047
2017-09-12,107.89714813232422
2017-09-13,109.88983917236328
2017-09-14,108.67478942871094
2017-09-15,106.39046478271484
2017-09-18,105.7586441040039
2017-09-19,105.61283874511719
2017-09-20,108.86920166015625
2017-09-21,107.5083236694336
2017-09-22,108.8205795288086
2017-09-25,105.36981964111328
2017-09-26,104.83519744873047
2017-09-27,102.55088806152344
2017-09-28,102.11347961425781
2017-09-29,103.13411712646484
2017-10-03,103.03691864013672
2017-10-04,102.6480941772461
2017-10-05,101.14142608642578
2017-10-06,101.28722381591797
2017-10-09,102.9883041381836
2017-10-10,103.23131561279297
2017-10-11,101.28722381591797
2017-10-12,102.01626586914062
2017-10-13,103.52293395996094
2017-10-16,104.44638061523438
2017-10-17,105.1268081665039
2017-10-18,104.98100280761719
2017-10-19,105.27261352539062
2017-10-23,105.27261352539062
2017-10-24,105.61283874511719
2017-10-25,107.41112518310547
2017-10-26,112.51435852050781
2017-10-27,114.50706481933594
2017-10-30,115.57630920410156
2017-10-31,113.923828125
2017-11-01,115.67351531982422
2017-11-02,113.87522888183594
2017-11-03,113.04898834228516
2017-11-06,112.66017150878906
2017-11-07,110.76467895507812
2017-11-08,109.54962158203125
2017-11-09,111.54232025146484
2017-11-10,112.90318298339844
2017-11-13,112.17415618896484
2017-11-14,109.25801849365234
2017-11-15,107.45972442626953
2017-11-16,107.84854125976562
2017-11-17,109.45242309570312
2017-11-20,107.99435424804688
2017-11-21,107.89714813232422
2017-11-22,116.15953826904297
2017-11-23,122.28343963623047
2017-11-24,121.9918212890625
2017-11-27,119.3672866821289
2017-11-28,120.7281494140625
2017-11-29,118.8326644897461
2017-11-30,116.79136657714844
2017-12-01,119.3672866821289
2017-12-04,119.95051574707031
2017-12-05,119.51309967041016
2017-12-06,119.02706909179688
2017-12-07,118.92987060546875
2017-12-08,117.71480560302734
2017-12-11,117.66622161865234
2017-12-12,117.03437805175781
2017-12-13,117.2287826538086
2017-12-14,116.93717956542969
2017-12-15,117.131591796875
2017-12-18,120.33934020996094
2017-12-19,123.0124740600586
2017-12-20,121.16558074951172
2017-12-21,122.86666107177734
2017-12-22,124.42193603515625
2017-12-26,124.81074523925781
2017-12-27,124.76215362548828
2017-12-28,131.46926879882812
2017-12-29,128.06710815429688
2018-01-01,132.24691772460938
2018-01-02,132.73294067382812
2018-01-03,134.23960876464844
2018-01-04,137.3501434326172
2018-01-05,137.59317016601562
2018-01-08,143.03660583496094
2018-01-09,141.82154846191406
2018-01-10,138.56521606445312
2018-01-11,142.6964111328125
2018-01-12,140.80091857910156
2018-01-15,140.94671630859375
2018-01-16,136.96131896972656
2018-01-17,134.8228302001953
2018-01-18,128.31011962890625
2018-01-19,129.1363525390625
2018-01-22,130.15699768066406
2018-01-23,127.14366149902344
2018-01-24,126.75482177734375
2018-01-25,124.81074523925781
2018-01-29,123.0124740600586
2018-01-30,121.01976776123047
2018-01-31,123.10967254638672
2018-02-01,118.78406524658203
2018-02-02,118.10362243652344
2018-02-05,118.63825225830078
2018-02-06,120.09632873535156
2018-02-07,125.58837890625
2018-02-08,125.63697814941406
2018-02-09,125.15097045898438
2018-02-12,127.48387908935547
2018-02-14,125.19957733154297
2018-02-15,124.5191421508789
2018-02-16,120.9711685180664
2018-02-19,120.53373718261719
2018-02-20,117.61759948730469
2018-02-21,119.46449279785156
2018-02-22,120.1449203491211
2018-02-23,124.56773376464844
2018-02-26,123.3526840209961
2018-02-27,121.89461517333984
2018-02-28,123.25548553466797
2018-03-01,122.81805419921875
2018-03-05,123.0124740600586
2018-03-06,118.20083618164062
2018-03-07,115.67351531982422
2018-03-08,120.24212646484375
2018-03-09,114.65286254882812
2018-03-12,114.50706481933594
2018-03-13,115.23609924316406
2018-03-14,114.50706481933594
2018-03-15,115.09029388427734
2018-03-16,114.50706481933594
2018-03-19,110.86188507080078
2018-03-20,110.71607971191406
2018-03-21,111.88253021240234
2018-03-22,111.39651489257812
2018-03-23,109.79263305664062
2018-03-26,110.32726287841797
2018-03-27,115.04168701171875
2018-03-28,112.85457611083984
2018-04-02,117.32598876953125
2018-04-03,119.1728744506836
2018-04-04,119.02706909179688
2018-04-05,120.33934020996094
2018-04-06,121.50579833984375
2018-04-09,123.6928939819336
2018-04-10,123.79010009765625
2018-04-11,125.4911880493164
2018-04-12,125.34536743164062
2018-04-13,126.70624542236328
2018-04-16,126.22021484375
2018-04-17,126.85205078125
2018-04-18,125.34536743164062
2018-04-19,125.34536743164062
2018-04-20,126.31742095947266
2018-04-23,127.04645538330078
2018-04-24,126.85205078125
2018-04-25,126.60903930664062
2018-04-26,126.80342864990234
2018-04-27,126.12301635742188
2018-04-30,128.50453186035156
2018-05-02,128.4559326171875
2018-05-03,127.72687530517578
2018-05-04,128.31011962890625
2018-05-07,127.43528747558594
2018-05-08,123.79010009765625
2018-05-09,128.21290588378906
2018-05-10,125.39398956298828
2018-05-11,122.47784423828125
2018-05-14,121.4085922241211
2018-05-15,120.7767562866211
2018-05-16,122.91525268554688
2018-05-17,125.4911880493164
2018-05-18,124.47053527832031
2018-05-21,124.61634063720703
2018-05-22,124.42193603515625
2018-05-23,124.66494750976562
2018-05-24,129.5737762451172
2018-05-25,131.12904357910156
2018-05-28,129.18495178222656
2018-05-29,128.55313110351562
2018-05-30,130.25421142578125
2018-05-31,131.2748565673828
2018-06-01,131.76089477539062
2018-06-04,126.36603546142578
2018-06-05,118.44384765625
2018-06-06,124.276123046875
2018-06-07,124.42193603515625
2018-06-08,126.07440948486328
2018-06-11,126.56041717529297
