Date,APLAPOLLO
2011-12-14,12.748078346252441
2011-12-15,12.424345970153809
2011-12-16,12.301854133605957
2011-12-19,11.991243362426758
2011-12-20,11.899374961853027
2011-12-21,11.68501091003418
2011-12-22,11.518767356872559
2011-12-23,11.654386520385742
2011-12-26,11.982492446899414
2011-12-27,12.02624225616455
2011-12-28,11.794378280639648
2011-12-29,11.938748359680176
2011-12-30,12.288727760314941
2012-01-02,12.20123291015625
2012-01-03,12.030617713928223
2012-01-04,12.096238136291504
2012-01-05,12.161860466003418
2012-01-06,12.161860466003418
2012-01-09,11.846877098083496
2012-01-10,12.275601387023926
2012-01-11,12.227482795715332
2012-01-12,11.56689167022705
2012-01-13,11.811877250671387
2012-01-16,11.724381446838379
2012-01-17,11.724381446838379
2012-01-18,11.811877250671387
2012-01-19,11.860000610351562
2012-01-20,12.118114471435547
2012-01-23,11.663134574890137
2012-01-24,11.938748359680176
2012-01-25,13.106810569763184
2012-01-27,13.964265823364258
2012-01-30,13.728026390075684
2012-01-31,13.89864444732666
2012-02-01,13.64490795135498
2012-02-02,13.299299240112305
2012-02-03,13.378046035766602
2012-02-06,13.456792831420898
2012-02-07,13.662405967712402
2012-02-08,13.658032417297363
2012-02-09,13.259927749633789
2012-02-10,13.128683090209961
2012-02-13,12.89244556427002
2012-02-14,12.839950561523438
2012-02-15,12.791827201843262
2012-02-16,14.441115379333496
2012-02-17,14.401742935180664
2012-02-21,14.296747207641602
2012-02-22,14.76047420501709
2012-02-23,14.7954740524292
2012-02-24,15.508556365966797
2012-02-27,14.874217987060547
2012-02-28,15.932909965515137
2012-02-29,16.164772033691406
2012-03-01,15.871664047241211
2012-03-02,15.35544204711914
2012-03-05,15.740422248840332
2012-03-06,15.036083221435547
2012-03-07,15.526058197021484
2012-03-09,15.994157791137695
2012-03-12,15.941659927368164
2012-03-13,16.567251205444336
2012-03-14,17.27159309387207
2012-03-15,17.2147216796875
2012-03-16,17.315338134765625
2012-03-19,17.030981063842773
