Date,BAJAJELEC
2007-11-02,54.137569427490234
2007-11-05,54.30829620361328
2007-11-06,51.68522644042969
2007-11-07,57.42803955078125
2007-11-08,57.27283477783203
2007-11-12,52.30607986450195
2007-11-13,53.55553436279297
2007-11-14,57.11762237548828
2007-11-15,60.99789047241211
2007-11-16,59.60099792480469
2007-11-19,60.37704086303711
2007-11-20,59.13535690307617
2007-11-21,60.532257080078125
2007-11-22,58.204097747802734
2007-11-23,58.964622497558594
2007-11-26,61.30830383300781
2007-11-27,62.86042404174805
2007-11-28,59.7562141418457
2007-11-29,62.86042404174805
2007-11-30,63.01563262939453
2007-12-03,66.91143035888672
2007-12-04,68.29280853271484
2007-12-05,69.53450775146484
2007-12-06,69.06884765625
2007-12-07,76.05333709716797
2007-12-10,69.85267639160156
2007-12-11,68.29280853271484
2007-12-12,71.37374114990234
2007-12-13,70.931396484375
2007-12-14,72.17308044433594
2007-12-17,70.8072280883789
2007-12-18,71.70742797851562
2007-12-19,71.7850570678711
2007-12-20,70.6209487915039
2007-12-24,72.94913482666016
2007-12-26,78.21077728271484
2007-12-27,80.70967864990234
2007-12-28,94.36822509765625
2007-12-31,108.02680969238281
2008-01-01,107.32835388183594
2008-01-02,107.5611801147461
2008-01-03,104.14653015136719
2008-01-04,101.66315460205078
2008-01-07,98.21746063232422
2008-01-08,95.5323257446289
2008-01-09,93.12655639648438
2008-01-10,98.5589370727539
2008-01-11,98.3959732055664
2008-01-14,96.69640350341797
2008-01-15,95.45472717285156
2008-01-16,95.45472717285156
2008-01-17,93.90259552001953
2008-01-18,94.71745300292969
2008-01-21,86.52233123779297
2008-01-22,77.86930847167969
2008-01-23,76.36376190185547
2008-01-24,74.50123596191406
2008-01-25,74.34603118896484
2008-01-28,74.50123596191406
2008-01-29,80.08883666992188
2008-01-30,83.81390380859375
2008-01-31,77.60546112060547
2008-02-01,78.30390930175781
2008-02-04,87.03450775146484
2008-02-05,90.0223388671875
2008-02-06,85.36602020263672
2008-02-07,85.83162689208984
2008-02-08,82.26179504394531
2008-02-11,81.48573303222656
2008-02-12,73.41475677490234
2008-02-13,70.6209487915039
2008-02-14,75.43251037597656
2008-02-15,77.76067352294922
2008-02-18,79.15757751464844
2008-02-19,77.14759063720703
2008-02-20,76.82939147949219
2008-02-21,78.23405456542969
2008-02-22,76.06110382080078
