Date,JKTYRE
2004-06-14,5.553668022155762
2004-06-15,5.660467147827148
2004-06-16,6.123274326324463
2004-06-17,5.097980976104736
2004-06-18,5.069501876831055
2004-06-21,5.439745903015137
2004-06-22,5.439745903015137
2004-06-23,5.190542221069336
2004-06-24,4.877259254455566
2004-06-25,5.0196614265441895
2004-06-28,5.23326301574707
2004-06-29,5.119340896606445
2004-06-30,5.240384101867676
2004-07-01,4.877259254455566
2004-07-02,4.984059810638428
2004-07-05,4.984059810638428
2004-07-06,4.912858963012695
2004-07-07,4.969820022583008
2004-07-08,4.784697532653809
2004-07-09,5.012540340423584
2004-07-12,4.984059810638428
2004-07-13,5.048141002655029
2004-07-14,5.05526065826416
2004-07-15,5.4895853996276855
2004-07-16,5.5963873863220215
2004-07-19,5.553668022155762
2004-07-20,5.340065002441406
2004-07-21,5.624867916107178
2004-07-22,5.382785320281982
2004-07-23,5.382785320281982
2004-07-26,5.482466220855713
2004-07-27,5.40414571762085
2004-07-28,5.696069240570068
2004-07-29,5.553668022155762
2004-07-30,5.418385028839111
2004-08-02,5.518065929412842
2004-08-03,5.767270088195801
2004-08-04,5.5963873863220215
2004-08-05,6.151754856109619
2004-08-06,6.222955226898193
2004-08-09,6.85664176940918
2004-08-10,6.799683570861816
2004-08-11,6.664400577545166
2004-08-12,6.465038299560547
2004-08-13,6.472158432006836
2004-08-16,6.144633769989014
2004-08-17,6.472158432006836
2004-08-18,6.571838855743408
2004-08-19,6.934962749481201
2004-08-20,7.226886749267578
2004-08-23,6.906482696533203
2004-08-24,6.8352837562561035
2004-08-25,6.792562961578369
2004-08-26,6.878002643585205
2004-08-27,6.756961345672607
2004-08-30,7.45473051071167
2004-08-31,7.205526351928711
2004-09-01,7.262487411499023
2004-09-02,7.397768497467041
2004-09-03,7.6612138748168945
2004-09-06,7.511692047119141
2004-09-07,7.682573318481445
2004-09-08,8.223698616027832
2004-09-09,7.967374801635742
2004-09-10,8.045696258544922
2004-09-13,8.124017715454102
2004-09-14,7.910415172576904
2004-09-15,7.810734272003174
2004-09-16,7.853453636169434
2004-09-17,7.903296947479248
2004-09-20,7.732413291931152
2004-09-21,7.732413291931152
2004-09-22,7.696812152862549
2004-09-23,7.675452709197998
2004-09-24,7.72529411315918
2004-09-27,7.654093265533447
2004-09-28,8.152499198913574
2004-09-29,8.01009750366211
2004-09-30,7.974496364593506
2004-10-01,8.515620231628418
2004-10-04,8.864506721496582
2004-10-05,9.697556495666504
