Date,JSWCEMENT
2025-08-14,145.53009033203125
2025-08-18,149.46548461914062
2025-08-19,155.97134399414062
2025-08-20,153.2613983154297
2025-08-21,153.4108428955078
2025-08-22,152.55401611328125
2025-08-25,152.91268920898438
2025-08-26,149.93374633789062
2025-08-28,147.6820831298828
2025-08-29,147.88134765625
2025-09-01,151.19903564453125
2025-09-02,153.16175842285156
2025-09-03,158.58164978027344
2025-09-04,151.72708129882812
2025-09-05,149.55514526367188
2025-09-08,148.65847778320312
2025-09-09,147.99093627929688
2025-09-10,147.46290588378906
2025-09-11,145.1514892578125
2025-09-12,148.1702880859375
2025-09-15,149.73446655273438
2025-09-16,148.1603240966797
2025-09-17,147.2238006591797
2025-09-18,150.65109252929688
2025-09-19,148.71826171875
2025-09-22,148.8876190185547
2025-09-23,146.63597106933594
2025-09-24,145.89871215820312
2025-09-25,143.3182830810547
2025-09-26,140.83749389648438
2025-09-29,139.75152587890625
2025-09-30,137.38031005859375
2025-10-01,137.94821166992188
2025-10-03,138.3467254638672
2025-10-06,140.33934020996094
2025-10-07,139.22348022460938
2025-10-08,137.7489471435547
2025-10-09,137.469970703125
2025-10-10,140.1599884033203
2025-10-13,138.8149871826172
2025-10-14,134.71022033691406
2025-10-15,137.5397186279297
2025-10-16,136.85227966308594
2025-10-17,135.9456329345703
2025-10-20,136.51353454589844
2025-10-21,137.77882385253906
2025-10-23,134.97921752929688
2025-10-24,134.77000427246094
2025-10-27,136.08511352539062
2025-10-28,134.98919677734375
2025-10-29,136.2146453857422
2025-10-30,135.3279266357422
2025-10-31,135.9356689453125
2025-11-03,135.12867736816406
2025-11-04,134.48106384277344
2025-11-06,127.92538452148438
2025-11-07,127.19808959960938
2025-11-10,124.97633361816406
2025-11-11,122.08705139160156
2025-11-12,121.7781982421875
2025-11-13,128.2740936279297
2025-11-14,125.91285705566406
2025-11-17,127.43721008300781
2025-11-18,125.81322479248047
2025-11-19,126.88923645019531
2025-11-20,125.68370819091797
2025-11-21,123.94017791748047
2025-11-24,117.79298400878906
2025-11-25,115.74059295654297
2025-11-26,115.5014877319336
2025-11-27,116.42804718017578
2025-11-28,114.31587982177734
2025-12-01,113.20002746582031
2025-12-02,110.51996612548828
2025-12-03,107.62071990966797
2025-12-04,111.06793975830078
2025-12-05,110.94837951660156
2025-12-08,110.55982208251953
2025-12-09,111.87493896484375
2025-12-10,114.8239974975586
2025-12-11,115.8701171875
2025-12-12,120.79185485839844
2025-12-15,119.61621856689453
2025-12-16,121.21031188964844
2025-12-17,118.00221252441406
2025-12-18,116.65719604492188
2025-12-19,115.44171142578125
2025-12-22,117.952392578125
2025-12-23,118.23135375976562
2025-12-24,118.21143341064453
2025-12-26,118.28117370605469
2025-12-29,118.12176513671875
2025-12-30,120.52285766601562
2025-12-31,118.420654296875
2026-01-01,119.78559112548828
2026-01-02,122.5553207397461
2026-01-05,120.81178283691406
2026-01-06,122.19664764404297
2026-01-07,123.25272369384766
2026-01-08,119.52655029296875
2026-01-09,117.99224853515625
2026-01-12,119.96492767333984
2026-01-13,121.88778686523438
2026-01-14,121.22026824951172
2026-01-15,121.22026824951172
2026-01-16,121.2800521850586
2026-01-19,120.20404052734375
2026-01-20,118.21143341064453
2026-01-21,114.97344970703125
2026-01-22,118.10183715820312
2026-01-23,116.06938171386719
2026-01-27,112.6221694946289
2026-01-28,112.5324935913086
2026-01-29,115.98966979980469
2026-01-30,113.77787780761719
2026-02-02,113.787841796875
2026-02-03,113.71810150146484
2026-02-04,115.71070861816406
2026-02-05,123.06342315673828
2026-02-06,120.8715591430664
2026-02-09,122.98372650146484
2026-02-10,120.79185485839844
2026-02-11,118.10183715820312
2026-02-12,119.20773315429688
2026-02-13,118.9885482788086
2026-02-16,118.59002685546875
2026-02-17,121.7781982421875
2026-02-18,123.14313507080078
2026-02-19,122.66490936279297
2026-02-20,121.47930908203125
2026-02-23,124.62762451171875
2026-02-24,127.00879669189453
2026-02-25,124.458251953125
2026-02-26,127.24790954589844
2026-02-27,124.61766815185547
2026-03-02,122.6848373413086
2026-03-04,118.89888000488281
2026-03-05,123.98003387451172
2026-03-06,121.79812622070312
