Date,GALAXYSURF
2018-02-08,1574.3009033203125
2018-02-09,1542.3603515625
2018-02-12,1555.3680419921875
2018-02-14,1521.9925537109375
2018-02-15,1534.028076171875
2018-02-16,1503.0133056640625
2018-02-19,1477.969970703125
2018-02-20,1453.713623046875
2018-02-21,1482.228759765625
2018-02-22,1478.20166015625
2018-02-23,1494.7271728515625
2018-02-26,1485.6541748046875
2018-02-27,1510.8826904296875
2018-02-28,1517.8726806640625
2018-03-01,1493.5699462890625
2018-03-05,1471.5819091796875
2018-03-06,1454.546875
2018-03-07,1440.613525390625
2018-03-08,1383.4906005859375
2018-03-09,1385.8052978515625
2018-03-12,1388.5364990234375
2018-03-13,1387.0089111328125
2018-03-14,1391.9619140625
2018-03-15,1400.2015380859375
2018-03-16,1398.44287109375
2018-03-19,1389.184326171875
2018-03-20,1411.3577880859375
2018-03-21,1416.0328369140625
2018-03-22,1421.17138671875
2018-03-23,1437.928466796875
2018-03-26,1420.384033203125
2018-03-27,1414.1348876953125
2018-03-28,1388.489990234375
2018-04-02,1381.453857421875
2018-04-03,1349.467041015625
2018-04-04,1330.9969482421875
2018-04-05,1318.915283203125
2018-04-06,1297.852783203125
2018-04-09,1300.398681640625
2018-04-10,1288.91845703125
2018-04-11,1277.4384765625
2018-04-12,1277.6239013671875
2018-04-13,1264.5697021484375
2018-04-16,1249.756591796875
2018-04-17,1305.4908447265625
2018-04-18,1373.7232666015625
2018-04-19,1374.556396484375
2018-04-20,1344.9307861328125
2018-04-23,1379.000244140625
2018-04-24,1355.762451171875
2018-04-25,1341.3197021484375
2018-04-26,1350.577880859375
2018-04-27,1338.7275390625
2018-04-30,1336.5518798828125
2018-05-02,1326.6917724609375
2018-05-03,1305.9537353515625
2018-05-04,1350.947998046875
2018-05-07,1349.929931640625
2018-05-08,1358.5863037109375
2018-05-09,1350.6705322265625
2018-05-10,1383.1666259765625
2018-05-11,1360.715576171875
2018-05-14,1352.0130615234375
2018-05-15,1380.7132568359375
2018-05-16,1358.8175048828125
2018-05-17,1340.4866943359375
2018-05-18,1326.1827392578125
2018-05-21,1286.2337646484375
2018-05-22,1308.3143310546875
2018-05-23,1289.4278564453125
2018-05-24,1268.2266845703125
2018-05-25,1268.6434326171875
2018-05-28,1323.3126220703125
2018-05-29,1307.0648193359375
2018-05-30,1287.252197265625
2018-05-31,1268.6434326171875
2018-06-01,1274.70751953125
2018-06-04,1253.1820068359375
2018-06-05,1225.5001220703125
2018-06-06,1201.98486328125
2018-06-07,1234.71240234375
2018-06-08,1202.9569091796875
2018-06-11,1198.18896484375
2018-06-12,1203.3736572265625
2018-06-13,1195.55029296875
2018-06-14,1183.422119140625
2018-06-15,1177.4969482421875
2018-06-18,1175.876953125
2018-06-19,1153.611083984375
2018-06-20,1182.449951171875
2018-06-21,1163.6097412109375
2018-06-22,1191.338134765625
2018-06-25,1175.5064697265625
2018-06-26,1154.444091796875
2018-06-27,1177.4969482421875
2018-06-28,1165.785400390625
2018-06-29,1193.0970458984375
2018-07-02,1168.28515625
2018-07-03,1222.6766357421875
2018-07-04,1198.4664306640625
2018-07-05,1174.4417724609375
2018-07-06,1176.4322509765625
2018-07-09,1179.0244140625
2018-07-10,1174.81201171875
2018-07-11,1169.9052734375
2018-07-12,1185.9217529296875
2018-07-13,1212.1688232421875
2018-07-16,1175.7841796875
2018-07-17,1159.998779296875
2018-07-18,1152.3148193359375
2018-07-19,1121.9017333984375
2018-07-20,1112.6435546875
2018-07-23,1074.638916015625
2018-07-24,1076.3056640625
2018-07-25,1083.4805908203125
2018-07-26,1085.47119140625
2018-07-27,1087.785400390625
2018-07-30,1092.5072021484375
2018-07-31,1104.218505859375
2018-08-01,1129.409912109375
2018-08-02,1135.7889404296875
2018-08-03,1160.840576171875
2018-08-06,1176.0205078125
2018-08-07,1161.9581298828125
2018-08-08,1160.5609130859375
2018-08-09,1146.7783203125
2018-08-10,1128.8975830078125
2018-08-13,1121.260986328125
2018-08-14,1125.6383056640625
2018-08-16,1111.5758056640625
2018-08-17,1113.9971923828125
2018-08-20,1113.8111572265625
2018-08-21,1185.100341796875
2018-08-23,1223.4691162109375
2018-08-24,1184.7279052734375
2018-08-27,1191.013916015625
2018-08-28,1158.5123291015625
2018-08-29,1165.2176513671875
2018-08-30,1158.7452392578125
2018-08-31,1180.723388671875
2018-09-03,1190.501953125
2018-09-04,1184.1224365234375
2018-09-05,1200.3734130859375
2018-09-06,1273.7581787109375
2018-09-07,1290.521484375
