Date,GODREJAGRO
2017-10-16,526.5499877929688
2017-10-17,519.6105346679688
2017-10-18,530.52783203125
2017-10-19,523.853759765625
2017-10-23,514.2623901367188
2017-10-24,510.5938415527344
2017-10-25,493.4002380371094
2017-10-26,481.9967346191406
2017-10-27,495.3450012207031
2017-10-30,505.0246887207031
2017-10-31,508.4722900390625
2017-11-01,506.4833068847656
2017-11-02,501.70965576171875
2017-11-03,503.3893737792969
2017-11-06,485.400146484375
2017-11-07,481.8641662597656
2017-11-08,483.98565673828125
2017-11-09,482.61553955078125
2017-11-10,485.0906982421875
2017-11-13,475.9855651855469
2017-11-14,467.4550476074219
2017-11-15,468.2065124511719
2017-11-16,469.9744873046875
2017-11-17,475.9413757324219
2017-11-20,482.65972900390625
2017-11-21,493.3560485839844
2017-11-22,492.1184387207031
2017-11-23,485.2232360839844
2017-11-24,485.93048095703125
2017-11-27,480.9359130859375
2017-11-28,479.60992431640625
2017-11-29,475.9413757324219
2017-11-30,488.67083740234375
2017-12-01,490.6597900390625
2017-12-04,490.21783447265625
2017-12-05,482.9691467285156
2017-12-06,479.9635314941406
2017-12-07,479.12371826171875
2017-12-08,483.98565673828125
2017-12-11,483.23431396484375
2017-12-12,488.8476257324219
2017-12-13,484.9580993652344
2017-12-14,483.0133972167969
2017-12-15,486.9470520019531
2017-12-18,490.79241943359375
2017-12-19,494.0632629394531
2017-12-20,498.9694519042969
2017-12-21,507.5441589355469
2017-12-22,502.15167236328125
2017-12-26,502.7705383300781
2017-12-27,494.947265625
2017-12-28,495.6986083984375
2017-12-29,512.052490234375
2018-01-01,522.6604614257812
2018-01-02,530.3953247070312
2018-01-03,539.3677978515625
2018-01-04,542.7269897460938
2018-01-05,539.1026000976562
2018-01-08,544.6275024414062
2018-01-09,540.2518310546875
2018-01-10,549.2684936523438
2018-01-11,546.3513793945312
2018-01-12,548.7381591796875
2018-01-15,551.6553955078125
2018-01-16,540.0308227539062
2018-01-17,535.69921875
2018-01-18,529.4229125976562
2018-01-19,523.765380859375
2018-01-22,530.1744384765625
2018-01-23,527.080322265625
2018-01-24,520.0525512695312
2018-01-25,515.102294921875
2018-01-29,514.7044677734375
2018-01-30,505.0246887207031
2018-01-31,504.2291259765625
2018-02-01,516.9586181640625
2018-02-02,517.5774536132812
2018-02-05,516.6492309570312
2018-02-06,498.48321533203125
2018-02-07,518.9917602539062
2018-02-08,521.3343505859375
2018-02-09,519.9642944335938
2018-02-12,522.4835205078125
2018-02-14,521.51123046875
2018-02-15,518.9475708007812
2018-02-16,509.7982177734375
2018-02-19,513.1575317382812
2018-02-20,502.637939453125
2018-02-21,519.7874145507812
2018-02-22,512.9364624023438
2018-02-23,517.1796264648438
2018-02-26,533.6661987304688
2018-02-27,534.9036865234375
2018-02-28,534.9920654296875
