Date,ENRIN
2025-06-19,2730.59130859375
2025-06-20,2636.543212890625
2025-06-23,2611.58349609375
2025-06-24,2702.037353515625
2025-06-25,2797.583251953125
2025-06-26,2823.042236328125
2025-06-27,2896.5234375
2025-06-30,2971.10302734375
2025-07-01,2966.710205078125
2025-07-02,2946.343017578125
2025-07-03,2917.58935546875
2025-07-04,2889.3349609375
2025-07-07,2995.26416015625
2025-07-08,3041.988525390625
2025-07-09,3121.460205078125
2025-07-10,3135.238037109375
2025-07-11,3171.579345703125
2025-07-14,3071.1416015625
2025-07-15,3048.777587890625
2025-07-16,3081.3251953125
2025-07-17,3049.27685546875
2025-07-18,3032.603759765625
2025-07-21,3052.970703125
2025-07-22,3037.49560546875
2025-07-23,3005.7470703125
2025-07-24,3000.45556640625
2025-07-25,2972.700439453125
2025-07-28,3012.33642578125
2025-07-29,3029.608642578125
2025-07-30,3221.6982421875
2025-07-31,3232.6806640625
2025-08-01,3163.692138671875
2025-08-04,3228.3876953125
2025-08-05,3254.64501953125
2025-08-06,3156.703369140625
2025-08-07,3170.181640625
2025-08-08,3078.9287109375
2025-08-11,3107.582763671875
2025-08-12,3142.027099609375
2025-08-13,3157.30224609375
2025-08-14,3168.184814453125
2025-08-18,3162.9931640625
2025-08-19,3190.049560546875
2025-08-20,3289.688720703125
2025-08-21,3292.1845703125
2025-08-22,3368.561279296875
2025-08-25,3377.247314453125
2025-08-26,3331.620849609375
2025-08-28,3373.55322265625
2025-08-29,3369.459716796875
2025-09-01,3486.670654296875
2025-09-02,3519.817138671875
2025-09-03,3431.5595703125
2025-09-04,3383.836669921875
2025-09-05,3420.27783203125
2025-09-08,3496.255126953125
2025-09-09,3452.62548828125
2025-09-10,3377.646728515625
2025-09-11,3352.68701171875
2025-09-12,3380.941162109375
2025-09-15,3396.91552734375
2025-09-16,3455.321044921875
2025-09-17,3493.958984375
2025-09-18,3469.19873046875
2025-09-19,3430.06201171875
2025-09-22,3522.912109375
2025-09-23,3600.6865234375
2025-09-24,3504.541748046875
2025-09-25,3522.113525390625
2025-09-26,3510.531982421875
2025-09-29,3504.941162109375
2025-09-30,3427.2666015625
2025-10-01,3393.720703125
2025-10-03,3352.28759765625
2025-10-06,3231.18310546875
2025-10-07,3277.009033203125
2025-10-08,3336.8125
2025-10-09,3235.875732421875
2025-10-10,3230.284423828125
2025-10-13,3178.268310546875
2025-10-14,3192.146240234375
2025-10-15,3139.131591796875
2025-10-16,3134.838623046875
2025-10-17,3111.676025390625
2025-10-20,3095.8017578125
2025-10-21,3139.630859375
2025-10-23,3136.835205078125
2025-10-24,3133.341064453125
2025-10-27,3148.31689453125
2025-10-28,3096.301025390625
2025-10-29,3129.247802734375
2025-10-30,3201.331298828125
2025-10-31,3180.465087890625
2025-11-03,3201.131591796875
2025-11-04,3240.16845703125
2025-11-06,3180.465087890625
2025-11-07,3222.996337890625
2025-11-10,3276.8095703125
2025-11-11,3242.964111328125
2025-11-12,3278.30712890625
2025-11-13,3293.18310546875
2025-11-14,3252.34912109375
2025-11-17,3290.786865234375
2025-11-18,3343.501708984375
2025-11-19,3309.556396484375
2025-11-20,3340.6064453125
2025-11-21,3327.52734375
2025-11-24,3157.801513671875
2025-11-25,3092.507080078125
2025-11-26,3108.680908203125
2025-11-27,3106.58447265625
2025-11-28,3154.507080078125
2025-12-01,3135.8369140625
2025-12-02,3189.151123046875
2025-12-03,3145.421630859375
2025-12-04,3095.701904296875
2025-12-05,3093.205810546875
2025-12-08,2949.03857421875
2025-12-09,3027.911376953125
2025-12-10,2991.47021484375
2025-12-11,2900.716552734375
2025-12-12,2888.935791015625
2025-12-15,2940.85205078125
2025-12-16,2974.996826171875
2025-12-17,2966.90966796875
2025-12-18,2834.822998046875
2025-12-19,2742.572021484375
2025-12-22,2612.2822265625
2025-12-23,2589.219482421875
2025-12-24,2591.316162109375
2025-12-26,2620.86865234375
2025-12-29,2574.343505859375
2025-12-30,2570.35009765625
2025-12-31,2555.973388671875
2026-01-01,2534.9072265625
2026-01-02,2542.5947265625
2026-01-05,2560.3662109375
2026-01-06,2617.7734375
2026-01-07,2599.103759765625
2026-01-08,2523.725341796875
2026-01-09,2399.92529296875
2026-01-12,2369.873779296875
2026-01-13,2400.524169921875
2026-01-14,2359.690185546875
2026-01-15,2359.690185546875
2026-01-16,2323.2490234375
2026-01-19,2313.165283203125
2026-01-20,2265.74169921875
2026-01-21,2247.271484375
2026-01-22,2199.249267578125
2026-01-23,2121.973876953125
2026-01-27,2180.4794921875
2026-01-28,2353.1005859375
2026-01-29,2477.5
2026-01-30,2487.199951171875
2026-02-02,2438.800048828125
2026-02-03,2529.800048828125
