Date,DALBHARAT
2018-12-21,1097.2060546875
2018-12-24,1042.3480224609375
2018-12-26,1074.09765625
2018-12-27,1049.5814208984375
2018-12-28,1067.8350830078125
2018-12-31,1067.8836669921875
2019-01-01,1061.28125
2019-01-02,1049.5814208984375
2019-01-03,1048.9503173828125
2019-01-04,1058.3199462890625
2019-01-07,1058.3199462890625
2019-01-08,1058.3199462890625
2019-01-09,1058.3199462890625
2019-01-10,1058.3199462890625
2019-01-11,1058.3199462890625
2019-01-14,1058.3199462890625
2019-01-15,1058.3199462890625
2019-01-16,1058.3199462890625
2019-01-17,1058.3199462890625
2019-01-18,1058.3199462890625
2019-01-21,1058.3199462890625
2019-01-22,1058.3199462890625
2019-01-23,876.7548828125
2019-01-24,920.592529296875
2019-01-25,966.6149291992188
2019-01-28,1014.9191284179688
2019-01-29,1009.773193359375
2019-01-30,1004.141845703125
2019-01-31,1001.3743286132812
2019-02-01,1016.8124389648438
2019-02-04,1014.190673828125
2019-02-05,1016.7637939453125
2019-02-06,1019.4824829101562
2019-02-07,1087.0594482421875
2019-02-08,1066.330322265625
2019-02-11,1055.7955322265625
2019-02-12,1048.173828125
2019-02-14,1036.9591064453125
2019-02-15,1036.2310791015625
2019-02-18,1019.9193115234375
2019-02-19,1045.6007080078125
2019-02-20,1046.231689453125
2019-02-21,1096.2833251953125
2019-02-22,1110.264892578125
2019-02-25,1131.9168701171875
2019-02-26,1141.4317626953125
2019-02-27,1179.104248046875
2019-02-28,1119.68310546875
2019-03-01,1137.742431640625
2019-03-05,1151.3841552734375
2019-03-06,1143.90771484375
2019-03-07,1105.118896484375
2019-03-08,1099.77880859375
2019-03-11,1115.7991943359375
2019-03-12,1118.12939453125
2019-03-13,1121.721923828125
2019-03-14,1092.1566162109375
2019-03-15,1080.3116455078125
2019-03-18,1010.2100830078125
2019-03-19,980.5479125976562
2019-03-20,992.1019897460938
2019-03-22,986.4221801757812
2019-03-25,961.7603759765625
2019-03-26,961.6632080078125
2019-03-27,958.7504272460938
2019-03-28,960.6437377929688
2019-04-01,961.2262573242188
2019-04-02,1042.0565185546875
2019-04-03,1075.651123046875
2019-04-04,1110.9932861328125
2019-04-05,1082.6904296875
2019-04-08,1057.5428466796875
2019-04-09,1037.4451904296875
2019-04-10,1032.3958740234375
2019-04-11,1082.4962158203125
2019-04-12,1069.58251953125
2019-04-15,1055.746826171875
2019-04-16,1082.6904296875
2019-04-18,1058.7567138671875
2019-04-22,1028.51220703125
