Date,AGARWALEYE
2025-02-04,401.6499938964844
2025-02-05,395.5
2025-02-06,404.3999938964844
2025-02-07,402.04998779296875
2025-02-10,402.79998779296875
2025-02-11,406.8500061035156
2025-02-12,425.6000061035156
2025-02-13,449.0
2025-02-14,439.0
2025-02-17,424.70001220703125
2025-02-18,416.79998779296875
2025-02-19,421.95001220703125
2025-02-20,418.5
2025-02-21,412.6000061035156
2025-02-24,402.5
2025-02-25,404.79998779296875
2025-02-27,407.1499938964844
2025-02-28,401.0
2025-03-03,391.79998779296875
2025-03-04,402.54998779296875
2025-03-05,418.0
2025-03-06,414.95001220703125
2025-03-07,405.8500061035156
2025-03-10,414.70001220703125
2025-03-11,420.1000061035156
2025-03-12,428.54998779296875
2025-03-13,422.95001220703125
2025-03-17,416.3999938964844
2025-03-18,416.3999938964844
2025-03-19,417.54998779296875
2025-03-20,433.8999938964844
2025-03-21,444.8999938964844
2025-03-24,442.0
2025-03-25,448.6499938964844
2025-03-26,432.45001220703125
2025-03-27,442.79998779296875
2025-03-28,445.8500061035156
2025-04-01,453.29998779296875
2025-04-02,435.45001220703125
2025-04-03,435.95001220703125
2025-04-04,434.1000061035156
2025-04-07,417.29998779296875
2025-04-08,425.75
2025-04-09,422.70001220703125
2025-04-11,415.20001220703125
2025-04-15,410.3999938964844
2025-04-16,399.75
2025-04-17,402.54998779296875
2025-04-21,402.75
2025-04-22,395.54998779296875
2025-04-23,398.1499938964844
2025-04-24,389.45001220703125
2025-04-25,386.5
2025-04-28,378.54998779296875
2025-04-29,374.54998779296875
2025-04-30,364.8999938964844
2025-05-02,354.79998779296875
2025-05-05,348.70001220703125
2025-05-06,348.5
2025-05-07,359.54998779296875
2025-05-08,360.70001220703125
2025-05-09,355.6000061035156
2025-05-12,368.04998779296875
2025-05-13,370.6499938964844
2025-05-14,385.70001220703125
2025-05-15,386.20001220703125
2025-05-16,397.75
2025-05-19,401.6000061035156
2025-05-20,400.54998779296875
2025-05-21,391.54998779296875
2025-05-22,389.29998779296875
2025-05-23,389.45001220703125
2025-05-26,383.6499938964844
