Date,ADVENZYMES
2016-08-01,219.71865844726562
2016-08-02,256.4689636230469
2016-08-03,255.47117614746094
2016-08-04,254.8463897705078
2016-08-05,265.5703125
2016-08-08,272.9930725097656
2016-08-09,274.3825378417969
2016-08-10,273.9443054199219
2016-08-11,261.234130859375
2016-08-12,260.09649658203125
2016-08-16,253.69943237304688
2016-08-17,255.34994506835938
2016-08-18,261.3367614746094
2016-08-19,259.34112548828125
2016-08-22,254.08175659179688
2016-08-23,246.6962432861328
2016-08-24,250.08131408691406
2016-08-25,251.71316528320312
2016-08-26,252.80421447753906
2016-08-29,241.987060546875
2016-08-30,261.0849609375
2016-08-31,254.85574340820312
2016-09-01,256.4316711425781
2016-09-02,260.0777587890625
2016-09-06,264.2088317871094
2016-09-07,270.98822021484375
2016-09-08,270.4007263183594
2016-09-09,264.8709411621094
2016-09-12,267.76171875
2016-09-14,270.54998779296875
2016-09-15,287.86669921875
2016-09-16,302.0595703125
2016-09-19,305.0901794433594
2016-09-20,306.0972900390625
2016-09-21,312.1866149902344
2016-09-22,317.7070617675781
2016-09-23,316.84918212890625
2016-09-26,319.2177429199219
2016-09-27,321.32525634765625
2016-09-28,324.9341125488281
2016-09-29,310.0791320800781
2016-09-30,312.8766784667969
2016-10-03,320.4300231933594
2016-10-04,334.2685546875
2016-10-05,338.2503967285156
2016-10-06,334.08203125
2016-10-07,336.5718078613281
2016-10-10,340.507080078125
2016-10-13,340.7774658203125
2016-10-14,348.41473388671875
2016-10-17,354.8583984375
2016-10-18,380.39996337890625
2016-10-19,405.6617126464844
2016-10-20,419.2483825683594
2016-10-21,414.8935852050781
2016-10-24,428.4150085449219
2016-10-25,438.7938537597656
2016-10-26,399.693603515625
2016-10-27,379.6539001464844
2016-10-28,396.71893310546875
2016-11-01,411.023681640625
2016-11-02,391.8511962890625
2016-11-03,371.7369079589844
2016-11-04,352.56439208984375
2016-11-07,352.95611572265625
2016-11-08,349.32861328125
2016-11-09,360.2016906738281
2016-11-10,373.1076354980469
2016-11-11,357.1617431640625
2016-11-15,346.30731201171875
2016-11-16,349.2353515625
2016-11-17,345.41204833984375
2016-11-18,348.6665344238281
2016-11-21,340.9919738769531
2016-11-22,341.9338073730469
2016-11-23,356.22918701171875
2016-11-24,354.9049987792969
2016-11-25,367.8856201171875
2016-11-28,391.67401123046875
2016-11-29,400.56085205078125
2016-11-30,399.9173889160156
2016-12-01,396.1407775878906
2016-12-02,399.8055419921875
2016-12-05,391.29168701171875
2016-12-06,388.4754943847656
2016-12-07,374.2453308105469
2016-12-08,383.9062194824219
2016-12-09,402.9294128417969
2016-12-12,403.311767578125
2016-12-13,392.0284423828125
2016-12-14,379.9616394042969
2016-12-15,387.1140441894531
2016-12-16,385.5101318359375
2016-12-19,378.255126953125
2016-12-20,371.53173828125
2016-12-21,369.48956298828125
2016-12-22,359.8193054199219
2016-12-23,357.04046630859375
2016-12-26,342.232177734375
2016-12-27,362.9246826171875
2016-12-28,365.2185974121094
2016-12-29,366.6733093261719
2016-12-30,369.8438720703125
2017-01-02,359.37176513671875
2017-01-03,351.28692626953125
2017-01-04,346.4471130371094
2017-01-05,348.9276428222656
2017-01-06,349.59906005859375
2017-01-09,350.6341552734375
2017-01-10,349.3472595214844
2017-01-11,349.2167053222656
2017-01-12,344.134521484375
2017-01-13,343.2486267089844
2017-01-16,341.2064208984375
2017-01-17,343.26727294921875
2017-01-18,340.62823486328125
2017-01-19,333.9048767089844
2017-01-20,327.5078125
2017-01-23,342.42803955078125
2017-01-24,344.134521484375
2017-01-25,337.858642578125
2017-01-27,336.12420654296875
2017-01-30,332.6646728515625
2017-01-31,337.6255187988281
2017-02-01,334.19390869140625
2017-02-02,339.2388610839844
2017-02-03,345.104248046875
2017-02-06,350.74603271484375
2017-02-07,346.568359375
2017-02-08,339.4532775878906
2017-02-09,341.2716979980469
2017-02-10,337.9146423339844
2017-02-13,337.00079345703125
2017-02-14,309.463623046875
2017-02-15,297.2570495605469
2017-02-16,298.2082824707031
2017-02-17,298.76776123046875
2017-02-20,310.0511779785156
2017-02-21,305.8456115722656
